Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,33.92,34.12,33.61,33.87,18334300,33.87
2013-01-31,33.16,33.88,33.11,33.88,33862200,33.88
2013-01-30,33.40,33.40,33.14,33.22,10418800,33.22
2013-01-29,32.97,33.45,32.96,33.33,14644400,33.33
2013-01-28,32.81,33.11,32.75,33.00,13671600,33.00
2013-01-25,32.83,32.92,32.70,32.79,15872000,32.79
2013-01-24,32.65,32.95,32.58,32.80,17422200,32.80
2013-01-23,33.01,33.15,32.62,32.81,14987600,32.81
2013-01-22,32.78,33.00,32.55,32.90,18077900,32.90
2013-01-18,32.80,32.87,32.61,32.74,14984300,32.74
2013-01-17,32.85,32.97,32.67,32.78,20270400,32.78
2013-01-16,33.15,33.16,32.60,32.70,17500300,32.70
2013-01-15,33.19,33.36,32.97,33.02,12815200,33.02
2013-01-14,33.48,33.57,33.14,33.36,6848700,33.36
2013-01-11,33.88,33.88,33.32,33.37,8554700,33.37
2013-01-10,33.70,33.94,33.66,33.85,9668400,33.71
2013-01-09,33.66,33.71,33.09,33.57,11313000,33.43
2013-01-08,33.29,33.56,33.08,33.35,15042300,33.21
2013-01-07,33.02,33.34,32.85,33.34,13120000,33.20
2013-01-04,33.33,33.43,32.85,33.07,15820100,32.93
2013-01-03,32.90,33.38,32.74,33.27,22148200,33.13
2013-01-02,32.30,32.45,31.64,32.05,20266400,31.92
2012-12-31,64.13,65.53,64.01,65.50,19061900,31.23
2012-12-28,64.78,65.02,64.36,64.42,11264700,30.71
2012-12-27,64.97,65.48,64.63,65.05,10726200,31.01
2012-12-26,65.55,65.57,64.90,65.06,9073600,31.02
2012-12-24,66.05,66.05,65.38,65.47,4905600,31.21
2012-12-21,65.21,66.06,65.00,66.05,31240200,31.49
2012-12-20,65.40,65.58,65.10,65.55,11510800,31.25
2012-12-19,65.98,66.06,65.16,65.34,18101000,31.15
2012-12-18,65.13,66.10,64.72,65.93,21258700,31.43
2012-12-17,65.58,65.69,65.03,65.20,16784100,31.08
2012-12-14,64.99,65.54,64.96,65.35,13744400,31.15
2012-12-13,66.01,66.03,64.88,65.32,14317600,31.14
2012-12-12,66.21,66.85,65.87,66.01,19150300,31.47
2012-12-11,65.33,66.35,65.31,66.17,16136100,31.54
2012-12-10,65.07,65.95,64.73,65.33,15345000,31.14
2012-12-07,64.53,65.62,64.21,65.53,19335400,31.24
2012-12-06,64.50,64.79,64.23,64.58,8874300,30.79
2012-12-05,64.28,64.80,64.08,64.54,10331600,30.77
2012-12-04,64.19,64.97,64.06,64.39,13005100,30.70
2012-12-03,65.09,65.32,64.18,64.29,13810200,30.65
2012-11-30,65.12,65.40,64.66,65.00,13182200,30.99
2012-11-29,64.85,65.21,64.57,65.08,10939700,31.02
2012-11-28,63.85,64.59,63.63,64.57,8505200,30.78
2012-11-27,64.13,64.52,63.93,64.06,10710500,30.54
2012-11-26,64.08,64.39,63.52,64.36,11623600,30.68
2012-11-23,63.48,64.49,63.44,64.47,5841300,30.73
2012-11-21,63.27,63.48,63.00,63.33,9212300,30.19
2012-11-20,62.80,63.57,62.62,63.08,17379200,30.07
2012-11-19,63.25,63.52,62.65,62.92,18140200,30.00
2012-11-16,63.15,63.42,62.77,62.88,17824200,29.98
2012-11-15,63.83,63.94,62.93,63.20,13202700,30.13
2012-11-14,64.73,65.07,63.57,63.74,14066500,30.39
2012-11-13,64.63,65.37,64.62,64.68,12332000,30.83
2012-11-12,64.97,65.32,64.82,64.87,13735200,30.92
2012-11-09,64.16,65.16,63.68,64.84,19163900,30.91
2012-11-08,64.64,64.88,63.47,63.48,17683200,30.26
2012-11-07,64.37,64.97,63.41,64.52,24184100,30.76
2012-11-06,65.07,65.30,64.77,64.82,11496000,30.90
2012-11-05,64.78,65.17,64.70,65.04,9504300,31.01
2012-11-02,65.88,65.96,64.90,64.96,13648500,30.97
2012-11-01,65.76,66.28,65.39,65.45,14976200,31.20
2012-10-31,65.81,66.10,65.21,65.50,14220900,31.23
2012-10-26,65.82,65.90,64.93,65.48,17106400,31.22
2012-10-25,65.94,66.30,65.46,65.78,17855300,31.36
2012-10-24,65.49,66.10,64.88,65.56,15764000,31.25
2012-10-23,65.12,65.86,64.73,65.36,20784900,31.16
2012-10-22,65.66,66.00,65.27,65.81,23705300,31.37
2012-10-19,67.38,67.41,65.96,66.15,24389700,31.53
2012-10-18,66.08,66.81,64.52,66.64,71097900,31.77
2012-10-17,71.79,71.95,68.34,69.04,44353400,32.91
2012-10-16,72.10,72.47,71.48,72.13,14078200,34.39
2012-10-15,69.50,72.10,69.30,72.05,32881100,34.35
2012-10-12,69.61,70.14,69.19,69.28,12098200,33.03
2012-10-11,70.16,70.38,69.40,69.42,10365800,33.09
2012-10-10,71.02,71.02,70.01,70.37,8980000,33.30
2012-10-09,71.08,71.50,70.76,70.90,13540100,33.55
2012-10-08,71.47,71.56,70.85,71.32,7861500,33.75
2012-10-05,71.19,71.91,71.16,71.61,13463800,33.89
2012-10-04,69.94,71.05,69.89,70.78,14240300,33.50
2012-10-03,68.76,69.99,68.56,69.83,19140300,33.05
2012-10-02,69.42,69.60,68.41,68.54,15029900,32.44
2012-10-01,68.49,69.57,68.30,69.08,11231100,32.69
2012-09-28,69.34,69.34,68.41,68.56,25298800,32.45
2012-09-27,69.29,69.65,69.05,69.32,7497200,32.81
2012-09-26,69.57,69.76,69.09,69.19,11957600,32.75
2012-09-25,69.80,70.41,69.55,69.57,14839400,32.92
2012-09-24,69.60,69.78,69.34,69.61,8592100,32.94
2012-09-21,69.90,69.99,69.62,69.62,19481400,32.95
2012-09-20,69.14,69.86,68.98,69.86,11806600,33.06
2012-09-19,69.06,69.60,69.03,69.35,11488000,32.82
2012-09-18,68.79,69.12,68.61,68.91,10879900,32.61
2012-09-17,68.16,69.19,68.15,69.12,13739100,32.71
2012-09-14,69.19,69.19,67.96,68.27,14760000,32.31
2012-09-13,67.67,69.27,67.67,69.27,16590200,32.78
2012-09-12,67.33,67.88,67.13,67.84,12235700,32.11
2012-09-11,67.26,67.50,67.20,67.33,9682500,31.86
2012-09-10,66.80,67.31,66.66,67.19,11455900,31.80
2012-09-07,66.90,67.24,66.50,66.69,9055400,31.56
2012-09-06,65.97,66.93,65.82,66.92,12344700,31.67
2012-09-05,65.66,65.83,65.34,65.75,7684600,31.12
2012-09-04,65.26,65.67,64.57,65.46,9594600,30.98
2012-08-31,65.50,65.90,65.40,65.54,8637600,31.02
2012-08-30,65.36,65.62,65.16,65.40,6316900,30.95
2012-08-29,65.82,66.00,65.61,65.61,5669800,31.05
2012-08-28,65.55,65.90,65.06,65.73,5751000,31.11
2012-08-27,65.79,65.98,65.57,65.72,6210800,31.10
2012-08-24,65.09,65.90,65.09,65.84,7990200,31.16
2012-08-23,65.60,65.78,65.15,65.33,7314200,30.92
2012-08-22,65.11,65.73,65.07,65.54,6593300,31.02
2012-08-21,65.73,65.95,65.25,65.30,8795500,30.90
2012-08-20,65.98,66.10,65.69,65.73,6990800,31.11
2012-08-17,66.59,66.59,65.69,65.92,8483800,31.20
2012-08-16,66.33,66.50,66.00,66.43,5591600,31.44
