Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,46.79,46.97,46.43,46.95,566000,46.95
2013-01-31,47.18,47.18,46.49,46.57,821400,46.57
2013-01-30,47.70,47.77,47.06,47.11,566000,47.11
2013-01-29,47.63,47.96,47.37,47.76,770900,47.76
2013-01-28,47.90,47.99,47.52,47.60,546300,47.60
2013-01-25,47.56,47.77,47.33,47.72,471000,47.72
2013-01-24,47.55,47.77,47.23,47.42,519000,47.42
2013-01-23,47.44,47.67,47.33,47.38,562600,47.38
2013-01-22,47.55,47.83,47.42,47.55,479700,47.55
2013-01-18,47.79,47.97,47.43,47.56,420300,47.56
2013-01-17,48.02,48.27,47.74,47.74,379200,47.74
2013-01-16,48.07,48.49,47.69,47.86,572700,47.86
2013-01-15,47.22,47.96,47.06,47.88,533600,47.88
2013-01-14,47.16,47.31,47.01,47.25,346700,47.25
2013-01-11,47.18,47.18,46.45,47.00,459600,47.00
2013-01-10,47.37,47.47,46.86,46.94,397500,46.94
2013-01-09,47.10,47.35,46.90,47.30,365600,47.30
2013-01-08,47.06,47.37,46.84,46.92,382000,46.92
2013-01-07,46.75,47.25,46.67,47.15,478800,47.15
2013-01-04,46.70,46.90,46.54,46.87,441100,46.87
2013-01-03,46.60,47.02,46.53,46.71,435100,46.71
2013-01-02,46.73,46.86,46.30,46.65,589500,46.65
2012-12-31,45.76,46.15,45.64,46.13,531300,46.13
2012-12-28,45.87,46.15,45.68,45.86,381100,45.86
2012-12-27,46.14,46.35,45.56,46.02,884400,46.02
2012-12-26,46.41,46.43,45.87,46.09,542300,46.09
2012-12-24,46.34,47.13,46.21,46.39,304900,46.39
2012-12-21,46.23,46.64,45.88,46.49,1897800,46.49
2012-12-20,45.55,46.38,45.46,46.37,878700,46.37
2012-12-19,45.53,45.81,45.48,45.48,754500,45.48
2012-12-18,45.39,45.83,45.32,45.50,652700,45.50
2012-12-17,45.07,45.54,45.00,45.50,696400,45.50
2012-12-14,45.03,45.24,44.54,45.04,437500,45.04
2012-12-13,45.06,45.16,44.43,44.72,525900,44.72
2012-12-12,44.95,45.26,44.73,45.12,499800,45.12
2012-12-11,45.23,45.39,44.97,45.03,714400,45.03
2012-12-10,45.04,45.29,44.82,45.14,418200,45.14
2012-12-07,44.82,44.99,44.62,44.93,579800,44.93
2012-12-06,43.84,44.71,43.84,44.62,876300,44.62
2012-12-05,44.33,44.75,43.55,43.79,886500,43.79
2012-12-04,43.87,44.53,43.84,44.23,656700,44.23
2012-12-03,43.94,44.06,43.60,43.80,665600,43.80
2012-11-30,43.73,44.10,43.69,43.80,3267400,43.80
2012-11-29,43.89,44.27,43.46,43.66,2228700,43.66
2012-11-28,44.26,44.26,43.59,43.80,1475400,43.80
2012-11-27,44.17,44.47,43.70,44.16,1512900,44.16
2012-11-26,44.41,45.00,43.99,44.40,691000,44.40
2012-11-23,44.54,44.71,44.23,44.55,254300,44.55
2012-11-21,44.67,44.85,44.20,44.35,392700,44.35
2012-11-20,44.45,44.68,44.15,44.68,449500,44.68
2012-11-19,44.32,44.56,43.93,44.48,677500,44.48
2012-11-16,43.49,44.04,43.34,44.01,654100,44.01
2012-11-15,43.74,43.91,42.96,43.27,992100,43.27
2012-11-14,44.77,44.77,43.62,43.79,608900,43.79
2012-11-13,44.44,44.96,43.93,44.64,478700,44.64
2012-11-12,44.80,44.84,44.48,44.63,380400,44.63
2012-11-09,44.82,45.11,44.41,44.76,613800,44.76
2012-11-08,45.46,45.46,44.85,44.99,1003800,44.99
2012-11-07,45.90,46.15,45.56,45.70,712500,45.70
2012-11-06,46.45,46.55,45.93,46.08,1146000,46.08
2012-11-05,46.74,46.74,46.18,46.35,812800,46.35
2012-11-02,46.39,46.75,46.18,46.72,2154500,46.72
2012-11-01,45.41,46.33,45.05,46.17,1855600,46.17
2012-10-31,44.84,45.39,44.52,45.31,1480100,45.31
2012-10-26,44.33,45.01,44.02,45.01,8648900,45.01
2012-10-25,44.24,44.74,43.53,44.25,1633500,44.25
2012-10-24,44.30,46.69,44.06,44.52,1071100,44.52
2012-10-23,43.90,44.00,43.30,43.68,896800,43.68
2012-10-22,44.17,44.17,43.75,44.05,920800,44.05
2012-10-19,44.08,44.44,43.82,44.19,573200,44.19
2012-10-18,43.51,44.15,43.42,44.09,558500,44.09
2012-10-17,43.42,43.67,43.29,43.46,518200,43.46
2012-10-16,43.50,43.67,43.34,43.57,689300,43.57
2012-10-15,43.22,43.48,42.92,43.48,696700,43.48
2012-10-12,42.88,43.38,42.82,43.22,772100,43.22
2012-10-11,43.39,43.48,42.83,42.83,869500,42.83
2012-10-10,42.52,42.81,42.44,42.81,485200,42.81
2012-10-09,42.65,42.92,42.50,42.51,499400,42.51
2012-10-08,42.70,42.82,42.56,42.73,619100,42.73
2012-10-05,43.10,43.15,42.76,42.79,1021300,42.79
2012-10-04,43.59,43.85,43.00,43.04,502800,43.04
2012-10-03,43.44,43.95,43.31,43.46,564600,43.46
2012-10-02,43.34,43.51,43.05,43.49,483400,43.49
2012-10-01,43.90,43.92,42.70,43.29,1189500,43.29
2012-09-28,43.52,43.99,43.40,43.88,849300,43.88
2012-09-27,43.49,43.96,43.20,43.69,1447000,43.69
2012-09-26,43.30,43.71,43.27,43.38,705800,43.38
2012-09-25,44.13,44.35,43.28,43.32,770000,43.32
2012-09-24,43.93,44.20,43.85,44.03,750200,44.03
2012-09-21,44.17,44.39,44.10,44.15,1249600,44.15
2012-09-20,45.01,45.12,44.13,44.16,797600,44.16
2012-09-19,45.57,45.69,45.12,45.18,494400,45.18
2012-09-18,45.86,46.05,45.43,45.57,347400,45.57
2012-09-17,45.93,46.32,45.88,45.92,329900,45.92
2012-09-14,45.86,46.33,45.72,46.01,496900,46.01
2012-09-13,45.50,45.77,45.44,45.67,1078500,45.67
2012-09-12,45.85,45.85,45.48,45.58,509300,45.58
2012-09-11,45.98,46.15,45.50,45.71,753900,45.71
2012-09-10,46.59,46.69,45.90,45.96,488200,45.96
2012-09-07,46.69,46.87,46.46,46.64,303800,46.64
2012-09-06,46.92,47.14,46.53,46.55,720100,46.55
2012-09-05,47.30,47.43,46.47,46.85,952500,46.85
