Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,47.00,47.04,46.86,47.00,332400,47.00
2013-01-31,46.95,47.00,46.90,46.90,199900,46.90
2013-01-30,47.00,47.04,46.90,46.97,181100,46.97
2013-01-29,46.98,47.05,46.97,47.01,228700,47.01
2013-01-28,47.09,47.10,46.98,47.00,125000,47.00
2013-01-25,46.95,47.10,46.92,47.07,233800,47.07
2013-01-24,47.00,47.00,46.82,46.92,375400,46.92
2013-01-23,47.02,47.05,46.90,46.90,721000,46.90
2013-01-22,46.98,47.00,46.90,46.99,274300,46.99
2013-01-18,46.84,47.07,46.79,46.98,887300,46.98
2013-01-17,46.82,46.82,46.75,46.79,180400,46.79
2013-01-16,46.76,46.81,46.62,46.79,206500,46.79
2013-01-15,46.76,46.85,46.75,46.78,582900,46.78
2013-01-14,46.82,46.85,46.77,46.80,290700,46.80
2013-01-11,46.85,46.85,46.81,46.84,438200,46.84
2013-01-10,46.85,46.86,46.80,46.83,329800,46.83
2013-01-09,46.80,46.84,46.69,46.84,443700,46.84
2013-01-08,46.70,46.84,46.67,46.80,640400,46.80
2013-01-07,46.72,46.75,46.60,46.74,560300,46.74
2013-01-04,46.70,46.74,46.65,46.69,414700,46.69
2013-01-03,46.70,46.70,46.56,46.69,510600,46.69
2013-01-02,46.73,46.75,46.62,46.69,847700,46.69
2012-12-31,46.62,46.70,46.50,46.68,881700,46.68
2012-12-28,46.45,46.70,46.45,46.65,682100,46.65
2012-12-27,46.60,46.65,46.49,46.60,419400,46.60
2012-12-26,46.40,46.62,46.38,46.58,800100,46.58
2012-12-24,46.36,46.49,46.25,46.40,139800,46.40
2012-12-21,46.33,46.45,46.09,46.44,1976400,46.44
2012-12-20,46.60,46.60,46.03,46.24,1332100,46.24
2012-12-19,47.00,47.05,46.43,46.52,4200500,46.52
2012-12-18,47.16,47.20,46.82,47.03,15275500,47.03
2012-12-17,37.60,38.30,37.42,38.04,160600,38.04
2012-12-14,37.65,37.87,37.37,37.49,74200,37.49
2012-12-13,37.72,38.03,37.45,37.72,87600,37.72
2012-12-12,38.31,38.45,37.72,37.82,96000,37.82
2012-12-11,38.07,38.45,37.71,38.24,210000,38.14
2012-12-10,38.04,38.59,37.92,37.96,159900,37.86
2012-12-07,38.58,38.58,37.69,38.09,195900,37.99
2012-12-06,37.80,38.29,37.67,38.25,69300,38.15
2012-12-05,37.49,37.94,37.26,37.69,90600,37.59
2012-12-04,36.87,37.38,36.64,37.36,93900,37.26
2012-12-03,36.48,37.12,36.48,36.89,158000,36.79
2012-11-30,37.10,37.10,36.26,36.37,161900,36.27
2012-11-29,37.07,37.17,36.69,37.00,77700,36.90
2012-11-28,36.17,36.95,35.59,36.76,186100,36.66
2012-11-27,36.26,36.74,36.21,36.36,86100,36.26
2012-11-26,35.90,36.37,35.53,36.35,139400,36.25
2012-11-23,35.26,36.10,35.26,36.10,103100,36.01
