Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,65.09,65.58,64.33,64.40,313300,64.40
2013-01-31,65.43,65.46,64.51,64.72,330300,64.72
2013-01-30,65.55,65.86,65.32,65.44,427200,65.44
2013-01-29,65.90,65.94,65.22,65.37,376300,65.37
2013-01-28,66.41,66.67,65.77,65.96,266000,65.96
2013-01-25,67.00,67.45,66.18,66.35,392700,66.35
2013-01-24,67.52,67.70,67.04,67.18,355100,67.18
2013-01-23,66.98,67.78,66.66,67.29,565500,67.29
2013-01-22,65.63,66.07,65.26,66.07,187600,66.07
2013-01-18,65.26,65.86,64.96,65.70,158200,65.70
2013-01-17,64.57,65.32,64.14,65.12,211800,65.12
2013-01-16,65.02,65.02,64.12,64.19,208400,64.19
2013-01-15,64.86,65.32,64.50,65.27,156200,65.27
2013-01-14,65.20,65.51,64.95,64.99,168600,64.99
2013-01-11,65.56,65.85,64.81,65.31,150400,65.31
2013-01-10,65.54,65.71,65.07,65.58,191400,65.58
2013-01-09,63.94,65.23,63.28,64.98,341900,64.98
2013-01-08,63.92,64.77,62.30,63.30,354200,63.30
2013-01-07,65.63,66.63,65.13,65.21,241500,65.21
2013-01-04,64.53,65.78,64.17,65.75,222700,65.75
2013-01-03,63.74,64.74,63.56,64.46,316000,64.46
2013-01-02,63.36,63.91,63.32,63.74,252300,63.74
2012-12-31,60.88,62.13,60.34,61.96,166800,61.96
2012-12-28,61.78,62.18,61.00,61.06,135100,61.06
2012-12-27,61.94,62.48,61.23,62.18,161600,62.18
2012-12-26,63.30,63.30,61.79,61.97,129000,61.97
2012-12-24,63.14,63.63,63.14,63.52,55000,63.52
2012-12-21,62.25,63.48,62.19,63.44,373700,63.44
2012-12-20,62.89,63.44,62.24,63.41,242600,63.41
2012-12-19,62.90,62.96,62.47,62.70,113800,62.70
2012-12-18,62.13,62.95,61.81,62.71,286000,62.71
2012-12-17,61.65,62.07,61.52,61.94,143900,61.94
2012-12-14,62.95,62.95,61.37,61.53,179400,61.53
2012-12-13,61.66,62.40,61.27,61.84,147800,61.84
2012-12-12,62.55,62.94,61.44,62.05,134700,62.05
2012-12-11,62.84,62.84,62.07,62.32,125900,62.32
2012-12-10,61.79,62.53,61.52,62.41,134900,62.41
2012-12-07,62.00,62.15,61.64,62.01,215500,62.01
2012-12-06,61.64,62.30,61.12,62.04,228700,62.04
2012-12-05,61.12,61.91,61.12,61.58,186300,61.58
2012-12-04,60.61,61.57,60.53,61.43,258500,61.43
2012-12-03,60.23,60.82,59.09,60.55,427300,60.55
2012-11-30,61.18,61.97,59.86,60.00,518100,60.00
2012-11-29,60.68,61.25,60.17,61.12,165900,61.12
2012-11-28,59.71,60.89,59.61,60.49,159000,60.49
2012-11-27,60.11,60.69,59.91,60.15,213300,60.15
2012-11-26,59.26,60.43,59.22,60.28,351100,60.28
2012-11-23,59.68,59.77,59.21,59.63,92500,59.63
2012-11-21,59.21,59.63,58.93,59.40,176100,59.40
2012-11-20,59.46,59.50,58.95,59.35,127300,59.35
2012-11-19,58.43,59.58,58.43,59.35,300600,59.35
2012-11-16,57.61,58.50,57.03,58.50,440200,58.24
2012-11-15,57.87,58.18,57.37,57.55,189200,57.29
2012-11-14,58.84,59.00,57.66,57.80,362800,57.54
2012-11-13,58.75,59.50,58.31,58.63,387300,58.37
2012-11-12,60.22,60.91,58.85,59.20,356900,58.94
2012-11-09,57.41,60.19,57.41,59.93,777600,59.66
2012-11-08,58.12,58.64,57.03,57.08,366000,56.83
2012-11-07,59.49,60.08,57.50,58.28,634500,58.02
2012-11-06,58.91,60.19,58.91,60.00,506500,59.73
2012-11-05,58.38,59.31,58.18,58.88,401500,58.62
2012-11-02,59.16,59.90,58.41,58.52,523100,58.26
2012-11-01,59.81,60.71,58.46,58.79,1306300,58.53
2012-10-31,56.61,57.39,56.06,57.29,241400,57.04
2012-10-26,55.76,56.70,55.76,56.67,201800,56.42
2012-10-25,56.88,56.96,55.33,55.74,353200,55.49
2012-10-24,56.91,56.99,55.91,56.46,323200,56.21
2012-10-23,56.49,56.80,55.85,56.61,266900,56.36
2012-10-22,57.49,57.74,56.24,56.55,302400,56.30
2012-10-19,56.97,58.80,56.02,57.43,744800,57.17
2012-10-18,56.30,57.29,56.06,57.11,361200,56.86
2012-10-17,55.12,56.44,54.90,56.35,365000,56.10
2012-10-16,53.86,55.21,53.62,55.21,497200,54.96
2012-10-15,53.08,54.67,52.91,53.42,360600,53.18
2012-10-12,52.06,52.34,51.67,51.94,144000,51.71
2012-10-11,51.61,52.00,51.44,51.90,148900,51.67
2012-10-10,51.17,51.62,50.93,51.44,223700,51.21
2012-10-09,52.03,52.03,50.91,51.19,182300,50.96
2012-10-08,52.44,52.66,51.70,51.94,161300,51.71
2012-10-05,52.69,53.49,52.11,52.55,236900,52.32
2012-10-04,51.96,52.45,51.49,51.81,157100,51.58
2012-10-03,51.89,52.27,51.55,51.72,288500,51.49
2012-10-02,51.97,52.10,51.16,51.90,307100,51.67
2012-10-01,51.87,53.22,50.72,51.96,715600,51.73
2012-09-28,50.00,50.39,49.66,50.11,171800,49.89
2012-09-27,50.03,50.28,49.39,50.23,141300,50.01
2012-09-26,49.12,50.03,48.67,49.80,227200,49.58
2012-09-25,49.36,49.78,48.72,49.14,249800,48.92
2012-09-24,49.47,49.65,49.10,49.24,123000,49.02
2012-09-21,50.56,50.70,49.60,49.71,387800,49.49
2012-09-20,50.02,50.29,49.60,50.23,126700,50.01
2012-09-19,50.14,50.45,49.59,50.21,182100,49.99
2012-09-18,50.19,50.42,49.94,50.17,152200,49.95
2012-09-17,50.96,51.01,50.14,50.32,131600,50.10
2012-09-14,50.78,51.48,50.78,51.16,227500,50.93
2012-09-13,49.78,51.12,49.31,50.62,204600,50.40
2012-09-12,49.37,49.85,48.92,49.61,166200,49.39
2012-09-11,49.25,49.50,48.96,49.23,116200,49.01
2012-09-10,49.89,49.95,49.23,49.32,170000,49.10
2012-09-07,50.06,50.60,49.75,49.96,213300,49.74
2012-09-06,49.68,50.48,49.53,49.59,274200,49.37
2012-09-05,49.03,49.53,48.70,49.50,203200,49.28
2012-09-04,48.99,49.12,48.00,48.88,151600,48.66
2012-08-31,49.01,49.64,48.90,48.99,150500,48.77
2012-08-30,49.83,50.20,48.95,49.31,282800,48.89
2012-08-29,50.01,50.24,49.64,50.17,140000,49.74
2012-08-28,49.83,49.97,49.32,49.88,225000,49.46
2012-08-27,50.87,51.33,49.90,49.94,212100,49.52
2012-08-24,50.17,50.96,49.70,50.68,180900,50.25
2012-08-23,50.89,50.96,50.01,50.21,134000,49.78
2012-08-22,51.40,51.78,50.94,51.05,136500,50.62
2012-08-21,52.09,52.33,51.38,51.58,202100,51.14
2012-08-20,51.70,52.00,51.47,51.97,140800,51.53
2012-08-17,51.70,52.03,51.43,51.80,281200,51.36
2012-08-16,50.44,51.77,50.36,51.74,236400,51.30
2012-08-15,49.91,50.40,49.83,50.36,215700,49.93
2012-08-14,50.76,50.76,50.00,50.20,357700,49.77
2012-08-13,49.96,50.89,49.70,50.61,391600,50.18
2012-08-10,51.40,51.52,49.44,50.16,356400,49.73
2012-08-09,50.85,53.86,50.40,51.94,851400,51.50
2012-08-08,48.35,48.72,47.33,48.48,506700,48.07
2012-08-07,47.40,48.74,47.40,48.58,234800,48.17
2012-08-06,46.84,47.68,46.84,47.24,226000,46.84
2012-08-03,46.28,47.54,46.16,46.67,205400,46.27
2012-08-02,46.08,46.35,45.24,45.66,166500,45.27
2012-08-01,46.50,46.77,46.18,46.42,184700,46.03
2012-07-31,46.27,46.54,45.90,46.32,133800,45.93
2012-07-30,45.75,46.86,45.42,46.38,249600,45.99
2012-07-27,44.93,45.99,44.76,45.67,342400,45.28
2012-07-26,45.60,45.68,44.18,44.64,466600,44.26
2012-07-25,44.31,45.34,44.29,45.03,256900,44.65
2012-07-24,45.30,45.30,43.08,44.00,602800,43.63
2012-07-23,45.18,45.63,44.50,45.31,143000,44.93
2012-07-20,45.77,46.11,45.52,45.71,164900,45.32
2012-07-19,45.96,46.26,45.37,46.00,224500,45.61
2012-07-18,45.45,46.50,45.14,45.92,389700,45.53
2012-07-17,46.81,46.99,45.04,45.70,481800,45.31
2012-07-16,48.39,48.84,46.16,46.72,431700,46.32
2012-07-13,47.70,48.91,47.70,48.61,120500,48.20
2012-07-12,48.19,48.34,47.20,47.71,166300,47.31
2012-07-11,48.98,49.35,48.26,48.45,167900,48.04
2012-07-10,49.44,50.01,48.56,48.95,196400,48.53
2012-07-09,49.33,49.91,48.96,49.36,220700,48.94
2012-07-06,49.76,49.88,49.07,49.33,181600,48.91
2012-07-05,50.65,50.77,50.02,50.26,252200,49.83
2012-07-03,50.14,50.95,50.10,50.80,127900,50.37
2012-07-02,50.73,51.10,49.82,50.22,295900,49.79
2012-06-29,49.18,50.68,48.96,50.57,414400,50.14
2012-06-28,47.83,48.19,47.37,48.18,241300,47.77
2012-06-27,46.93,48.57,46.60,48.21,216600,47.80
2012-06-26,47.44,47.60,46.68,46.70,253300,46.30
2012-06-25,47.71,47.71,47.04,47.40,137400,47.00
2012-06-22,47.44,48.36,47.28,48.09,439300,47.68
2012-06-21,48.15,48.32,46.98,47.17,267400,46.77
2012-06-20,48.37,48.54,47.88,48.08,221300,47.67
2012-06-19,47.17,48.92,46.60,48.47,438100,48.06
2012-06-18,45.21,47.04,45.21,46.90,324900,46.50
2012-06-15,46.80,47.08,45.26,45.47,604800,45.08
2012-06-14,46.88,47.61,46.71,46.79,238300,46.39
2012-06-13,47.25,47.66,46.59,46.77,255500,46.37
2012-06-12,47.75,47.79,47.01,47.30,326100,46.90
2012-06-11,48.20,48.37,47.48,47.48,158900,47.08
2012-06-08,48.17,48.30,47.84,47.91,226800,47.50
2012-06-07,48.77,49.13,48.26,48.34,158000,47.93
2012-06-06,47.66,48.74,47.49,48.49,272600,47.88
2012-06-05,47.18,47.62,46.98,47.26,170400,46.67
2012-06-04,47.72,48.20,46.96,47.26,331700,46.67
2012-06-01,48.52,48.52,47.71,47.82,220200,47.22
2012-05-31,49.90,50.10,48.84,48.95,301100,48.33
2012-05-30,49.84,50.22,49.29,49.81,153800,49.18
2012-05-29,50.15,50.53,49.90,50.14,206600,49.51
2012-05-25,49.78,50.35,49.62,49.81,183300,49.18
2012-05-24,49.95,50.89,49.17,49.89,374100,49.26
2012-05-23,50.90,51.34,49.67,49.99,630000,49.36
2012-05-22,51.67,51.94,50.98,51.30,195000,50.66
2012-05-21,51.91,52.06,51.27,51.85,224200,51.20
2012-05-18,52.65,52.65,51.63,51.74,263300,51.09
2012-05-17,52.20,52.51,51.90,52.29,302500,51.63
2012-05-16,52.43,53.21,52.02,52.09,198300,51.44
2012-05-15,53.26,53.27,52.08,52.30,333200,51.64
2012-05-14,51.78,53.54,51.58,53.20,286200,52.53
2012-05-11,52.20,52.69,52.08,52.34,268000,51.68
2012-05-10,52.87,52.91,52.35,52.48,204800,51.82
2012-05-09,53.05,53.18,52.07,52.54,281000,51.88
2012-05-08,53.07,53.66,52.67,53.48,349900,52.81
2012-05-07,53.22,53.72,52.76,53.62,355400,52.95
2012-05-04,53.82,54.02,52.71,53.25,228400,52.58
2012-05-03,53.46,54.31,52.89,54.19,397000,53.51
2012-05-02,52.87,53.27,52.44,53.14,380500,52.47
2012-05-01,53.25,53.66,53.00,53.10,425500,52.43
2012-04-30,53.30,53.45,52.75,53.30,220000,52.63
2012-04-27,52.80,53.52,52.67,53.42,387500,52.75
2012-04-26,52.08,52.79,51.81,52.50,480200,51.84
2012-04-25,51.92,52.84,51.62,52.19,367900,51.53
2012-04-24,51.37,51.71,50.74,51.40,261500,50.75
2012-04-23,51.15,51.69,50.57,51.57,330000,50.92
2012-04-20,51.06,52.33,50.91,51.63,331000,50.98
2012-04-19,50.90,51.86,50.76,50.96,503400,50.32
2012-04-18,51.26,51.45,49.95,50.94,499000,50.30
2012-04-17,50.47,51.68,50.47,51.52,532500,50.87
2012-04-16,50.65,50.94,50.21,50.32,257700,49.69
2012-04-13,51.57,51.72,50.44,50.55,362000,49.91
2012-04-12,50.21,52.15,49.91,51.89,482000,51.24
2012-04-11,48.90,51.30,48.90,50.19,642200,49.56
2012-04-10,48.12,48.61,48.01,48.61,603300,48.00
2012-04-09,48.86,48.86,48.00,48.34,284100,47.73
2012-04-05,50.14,50.37,49.06,49.32,214000,48.70
2012-04-04,50.89,50.93,50.31,50.41,236500,49.78
2012-04-03,52.02,52.18,50.49,51.28,434500,50.64
