Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,38.60,39.32,38.54,38.71,1229900,38.71
2013-01-31,38.45,38.93,38.42,38.51,1351900,38.51
2013-01-30,39.88,40.00,37.65,38.44,4511800,38.44
2013-01-29,35.94,36.22,35.92,36.14,1150500,36.14
2013-01-28,36.00,36.10,35.92,36.01,1067500,36.01
2013-01-25,36.07,36.11,35.84,36.00,1020500,36.00
2013-01-24,36.01,36.13,35.78,35.94,1020600,35.94
2013-01-23,35.68,36.02,35.66,35.99,727900,35.99
2013-01-22,35.87,35.99,35.56,35.80,884300,35.80
2013-01-18,35.85,36.02,35.68,35.93,731400,35.93
2013-01-17,36.00,36.06,35.74,35.98,717100,35.98
2013-01-16,35.87,36.02,35.74,35.85,638700,35.85
2013-01-15,35.78,35.98,35.52,35.96,365600,35.96
2013-01-14,35.89,36.01,35.69,35.96,480800,35.96
2013-01-11,36.00,36.25,35.79,35.86,709700,35.86
2013-01-10,36.41,36.42,35.95,36.05,714600,36.05
2013-01-09,36.02,36.51,36.02,36.20,1083800,36.20
2013-01-08,36.63,36.68,35.97,35.97,792600,35.97
2013-01-07,36.25,36.76,36.25,36.68,797200,36.68
2013-01-04,35.86,36.60,35.80,36.44,1123200,36.44
2013-01-03,36.17,36.17,35.36,35.73,1113200,35.73
2013-01-02,35.35,35.66,35.25,35.48,1272200,35.48
2012-12-31,34.30,34.96,34.18,34.92,550800,34.92
2012-12-28,34.71,34.93,34.40,34.40,724400,34.40
2012-12-27,34.77,34.97,34.57,34.89,757800,34.89
2012-12-26,34.81,34.98,34.53,34.76,446200,34.76
2012-12-24,34.76,34.85,34.57,34.76,211800,34.76
2012-12-21,34.64,34.93,34.39,34.77,1605300,34.77
2012-12-20,34.72,34.98,34.55,34.97,609400,34.97
2012-12-19,34.76,34.97,34.44,34.73,784500,34.73
2012-12-18,34.13,34.89,34.03,34.76,576400,34.76
2012-12-17,34.07,34.15,33.83,34.09,656200,34.09
2012-12-14,33.87,34.27,33.54,34.00,563200,34.00
2012-12-13,33.99,34.15,33.73,33.92,530600,33.92
2012-12-12,34.15,34.30,33.93,34.02,585000,34.02
2012-12-11,33.96,34.19,33.85,34.09,616700,34.09
2012-12-10,33.51,34.24,33.43,33.88,756000,33.88
2012-12-07,33.48,33.56,33.30,33.55,385500,33.55
2012-12-06,33.22,33.57,33.07,33.48,557800,33.48
2012-12-05,33.26,33.45,32.87,33.25,445900,33.25
2012-12-04,33.08,33.47,32.95,33.29,342200,33.29
2012-12-03,33.53,33.53,32.96,33.10,513500,33.10
2012-11-30,33.64,33.90,33.21,33.45,831300,33.18
2012-11-29,33.66,34.09,33.39,33.63,462200,33.36
2012-11-28,33.57,33.76,32.99,33.70,472500,33.43
2012-11-27,33.75,33.96,32.99,33.65,505900,33.38
2012-11-26,33.70,35.32,33.63,33.85,746800,33.58
2012-11-23,33.35,33.82,33.02,33.79,216900,33.52
2012-11-21,33.05,33.45,33.02,33.23,379400,32.96
2012-11-20,32.38,33.09,32.19,33.06,598300,32.79
2012-11-19,32.38,32.75,32.14,32.37,577200,32.11
2012-11-16,31.79,32.03,31.38,31.99,674100,31.73
2012-11-15,32.22,32.42,31.70,31.76,659600,31.50
2012-11-14,32.61,32.85,32.12,32.23,995900,31.97
2012-11-13,32.80,33.03,32.50,32.55,519200,32.29
2012-11-12,32.99,33.24,32.53,32.80,518300,32.54
2012-11-09,32.91,33.52,32.86,32.98,530700,32.71
2012-11-08,33.33,33.71,32.98,32.98,791100,32.71
2012-11-07,33.82,33.86,32.98,33.33,786900,33.06
2012-11-06,33.74,34.16,33.47,34.06,1020100,33.79
2012-11-05,33.03,33.84,32.80,33.71,801700,33.44
2012-11-02,33.28,34.17,33.11,33.20,1013600,32.93
2012-11-01,32.40,32.95,32.31,32.86,563100,32.59
2012-10-31,32.37,33.37,32.17,32.38,643800,32.12
2012-10-26,32.50,32.60,31.81,32.25,747900,31.99
2012-10-25,32.50,32.99,32.29,32.46,919400,32.20
2012-10-24,31.92,33.87,31.52,32.25,2020500,31.99
2012-10-23,29.66,30.02,29.27,29.75,587100,29.51
2012-10-22,30.20,30.38,29.85,30.08,450700,29.84
2012-10-19,30.76,30.76,30.19,30.34,569600,30.10
2012-10-18,31.04,31.04,30.69,30.84,767900,30.59
2012-10-17,30.52,31.18,30.42,31.12,706800,30.87
2012-10-16,30.24,30.54,30.18,30.41,528600,30.16
2012-10-15,29.54,30.10,29.34,30.08,492700,29.84
2012-10-12,30.10,30.25,29.53,29.55,624700,29.31
2012-10-11,30.11,30.36,30.02,30.04,552900,29.80
2012-10-10,29.86,30.17,29.82,29.88,808000,29.64
2012-10-09,30.06,30.14,29.88,29.90,640100,29.66
2012-10-08,29.97,30.19,29.95,30.02,824500,29.78
2012-10-05,30.01,30.30,29.70,30.05,1084800,29.81
2012-10-04,29.72,30.52,29.50,30.07,1864200,29.83
2012-10-03,31.83,31.90,31.31,31.45,588500,31.20
2012-10-02,31.94,32.10,31.60,31.81,822900,31.55
2012-10-01,31.94,32.30,31.79,31.89,779000,31.63
2012-09-28,31.65,31.90,31.15,31.82,851200,31.56
2012-09-27,31.40,31.76,31.11,31.67,646700,31.41
2012-09-26,31.18,31.40,31.09,31.26,564100,31.01
2012-09-25,31.36,31.54,31.04,31.20,972900,30.95
2012-09-24,30.93,31.43,30.92,31.28,838900,31.03
2012-09-21,31.02,31.22,30.64,31.16,1061500,30.91
2012-09-20,31.09,31.10,30.77,30.85,666300,30.60
2012-09-19,31.16,31.47,31.16,31.28,415900,31.03
2012-09-18,31.42,31.42,30.96,31.17,421600,30.92
2012-09-17,31.75,31.75,31.30,31.44,536100,31.19
2012-09-14,30.90,31.97,30.90,31.84,982300,31.58
2012-09-13,30.66,31.08,30.38,30.95,828100,30.70
2012-09-12,30.83,30.98,30.45,30.64,921100,30.39
2012-09-11,30.60,30.86,30.53,30.69,664800,30.44
2012-09-10,30.66,31.05,30.60,30.61,532900,30.36
2012-09-07,30.64,30.93,30.64,30.76,478300,30.51
2012-09-06,30.17,30.91,30.06,30.81,819100,30.56
2012-09-05,29.39,30.04,29.22,29.86,1679500,29.62
2012-09-04,31.25,31.25,28.91,29.60,2486400,29.36
2012-08-31,31.12,31.42,30.85,31.23,712700,30.98
2012-08-30,31.17,31.19,30.77,31.00,436000,30.48
2012-08-29,31.08,31.72,31.05,31.37,535600,30.85
2012-08-28,31.01,31.23,30.86,31.07,413900,30.55
2012-08-27,31.59,31.64,31.00,31.02,543400,30.50
2012-08-24,31.29,31.59,31.20,31.50,518700,30.97
2012-08-23,31.59,31.59,31.18,31.33,548000,30.81
2012-08-22,31.82,31.84,31.51,31.61,498800,31.08
2012-08-21,32.07,32.26,31.73,31.89,630600,31.36
2012-08-20,31.94,32.23,31.78,31.96,479600,31.43
2012-08-17,31.91,32.13,31.83,32.04,609000,31.50
2012-08-16,31.25,31.96,31.25,31.84,557700,31.31
2012-08-15,31.29,31.51,31.22,31.29,534400,30.77
2012-08-14,31.77,31.81,31.36,31.46,470200,30.93
2012-08-13,31.72,31.95,31.39,31.56,473200,31.03
2012-08-10,31.44,31.79,31.27,31.77,646400,31.24
2012-08-09,31.61,31.80,31.47,31.57,636900,31.04
2012-08-08,31.24,31.87,31.24,31.62,647400,31.09
2012-08-07,31.37,31.62,31.17,31.48,578900,30.95
2012-08-06,31.25,31.40,30.96,31.23,654000,30.71
2012-08-03,31.06,31.47,31.03,31.12,590200,30.60
2012-08-02,30.56,30.81,30.16,30.54,887900,30.03
2012-08-01,30.94,31.27,30.71,30.72,1066700,30.21
2012-07-31,31.23,31.37,30.78,30.79,1064300,30.28
2012-07-30,30.87,31.33,30.71,31.32,816500,30.80
2012-07-27,30.58,31.29,30.47,30.87,1020200,30.35
2012-07-26,30.61,30.81,29.97,30.31,888800,29.80
2012-07-25,29.98,30.40,29.52,29.91,1282000,29.41
2012-07-24,28.32,30.88,28.32,30.31,3070400,29.80
2012-07-23,28.12,28.38,27.79,28.24,720900,27.77
2012-07-20,29.14,29.49,28.70,28.74,1089800,28.26
2012-07-19,29.26,29.50,29.17,29.31,1050600,28.82
2012-07-18,28.54,29.25,28.49,29.12,627800,28.63
2012-07-17,28.16,28.66,27.89,28.59,661900,28.11
2012-07-16,28.00,28.25,27.71,28.14,655100,27.67
2012-07-13,27.47,28.10,27.43,28.02,635100,27.55
2012-07-12,27.60,27.62,27.32,27.37,1257000,26.91
2012-07-11,27.53,27.87,27.45,27.80,1175400,27.34
2012-07-10,27.49,27.80,27.37,27.51,1348600,27.05
2012-07-09,27.26,27.44,27.03,27.43,998300,26.97
2012-07-06,27.02,27.38,26.96,27.37,1007600,26.91
2012-07-05,27.62,27.77,27.30,27.41,604000,26.95
2012-07-03,27.22,27.82,26.98,27.77,408500,27.31
2012-07-02,27.49,27.55,27.01,27.22,738300,26.77
2012-06-29,27.42,27.51,27.20,27.34,581100,26.88
2012-06-28,26.44,26.81,26.32,26.73,692000,26.28
2012-06-27,26.55,26.71,26.27,26.63,901000,26.18
2012-06-26,26.72,26.77,26.18,26.38,1213900,25.94
2012-06-25,27.14,27.15,26.54,26.55,856400,26.11
2012-06-22,27.64,27.68,27.31,27.51,997800,27.05
2012-06-21,28.16,28.27,27.38,27.40,607900,26.94
2012-06-20,28.35,28.50,27.97,28.06,911300,27.59
2012-06-19,27.84,28.65,27.84,28.39,749700,27.92
2012-06-18,27.65,27.87,27.52,27.76,597300,27.30
2012-06-15,27.25,27.83,27.19,27.81,1362800,27.35
2012-06-14,27.10,27.30,26.83,27.06,1170400,26.61
2012-06-13,27.63,27.66,26.96,27.02,1167300,26.57
2012-06-12,27.92,28.04,27.58,27.70,1205300,27.24
2012-06-11,28.66,28.67,27.75,27.82,765000,27.36
2012-06-08,27.93,28.56,27.79,28.32,1258900,27.85
2012-06-07,28.45,29.32,28.01,28.09,850800,27.62
2012-06-06,27.69,28.21,27.53,28.21,802600,27.74
2012-06-05,27.30,27.78,27.24,27.37,968100,26.91
2012-06-04,28.03,28.12,27.14,27.36,1161300,26.90
2012-06-01,28.85,28.85,28.05,28.12,963300,27.38
2012-05-31,29.22,29.25,28.85,29.11,1512000,28.35
2012-05-30,30.06,30.18,29.20,29.20,1069900,28.44
2012-05-29,29.54,30.46,29.50,30.43,680600,29.63
