Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,67.67,68.31,67.17,68.13,691300,68.13
2013-01-31,67.46,67.55,66.56,67.28,671900,67.28
2013-01-30,65.90,67.47,65.90,67.25,936600,67.25
2013-01-29,67.26,68.19,64.90,66.16,882800,66.16
2013-01-28,67.65,68.42,67.37,67.56,608200,67.56
2013-01-25,67.19,68.15,67.03,67.72,519500,67.72
2013-01-24,67.10,67.80,66.71,66.94,661500,66.94
2013-01-23,66.59,67.15,66.55,67.02,536400,67.02
2013-01-22,66.38,66.77,65.81,66.68,537300,66.68
2013-01-18,67.58,68.13,65.60,66.42,676900,66.42
2013-01-17,67.17,68.20,67.08,67.84,332100,67.84
2013-01-16,64.91,67.51,64.91,66.79,747100,66.79
2013-01-15,64.57,65.39,64.31,64.98,198500,64.98
2013-01-14,64.78,65.28,64.52,64.80,125200,64.80
2013-01-11,64.58,65.03,64.09,64.84,682200,64.84
2013-01-10,64.91,65.21,63.92,64.51,435800,64.51
2013-01-09,64.99,65.64,64.70,64.80,464000,64.80
2013-01-08,66.29,66.56,64.85,65.01,572100,65.01
2013-01-07,66.24,66.82,66.24,66.51,462100,66.51
2013-01-04,66.03,66.72,65.63,66.50,224600,66.50
2013-01-03,66.09,66.89,65.43,65.70,231600,65.70
2013-01-02,64.50,65.98,63.99,65.92,567600,65.92
2012-12-31,62.45,64.00,62.00,63.98,115400,63.98
2012-12-28,62.66,63.19,62.47,62.64,119400,62.64
2012-12-27,62.94,63.26,62.28,63.14,113000,63.14
2012-12-26,63.04,63.26,62.79,63.00,123000,63.00
2012-12-24,63.18,63.37,62.54,62.87,52800,62.87
2012-12-21,62.77,63.25,62.25,63.20,346500,63.20
2012-12-20,63.01,63.54,62.76,63.45,203600,63.45
2012-12-19,62.90,63.28,62.54,62.86,214000,62.86
2012-12-18,62.12,63.11,61.75,63.02,228100,63.02
2012-12-17,61.28,61.87,61.23,61.81,123200,61.81
2012-12-14,60.98,61.57,60.73,61.04,315700,61.04
2012-12-13,61.35,61.76,60.74,61.07,201700,61.07
2012-12-12,61.98,62.41,60.99,61.36,172600,61.36
2012-12-11,62.00,62.30,61.29,61.75,186400,61.75
2012-12-10,62.20,62.20,61.27,61.68,192800,61.68
2012-12-07,61.96,61.97,61.39,61.71,181800,61.71
2012-12-06,61.49,61.80,61.11,61.47,205700,61.47
2012-12-05,61.86,62.00,61.17,61.67,217900,61.67
2012-12-04,60.95,61.61,60.71,61.53,152200,61.53
2012-12-03,61.50,61.50,60.50,60.92,161900,60.92
2012-11-30,61.13,61.15,60.58,61.08,212300,61.08
2012-11-29,60.48,61.00,59.87,61.00,211700,61.00
2012-11-28,59.21,59.99,58.80,59.99,167100,59.99
2012-11-27,59.54,59.98,58.86,59.59,251000,59.59
2012-11-26,59.62,59.91,59.20,59.70,191100,59.70
2012-11-23,59.18,60.51,58.31,59.96,143600,59.96
2012-11-21,58.84,59.03,58.43,58.83,118000,58.83
2012-11-20,58.64,58.81,58.20,58.60,128000,58.60
2012-11-19,58.05,59.00,57.87,58.91,159500,58.91
2012-11-16,58.17,58.17,57.04,57.50,214700,57.50
2012-11-15,58.07,58.52,57.62,57.92,133500,57.92
2012-11-14,58.95,59.17,58.18,58.18,395200,58.18
2012-11-13,58.61,59.20,58.38,58.64,157000,58.64
2012-11-12,59.82,59.82,58.80,59.15,89300,59.15
2012-11-09,58.58,60.01,58.54,59.57,205100,59.57
2012-11-08,59.45,59.66,58.26,59.00,402000,59.00
2012-11-07,59.81,60.40,59.27,59.45,242700,59.45
2012-11-06,60.22,61.08,60.01,60.94,207300,60.94
2012-11-05,59.10,60.18,59.10,60.03,257700,60.03
2012-11-02,59.89,59.92,58.80,58.94,578300,58.94
2012-11-01,58.42,59.71,58.39,59.51,312400,59.51
2012-10-31,57.36,58.62,57.36,58.62,232500,58.62
2012-10-26,57.40,57.75,56.55,57.27,245800,57.27
2012-10-25,56.58,57.52,56.26,57.52,281600,57.52
2012-10-24,56.49,56.77,55.90,56.13,361800,56.13
2012-10-23,54.98,56.90,54.80,56.34,469900,56.34
2012-10-22,55.76,56.10,55.00,55.73,253200,55.73
2012-10-19,55.94,56.16,55.65,55.77,538100,55.77
2012-10-18,57.25,57.25,56.28,56.49,217900,56.49
2012-10-17,55.78,56.91,55.68,56.80,195500,56.80
2012-10-16,55.51,56.00,55.41,55.74,308300,55.74
2012-10-15,54.45,55.29,54.17,55.29,681900,55.29
2012-10-12,54.99,55.32,54.11,54.36,278000,54.36
2012-10-11,55.14,55.49,54.56,55.15,345800,55.15
2012-10-10,55.10,55.25,54.26,54.70,360600,54.70
2012-10-09,56.78,56.78,55.20,55.36,207500,55.36
2012-10-08,56.63,57.15,56.61,56.91,112300,56.91
2012-10-05,57.36,57.70,56.86,56.99,134300,56.99
2012-10-04,57.28,57.42,56.69,57.00,166700,57.00
2012-10-03,57.25,57.29,56.61,57.04,234800,57.04
2012-10-02,58.00,58.24,56.98,57.05,331700,57.05
2012-10-01,57.67,58.31,57.18,57.74,296000,57.74
2012-09-28,57.24,57.78,56.83,57.46,313800,57.46
2012-09-27,56.40,57.59,56.40,57.58,358500,57.58
2012-09-26,57.30,57.42,56.17,56.36,384300,56.36
2012-09-25,59.22,60.49,57.15,57.30,826500,57.30
2012-09-24,62.15,62.53,61.59,62.19,97700,62.19
2012-09-21,62.73,63.09,62.40,62.56,200000,62.56
2012-09-20,62.30,62.50,61.73,62.05,121800,62.05
2012-09-19,62.65,63.23,62.64,62.75,164800,62.75
2012-09-18,63.00,63.25,62.38,62.65,136700,62.65
2012-09-17,63.33,63.57,62.83,63.18,222400,63.18
2012-09-14,63.32,63.92,63.23,63.63,183000,63.63
2012-09-13,63.00,63.19,62.44,63.01,232000,63.01
2012-09-12,62.59,62.93,62.11,62.93,93900,62.93
2012-09-11,62.12,62.61,62.11,62.31,131100,62.31
2012-09-10,62.24,62.43,62.11,62.25,116200,62.25
2012-09-07,62.20,62.76,61.90,62.13,160900,62.13
2012-09-06,61.34,62.96,60.98,62.10,217800,62.10
2012-09-05,60.66,61.24,60.31,60.81,143000,60.81
2012-09-04,60.29,61.32,59.60,60.75,144100,60.75
2012-08-31,60.54,60.85,59.95,60.13,153300,60.13
2012-08-30,60.83,60.83,59.97,60.00,115300,60.00
2012-08-29,61.33,61.85,61.05,61.24,195400,61.24
2012-08-28,60.77,61.46,60.77,61.26,188800,61.26
2012-08-27,61.21,61.21,60.68,60.92,199800,60.92
2012-08-24,60.62,61.28,60.29,61.07,162100,61.07
2012-08-23,60.95,61.27,60.65,60.92,164100,60.92
2012-08-22,61.19,61.37,60.57,61.06,368100,61.06
2012-08-21,61.45,61.90,60.81,61.21,125400,61.21
2012-08-20,61.47,61.47,60.91,61.29,518700,61.29
2012-08-17,61.41,61.76,61.11,61.37,237400,61.37
2012-08-16,60.52,61.69,60.37,61.43,102900,61.43
2012-08-15,59.65,60.88,59.65,60.70,170300,60.70
2012-08-14,60.48,60.91,59.84,59.96,220600,59.96
2012-08-13,59.96,60.40,59.72,60.23,298000,60.23
2012-08-10,59.75,60.24,59.30,60.15,348400,60.15
2012-08-09,59.40,60.09,58.95,59.90,314200,59.90
2012-08-08,59.63,60.09,59.34,59.64,324900,59.64
2012-08-07,57.35,60.49,57.14,59.65,663800,59.65
2012-08-06,56.60,57.62,55.94,57.15,244900,57.15
2012-08-03,56.27,57.11,56.03,56.72,279500,56.72
2012-08-02,55.28,55.79,54.15,55.27,292400,55.27
2012-08-01,57.09,57.09,55.50,55.65,446300,55.65
2012-07-31,55.40,57.61,55.35,56.91,656000,56.91
2012-07-30,54.76,55.72,54.46,55.54,302800,55.54
2012-07-27,51.85,54.98,51.67,54.67,478000,54.67
2012-07-26,50.39,51.14,49.76,51.04,671800,51.04
2012-07-25,50.38,50.68,49.23,49.76,511900,49.76
2012-07-24,48.13,51.66,47.98,49.92,1284500,49.92
2012-07-23,51.76,52.43,51.63,51.97,446700,51.97
2012-07-20,54.10,54.20,52.85,52.87,300200,52.87
2012-07-19,54.09,54.75,53.65,54.47,437700,54.47
2012-07-18,51.35,53.76,51.13,53.70,302200,53.70
2012-07-17,52.30,52.54,51.24,51.62,251700,51.62
2012-07-16,53.20,53.43,51.93,52.09,206600,52.09
2012-07-13,52.95,53.90,52.82,53.58,137800,53.58
2012-07-12,51.97,52.95,51.59,52.69,176400,52.69
2012-07-11,52.05,52.84,51.63,52.59,351100,52.59
2012-07-10,53.30,53.93,51.80,52.00,227100,52.00
2012-07-09,53.58,53.92,52.83,53.17,262900,53.17
2012-07-06,54.61,55.06,53.35,53.84,190200,53.84
2012-07-05,54.88,55.38,54.19,55.11,167000,55.11
2012-07-03,53.60,55.12,53.60,55.12,118300,55.12
2012-07-02,53.35,53.73,52.82,53.72,203000,53.72
2012-06-29,52.33,53.18,51.99,53.05,357000,53.05
2012-06-28,52.06,52.40,50.75,51.14,537500,51.14
2012-06-27,52.25,52.86,51.84,52.52,357300,52.52
2012-06-26,52.94,53.43,52.11,52.22,350800,52.22
2012-06-25,53.50,53.53,52.59,52.85,275000,52.85
2012-06-22,54.23,54.69,53.67,54.47,266100,54.47
2012-06-21,55.87,56.22,53.66,53.80,297200,53.80
2012-06-20,55.28,56.30,54.83,55.95,369700,55.95
2012-06-19,54.32,55.48,54.21,55.31,339200,55.31
2012-06-18,52.66,53.94,52.23,53.90,308400,53.90
2012-06-15,53.11,53.58,52.76,53.03,290900,53.03
2012-06-14,53.35,53.85,52.48,53.11,368200,53.11
2012-06-13,54.73,54.87,53.08,53.23,312700,53.23
2012-06-12,54.84,55.28,53.90,54.72,847800,54.72
2012-06-11,56.87,57.22,54.47,54.53,251900,54.53
2012-06-08,55.84,56.59,55.34,56.40,142400,56.40
2012-06-07,57.67,58.11,55.96,56.05,209900,56.05
2012-06-06,56.62,57.17,56.07,56.86,417600,56.86
2012-06-05,54.77,56.39,54.51,56.24,391600,56.24
2012-06-04,55.89,56.11,54.43,55.05,445100,55.05
2012-06-01,55.83,56.92,55.43,55.56,268600,55.56
2012-05-31,59.00,59.31,57.12,57.51,378300,57.51
2012-05-30,59.60,59.60,58.53,59.00,176300,59.00
2012-05-29,58.79,60.32,58.79,60.07,298400,60.07
2012-05-25,59.00,59.20,58.19,58.43,398300,58.43
2012-05-24,58.73,58.74,57.84,58.50,372900,58.50
2012-05-23,58.88,59.55,58.33,58.50,568000,58.50
2012-05-22,59.00,59.53,58.50,59.47,285000,59.47
2012-05-21,58.40,59.28,57.94,59.01,254900,59.01
2012-05-18,58.48,59.73,57.77,58.07,278800,58.07
2012-05-17,60.42,60.93,58.51,58.54,253200,58.54
2012-05-16,61.85,62.01,60.41,60.50,198500,60.50
2012-05-15,61.87,62.70,61.50,61.63,244000,61.63
2012-05-14,62.68,62.99,61.08,61.71,534300,61.71
2012-05-11,67.30,68.22,67.30,67.74,557000,63.24
2012-05-10,68.61,68.64,67.34,67.60,380200,63.11
2012-05-09,67.38,68.53,66.86,68.16,263000,63.63
2012-05-08,67.47,68.29,66.39,68.21,412500,63.68
2012-05-07,67.65,68.42,67.43,68.06,355000,63.54
2012-05-04,68.87,69.04,67.49,67.91,329700,63.40
2012-05-03,69.44,69.94,68.92,69.23,519000,64.63
2012-05-02,68.50,69.59,68.13,69.43,256000,64.82
2012-05-01,68.36,69.71,67.87,68.82,516700,64.25
2012-04-30,69.39,69.39,68.43,68.58,293000,64.02
2012-04-27,68.93,69.61,68.82,69.42,215100,64.81
2012-04-26,66.64,68.59,66.55,68.56,260300,64.01
2012-04-25,69.60,69.60,66.68,66.98,686200,62.53
2012-04-24,69.88,71.27,68.16,69.53,1099600,64.91
2012-04-23,69.20,69.86,68.53,69.68,203600,65.05
2012-04-20,70.45,70.71,69.99,70.31,221100,65.64
2012-04-19,70.57,71.07,69.44,69.65,257900,65.02
2012-04-18,71.08,71.32,70.29,70.71,271500,66.01
2012-04-17,71.29,71.91,71.29,71.48,309400,66.73
2012-04-16,70.68,71.05,69.78,70.71,206700,66.01
2012-04-13,70.69,71.39,70.13,70.34,213500,65.67
2012-04-12,70.02,71.25,70.02,70.87,197600,66.16
2012-04-11,69.58,70.30,69.01,70.09,409700,65.43
2012-04-10,69.78,70.06,68.82,69.26,397100,64.66
2012-04-09,69.31,70.69,69.16,70.13,177400,65.47
2012-04-05,70.83,71.19,70.49,70.71,463000,66.01
2012-04-04,71.27,71.48,69.89,71.29,306400,66.55
2012-04-03,72.76,72.98,71.69,72.13,157600,67.34
2012-04-02,72.32,73.15,71.04,73.06,253000,68.21
2012-03-30,72.94,73.32,72.16,72.53,230800,67.71
2012-03-29,71.66,72.52,70.92,72.27,126500,67.47
2012-03-28,73.26,73.26,71.32,72.13,215700,67.34
2012-03-27,73.30,73.96,72.88,73.37,155700,68.50
2012-03-26,72.86,74.00,72.16,73.16,296400,68.30
2012-03-23,71.11,72.10,70.81,71.90,158700,67.12
2012-03-22,70.60,71.10,69.85,70.98,246200,66.26
2012-03-21,71.11,71.67,70.47,71.38,145100,66.64
2012-03-20,71.77,72.20,70.34,70.98,180700,66.26
2012-03-19,71.68,73.13,71.31,72.37,159300,67.56
2012-03-16,71.86,72.15,71.32,71.58,207300,66.82
2012-03-15,71.19,72.00,70.98,71.74,154400,66.97
2012-03-14,72.20,72.76,70.98,71.34,118400,66.60
2012-03-13,71.40,72.39,70.94,72.37,298800,67.56
2012-03-12,70.86,70.93,69.88,70.84,387100,66.13
2012-03-09,69.49,71.45,69.07,70.92,205200,66.21
2012-03-08,68.97,69.89,68.48,69.60,143300,64.98
2012-03-07,67.66,68.76,67.51,68.50,249200,63.95
2012-03-06,67.60,67.60,67.00,67.53,345100,63.04
2012-03-05,67.84,68.46,67.35,68.36,308000,63.82
2012-03-02,69.26,69.85,67.82,68.26,163100,63.73
2012-03-01,69.77,70.39,69.32,69.40,255500,64.79
2012-02-29,69.71,70.19,68.80,69.54,308700,64.92
2012-02-28,68.68,69.85,68.36,69.51,253000,64.89
2012-02-27,68.78,69.21,67.52,68.68,249500,64.12
2012-02-24,69.58,70.58,68.90,69.54,175500,64.92
2012-02-23,68.49,69.36,67.78,69.02,157000,64.43
2012-02-22,69.68,70.01,68.63,68.75,126200,64.18
2012-02-21,69.44,70.56,69.04,70.08,168200,65.42
2012-02-17,69.90,69.97,69.20,69.43,94600,64.82
2012-02-16,68.96,69.85,68.93,69.57,303700,64.95
2012-02-15,69.86,70.04,68.53,68.86,133100,64.29
2012-02-14,69.33,70.02,68.81,69.57,202000,64.95
2012-02-13,70.18,70.61,69.54,69.93,231400,65.28
2012-02-10,69.41,69.65,68.83,69.20,177400,64.60
2012-02-09,70.61,70.94,69.98,70.24,229300,65.57
2012-02-08,70.43,70.91,70.10,70.62,119700,65.93
2012-02-07,69.89,70.55,69.59,70.43,168600,65.75
2012-02-06,70.21,70.71,69.79,70.23,202900,65.56
2012-02-03,69.32,71.27,69.32,70.78,444700,66.08
2012-02-02,66.63,68.16,66.63,68.02,358400,63.50
2012-02-01,65.99,66.74,65.33,66.57,340800,62.15
2012-01-31,66.48,67.00,63.85,65.51,600200,61.16
2012-01-30,67.73,68.50,67.39,67.75,171500,63.25
2012-01-27,67.69,68.64,67.63,68.29,127600,63.75
2012-01-26,68.02,68.71,67.71,68.11,196200,63.59
2012-01-25,66.84,67.63,66.52,67.45,100300,62.97
2012-01-24,66.53,67.96,65.85,67.14,131400,62.68
2012-01-23,66.25,67.33,66.00,66.90,143200,62.46
2012-01-20,66.53,66.99,66.00,66.60,131000,62.18
2012-01-19,65.44,67.12,64.79,66.66,209700,62.23
2012-01-18,64.32,65.62,64.31,65.35,228300,61.01
2012-01-17,65.04,65.43,63.95,64.31,306700,60.04
2012-01-13,64.15,65.29,64.15,64.68,136800,60.38
2012-01-12,64.99,65.65,64.09,65.11,183100,60.78
2012-01-11,63.64,65.00,63.54,64.50,362300,60.22
2012-01-10,62.99,63.87,62.62,63.45,285700,59.23
2012-01-09,62.11,62.46,61.42,61.99,354700,57.87
2012-01-06,61.32,62.15,60.62,61.69,224300,57.59
2012-01-05,60.76,61.46,59.85,61.23,330400,57.16
2012-01-04,60.89,61.75,60.21,61.25,156700,57.18
2012-01-03,61.32,62.11,60.39,61.35,203400,57.27
2011-12-30,60.19,60.59,59.64,59.64,107300,55.68
2011-12-29,59.84,60.59,59.79,60.35,80300,56.34
2011-12-28,61.02,61.26,59.52,59.80,236200,55.83
2011-12-27,60.48,61.57,60.14,61.15,90100,57.09
2011-12-23,60.25,61.04,59.93,61.04,58700,56.99
2011-12-22,59.12,60.32,58.97,60.11,134300,56.12
2011-12-21,59.42,59.86,57.84,58.94,121300,55.02
2011-12-20,58.40,59.88,57.97,59.79,223900,55.82
2011-12-19,58.84,59.09,56.97,57.08,115000,53.29
2011-12-16,57.68,58.68,57.00,58.30,383700,54.43
2011-12-15,58.23,58.61,56.80,57.12,160800,53.33
2011-12-14,58.07,58.10,56.57,57.51,326500,53.69
2011-12-13,60.75,61.50,58.21,58.66,302800,54.76
2011-12-12,60.70,60.70,59.60,60.25,120800,56.25
2011-12-09,60.39,61.93,60.33,61.61,167200,57.52
2011-12-08,61.45,61.70,59.91,60.01,148500,56.02
2011-12-07,61.93,62.55,60.87,62.23,257100,58.10
2011-12-06,61.98,62.99,61.55,62.62,226600,58.46
2011-12-05,60.91,62.68,60.41,62.08,249900,57.96
2011-12-02,60.95,61.46,59.45,60.01,275400,56.02
2011-12-01,61.01,61.67,60.36,60.53,171000,56.51
2011-11-30,58.36,61.41,58.03,61.41,438300,57.33
2011-11-29,56.50,56.94,55.72,56.25,212900,52.51
2011-11-28,55.18,56.56,54.92,56.56,256200,52.80
2011-11-25,53.66,54.56,53.26,53.28,132800,49.74
2011-11-23,56.00,56.11,54.01,54.05,282300,50.46
2011-11-22,57.91,58.15,56.41,56.82,126800,53.05
2011-11-21,58.39,58.68,57.65,58.09,165900,54.23
2011-11-18,59.11,60.14,58.89,59.63,234000,55.67
2011-11-17,59.75,60.34,58.58,58.98,203000,55.06
2011-11-16,60.14,60.88,59.62,60.07,516900,56.08
2011-11-15,59.76,61.29,59.41,60.95,186200,56.90
2011-11-14,60.26,60.82,59.51,60.22,317700,56.22
2011-11-11,59.09,60.71,58.93,60.32,280400,56.31
2011-11-10,57.45,58.25,56.26,58.25,360000,54.38
2011-11-09,59.61,60.27,56.61,56.70,393000,52.93
2011-11-08,58.96,62.52,58.55,61.96,711100,57.84
2011-11-07,58.37,58.74,57.27,58.50,195700,54.61
2011-11-04,58.87,59.23,57.94,58.69,225400,54.79
2011-11-03,58.45,60.09,56.93,59.63,315200,55.67
2011-11-02,57.66,58.18,57.00,57.64,251800,53.81
2011-11-01,56.24,57.34,55.57,56.62,481400,52.86
2011-10-31,58.24,59.99,57.69,58.69,373000,54.79
2011-10-28,59.08,59.99,58.71,59.30,348600,55.36
2011-10-27,59.63,60.14,57.97,59.18,615200,55.25
2011-10-26,57.52,58.22,56.00,57.66,579800,53.83
2011-10-25,57.00,59.45,51.81,56.12,1058500,52.39
