Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,13.40,13.78,13.10,13.29,1607300,13.29
2013-01-31,13.33,13.42,13.15,13.34,1318200,13.34
2013-01-30,13.16,13.51,13.05,13.37,1150800,13.37
2013-01-29,13.05,13.34,13.00,13.20,1153500,13.20
2013-01-28,13.05,13.25,12.83,13.02,1250600,13.02
2013-01-25,13.16,13.30,13.10,13.17,769500,13.17
2013-01-24,13.04,13.40,13.00,13.16,1282800,13.16
2013-01-23,13.00,13.13,12.97,13.01,1104900,13.01
2013-01-22,13.11,13.12,12.87,13.10,762600,13.10
2013-01-18,13.25,13.34,13.01,13.08,847300,13.08
2013-01-17,13.26,13.42,13.14,13.22,647800,13.22
2013-01-16,13.37,13.58,13.14,13.20,1079700,13.20
2013-01-15,13.14,13.30,12.90,13.23,1180600,13.23
2013-01-14,12.79,13.22,12.70,13.17,1515700,13.17
2013-01-11,13.00,13.17,12.74,12.76,1103600,12.76
2013-01-10,13.16,13.29,12.71,13.04,1951500,13.04
2013-01-09,13.55,13.65,13.12,13.16,1303500,13.16
2013-01-08,13.66,13.75,13.30,13.40,1796400,13.40
2013-01-07,13.97,14.03,13.26,13.40,2286600,13.40
2013-01-04,14.23,14.24,13.19,13.35,2965000,13.35
2013-01-03,14.38,14.98,14.15,14.22,3169200,14.22
2013-01-02,15.29,15.40,14.32,14.51,2564900,14.51
2012-12-31,14.99,15.15,14.68,15.09,1667800,15.09
2012-12-28,14.74,15.74,14.60,14.97,5490700,14.97
2012-12-27,14.73,14.82,13.91,14.35,1119400,14.35
2012-12-26,15.07,15.07,14.44,14.49,1309400,14.49
2012-12-24,15.04,15.29,14.94,15.02,396400,15.02
2012-12-21,14.97,15.22,14.71,15.12,2455000,15.12
2012-12-20,15.48,15.48,15.02,15.15,1243500,15.15
2012-12-19,15.94,15.96,15.18,15.37,1491400,15.37
2012-12-18,15.86,16.00,15.66,15.88,903700,15.88
