Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,34.00,34.18,33.66,34.00,473800,34.00
2013-01-31,33.53,33.92,33.51,33.88,353500,33.88
2013-01-30,33.53,33.70,33.47,33.59,235500,33.59
2013-01-29,33.50,33.61,33.37,33.56,299500,33.56
2013-01-28,33.47,33.70,33.37,33.48,358700,33.48
2013-01-25,33.35,33.42,33.07,33.39,409400,33.39
2013-01-24,33.13,33.50,33.12,33.40,321400,33.40
2013-01-23,33.25,33.26,32.94,33.15,347100,33.15
2013-01-22,33.14,33.32,32.99,33.24,348400,33.24
2013-01-18,32.69,33.33,32.60,33.12,597700,33.12
2013-01-17,32.48,32.69,32.38,32.63,317200,32.63
2013-01-16,32.17,32.54,32.06,32.49,548000,32.49
2013-01-15,31.75,32.27,31.75,32.25,451400,32.25
2013-01-14,31.87,31.99,31.84,31.96,321900,31.96
2013-01-11,31.70,31.92,31.52,31.87,335500,31.87
2013-01-10,31.18,31.76,31.13,31.74,628300,31.74
2013-01-09,31.41,31.68,31.19,31.60,465900,31.60
2013-01-08,31.41,31.42,31.15,31.23,445500,31.23
2013-01-07,31.27,31.44,31.20,31.34,335900,31.34
2013-01-04,30.60,31.33,30.55,31.25,727000,31.25
2013-01-03,30.00,30.57,29.92,30.53,807100,30.53
2013-01-02,29.74,30.21,29.74,30.13,597400,30.13
2012-12-31,29.40,29.49,29.29,29.46,618600,29.46
2012-12-28,29.27,29.53,29.11,29.37,1050700,29.37
2012-12-27,29.64,29.64,29.16,29.33,556300,29.33
2012-12-26,29.77,29.77,29.14,29.58,543800,29.58
2012-12-24,30.12,30.16,29.72,29.88,281400,29.88
2012-12-21,30.40,30.45,30.06,30.14,1143800,30.14
2012-12-20,30.55,30.79,30.22,30.68,1350400,30.68
2012-12-19,29.50,29.68,29.43,29.51,664100,29.51
2012-12-18,29.97,30.30,29.87,30.17,992000,30.17
2012-12-17,29.99,30.16,29.64,29.88,670600,29.88
2012-12-14,29.95,30.07,29.82,29.88,445800,29.88
2012-12-13,30.14,30.20,29.87,30.00,284200,30.00
2012-12-12,29.95,30.19,29.95,30.10,601400,30.10
2012-12-11,29.92,30.21,29.75,29.91,619400,29.91
2012-12-10,30.01,30.05,29.86,29.92,260400,29.92
2012-12-07,30.16,30.16,29.91,29.99,186700,29.99
2012-12-06,29.88,30.19,29.78,30.13,556500,30.13
2012-12-05,29.86,29.98,29.62,29.85,348500,29.85
2012-12-04,29.84,30.00,29.72,29.83,329000,29.83
2012-12-03,30.08,30.15,29.61,29.73,261300,29.73
2012-11-30,29.79,30.03,29.70,29.98,468600,29.98
2012-11-29,29.79,29.86,29.57,29.75,195500,29.75
2012-11-28,29.25,29.91,29.15,29.72,388600,29.72
2012-11-27,29.43,29.69,29.17,29.53,299600,29.38
2012-11-26,29.54,29.69,29.43,29.49,248100,29.34
2012-11-23,29.49,29.63,29.48,29.56,169900,29.41
2012-11-21,29.50,29.50,29.35,29.47,225300,29.32
2012-11-20,29.49,29.51,29.30,29.41,324700,29.26
2012-11-19,29.77,29.82,29.45,29.48,326100,29.33
2012-11-16,29.29,29.73,29.11,29.59,478300,29.44
2012-11-15,29.35,29.45,29.11,29.32,421200,29.17
2012-11-14,29.68,29.78,29.18,29.41,485200,29.26
2012-11-13,29.87,30.00,29.62,29.69,288700,29.54
2012-11-12,30.08,30.25,29.70,30.00,332700,29.85
2012-11-09,30.07,30.25,29.99,30.05,277000,29.90
2012-11-08,30.36,30.47,30.07,30.17,300900,30.02
2012-11-07,30.42,30.49,30.22,30.38,486800,30.23
2012-11-06,30.59,30.84,30.42,30.61,443900,30.45
2012-11-05,30.17,30.65,29.94,30.46,403700,30.31
2012-11-02,30.75,30.95,30.14,30.20,612300,30.05
2012-11-01,29.59,30.66,29.43,30.66,1201500,30.50
2012-10-31,29.12,29.54,29.01,29.47,430000,29.32
2012-10-26,28.98,29.23,28.93,29.15,254400,29.00
2012-10-25,29.06,29.11,28.91,29.04,254200,28.89
2012-10-24,28.89,29.06,28.82,28.95,330100,28.80
2012-10-23,28.78,28.85,28.56,28.75,343600,28.60
2012-10-22,28.81,29.06,28.67,28.96,370500,28.81
2012-10-19,29.47,29.54,28.87,28.97,709200,28.82
2012-10-18,29.57,29.81,29.35,29.47,247000,29.32
2012-10-17,29.51,29.63,29.36,29.58,380000,29.43
2012-10-16,29.47,29.52,29.37,29.47,270700,29.32
2012-10-15,29.39,29.52,29.23,29.34,334100,29.19
2012-10-12,29.45,29.49,29.05,29.29,381800,29.14
2012-10-11,29.70,29.76,29.42,29.46,184200,29.31
2012-10-10,29.55,29.70,29.41,29.51,256100,29.36
2012-10-09,29.68,29.80,29.46,29.61,287200,29.46
2012-10-08,29.62,29.72,29.52,29.60,212600,29.45
2012-10-05,29.75,30.08,29.67,29.70,350500,29.55
2012-10-04,29.60,29.75,29.46,29.67,333600,29.52
2012-10-03,29.51,29.52,29.26,29.51,365000,29.36
2012-10-02,29.53,29.62,29.28,29.43,507500,29.28
2012-10-01,29.48,29.75,29.24,29.56,589600,29.41
2012-09-28,29.64,29.64,29.29,29.40,486000,29.25
2012-09-27,29.84,30.00,29.60,29.68,473800,29.53
2012-09-26,29.71,29.81,29.19,29.32,471800,29.17
2012-09-25,30.39,30.39,29.61,29.72,622900,29.57
2012-09-24,30.01,30.35,30.01,30.24,821300,30.09
2012-09-21,30.39,30.39,30.17,30.24,1032200,30.09
2012-09-20,30.21,30.33,29.90,30.27,806400,30.12
2012-09-19,29.85,30.31,29.75,30.21,909600,30.06
2012-09-18,29.66,30.00,29.59,29.81,909400,29.66
2012-09-17,29.26,29.67,29.17,29.62,602800,29.47
2012-09-14,29.13,29.49,29.00,29.30,513200,29.15
2012-09-13,28.80,29.14,28.72,29.00,492300,28.85
2012-09-12,28.73,28.86,28.56,28.80,203300,28.65
2012-09-11,28.63,28.89,28.61,28.69,291100,28.54
2012-09-10,28.81,29.03,28.63,28.66,262000,28.51
2012-09-07,28.75,29.06,28.64,28.85,461100,28.70
2012-09-06,28.73,28.87,28.57,28.71,505100,28.56
2012-09-05,28.93,28.97,28.50,28.67,346300,28.52
2012-09-04,28.39,29.00,28.23,28.93,536100,28.78
2012-08-31,28.56,28.63,28.28,28.44,328400,28.30
2012-08-30,28.64,28.64,28.27,28.59,274200,28.44
2012-08-29,28.70,28.96,28.57,28.73,324800,28.58
