Date,Open,High,Low,Close,Volume,Adj Close
2013-01-18,86.50,87.14,86.25,87.01,109400,87.01
2013-01-17,85.41,86.92,85.18,86.42,138700,86.42
2013-01-16,84.78,85.50,84.78,85.13,203600,85.13
2013-01-15,84.52,85.40,84.28,85.15,148900,85.15
2013-01-14,84.65,84.90,83.89,84.44,253500,84.44
2013-01-11,85.24,85.49,84.48,85.12,261600,85.12
2013-01-10,85.48,85.48,84.93,85.00,109100,85.00
2013-01-09,85.39,85.72,84.97,85.48,54000,85.48
2013-01-08,85.50,85.53,84.20,85.10,129100,85.10
2013-01-07,85.49,85.93,84.50,85.30,103400,85.30
2013-01-04,84.36,85.68,84.36,85.63,96700,85.63
2013-01-03,85.00,85.82,84.12,84.49,129500,84.49
2013-01-02,84.95,85.24,84.04,85.19,172300,85.19
2012-12-31,82.21,84.00,81.97,83.80,70500,83.80
2012-12-28,82.27,83.01,81.90,82.58,95500,82.58
2012-12-27,82.63,82.87,82.13,82.74,111400,82.74
2012-12-26,83.12,83.45,82.42,82.67,95700,82.67
2012-12-24,82.50,83.16,82.50,82.96,30100,82.96
2012-12-21,82.99,83.44,82.89,83.19,370900,83.19
2012-12-20,83.19,84.56,83.00,83.58,268800,83.58
2012-12-19,83.26,83.49,82.74,82.87,227300,82.87
2012-12-18,82.41,83.76,82.14,82.99,161100,82.99
2012-12-17,82.16,82.62,81.91,82.58,128100,82.58
2012-12-14,82.54,83.26,82.01,82.11,163900,82.11
2012-12-13,83.26,83.69,82.28,82.88,288600,82.88
2012-12-12,88.83,88.83,88.00,88.37,223900,83.37
2012-12-11,88.34,88.82,87.89,88.43,164700,83.43
2012-12-10,89.49,89.49,87.50,87.91,263400,82.94
2012-12-07,88.47,89.28,88.44,89.15,104500,84.11
2012-12-06,88.30,89.24,88.25,88.75,1637600,83.73
2012-12-05,90.62,90.62,87.70,88.54,331100,83.53
2012-12-04,90.11,91.11,90.11,90.86,51900,85.72
2012-12-03,91.00,91.30,90.06,90.48,48900,85.36
2012-11-30,88.93,90.60,88.48,90.60,93100,85.47
2012-11-29,89.04,89.44,88.42,88.94,38900,83.91
2012-11-28,87.94,89.11,86.81,88.75,38800,83.73
2012-11-27,88.53,89.11,88.11,88.32,42400,83.32
2012-11-26,87.37,89.09,87.37,89.01,57800,83.97
2012-11-23,86.13,87.84,86.13,87.82,12400,82.85
2012-11-21,85.99,86.83,85.91,86.26,33000,81.38
2012-11-20,85.00,86.45,84.67,86.37,72500,81.48
2012-11-19,84.94,86.08,84.94,85.50,208100,80.66
2012-11-16,85.38,85.65,83.90,84.70,36600,79.91
2012-11-15,85.77,86.07,84.70,85.07,65700,80.26
2012-11-14,85.47,86.20,85.08,85.61,58800,80.77
2012-11-13,85.71,86.07,85.19,85.36,36500,80.53
2012-11-12,85.71,86.08,85.07,85.94,38600,81.08
2012-11-09,84.31,86.18,84.31,85.31,41700,80.48
2012-11-08,85.80,86.05,84.69,84.73,66700,79.94
2012-11-07,85.04,86.70,84.63,85.98,76100,81.12
2012-11-06,85.50,86.34,85.50,86.08,49100,81.21
2012-11-05,85.12,85.94,85.12,85.65,54500,80.80
2012-11-02,86.33,86.33,85.19,85.54,69100,80.70
2012-11-01,87.43,87.78,85.85,86.51,55600,81.62
2012-10-31,84.08,87.85,83.82,87.71,88900,82.75
2012-10-26,84.75,85.05,83.73,84.15,31600,79.39
2012-10-25,84.24,84.56,83.79,84.46,22500,79.68
2012-10-24,85.77,85.77,83.90,84.04,34300,79.28
2012-10-23,81.93,86.18,81.93,85.35,32400,80.52
2012-10-22,84.74,86.06,83.25,84.33,87900,79.56
2012-10-19,87.35,87.35,84.47,85.16,55000,80.34
2012-10-18,88.01,88.01,85.84,87.28,106300,82.34
2012-10-17,86.94,87.97,86.85,87.95,43600,82.97
2012-10-16,87.67,88.14,86.76,87.15,48600,82.22
2012-10-15,86.67,87.31,85.32,87.10,34600,82.17
2012-10-12,86.32,86.47,85.84,86.42,31700,81.53
2012-10-11,86.05,86.62,85.61,85.82,39900,80.96
2012-10-10,86.35,86.79,85.36,85.74,46000,80.89
2012-10-09,86.28,86.95,85.84,86.08,40400,81.21
2012-10-08,86.01,87.01,85.79,86.16,51000,81.29
2012-10-05,87.70,88.05,86.39,86.44,45700,81.55
2012-10-04,86.67,88.07,86.67,87.77,49600,82.80
2012-10-03,87.39,87.39,86.07,86.54,63300,81.64
2012-10-02,86.65,88.58,86.65,87.19,70500,82.26
2012-10-01,83.77,87.00,83.25,86.58,117400,81.68
2012-09-28,83.10,84.06,83.05,83.36,45700,78.64
2012-09-27,83.36,83.85,82.80,83.55,36800,78.82
2012-09-26,83.95,83.95,82.88,83.16,43800,78.45
2012-09-25,85.75,85.75,83.54,83.96,59400,79.21
2012-09-24,85.38,86.70,85.38,85.80,38600,80.95
2012-09-21,86.08,86.68,85.22,85.36,229600,80.53
2012-09-20,84.23,86.17,83.45,85.65,60500,80.80
2012-09-19,88.39,88.39,86.22,86.28,52300,81.40
2012-09-18,89.29,89.29,87.64,88.71,31700,83.69
2012-09-17,91.09,91.98,89.34,89.39,48300,84.33
2012-09-14,89.04,91.41,89.04,90.84,39400,85.70
2012-09-13,87.82,89.43,87.21,89.09,39100,84.05
2012-09-12,87.11,88.58,87.11,88.18,47600,83.19
2012-09-11,85.90,87.43,85.90,86.86,49000,81.95
2012-09-10,86.72,86.98,85.88,86.14,48900,81.27
2012-09-07,86.62,87.40,86.36,86.66,97300,81.76
2012-09-06,86.69,88.05,86.14,86.46,66500,81.57
2012-09-05,86.89,88.07,86.36,86.50,41300,81.61
2012-09-04,85.90,87.37,84.91,87.12,68900,82.19
2012-08-31,86.47,86.64,85.02,86.01,47500,81.14
2012-08-30,86.66,86.66,84.74,85.97,31200,81.11
2012-08-29,87.76,87.76,86.68,87.12,40500,82.19
2012-08-28,87.89,88.29,86.88,87.93,37400,82.95
2012-08-27,88.31,88.31,86.92,87.80,29600,82.83
2012-08-24,89.25,89.25,88.02,88.18,19700,83.19
2012-08-23,88.60,89.68,88.16,89.19,33600,84.14
2012-08-22,89.32,89.66,88.60,88.98,28100,83.95
2012-08-21,89.78,90.74,89.32,89.62,25600,84.55
2012-08-20,89.29,89.81,88.88,89.76,24000,84.68
2012-08-17,89.59,90.00,88.99,89.29,42700,84.24
2012-08-16,89.27,89.71,89.01,89.44,37000,84.38
2012-08-15,88.24,89.73,88.24,89.03,29300,83.99
2012-08-14,88.83,89.23,87.97,88.12,54500,83.13
2012-08-13,88.60,88.98,88.02,88.70,27000,83.68
2012-08-10,87.85,88.97,87.37,88.87,29000,83.84
2012-08-09,88.36,89.58,87.94,88.54,38900,83.53
2012-08-08,87.40,88.64,87.36,87.95,71000,82.97
2012-08-07,87.88,88.97,87.75,87.82,103400,82.85
2012-08-06,86.81,88.47,86.81,87.89,86200,82.92
2012-08-03,84.92,87.31,84.24,86.93,129800,82.01
2012-08-02,84.41,84.86,83.61,83.85,143500,79.11
2012-08-01,84.79,85.71,83.33,85.26,79200,80.44
2012-07-31,85.47,86.22,84.18,84.95,105200,80.14
2012-07-30,87.03,87.35,84.58,85.90,153900,81.04
2012-07-27,85.18,89.27,82.78,86.96,326900,82.04
2012-07-26,90.42,90.77,87.87,89.74,60200,84.66
2012-07-25,89.42,90.30,88.51,89.74,27200,84.66
2012-07-24,90.74,90.74,88.41,89.01,39200,83.97
2012-07-23,90.34,91.00,89.92,90.97,34600,85.82
2012-07-20,92.22,92.33,91.21,91.74,55400,86.55
2012-07-19,93.50,93.50,92.22,92.29,55300,87.07
