Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,22.05,22.19,21.85,22.10,766400,22.10
2013-01-31,22.23,22.25,21.77,21.91,923600,21.91
2013-01-30,22.50,22.65,22.28,22.38,607800,22.17
2013-01-29,22.53,22.62,22.15,22.59,502800,22.38
2013-01-28,22.56,22.59,22.42,22.51,454900,22.30
2013-01-25,22.53,22.58,22.36,22.49,524600,22.28
2013-01-24,22.36,23.05,22.20,22.43,750900,22.22
2013-01-23,22.23,22.38,22.19,22.36,504200,22.15
2013-01-22,22.17,22.28,22.14,22.28,403900,22.07
2013-01-18,22.06,22.21,22.00,22.21,756700,22.00
2013-01-17,22.01,22.12,21.92,22.10,601000,21.89
2013-01-16,21.81,22.00,21.75,21.99,468300,21.78
2013-01-15,21.52,21.93,21.45,21.91,431100,21.70
2013-01-14,21.32,21.64,21.25,21.63,285400,21.43
2013-01-11,21.47,21.47,21.24,21.36,355700,21.16
2013-01-10,21.58,21.58,21.31,21.42,413200,21.22
2013-01-09,21.45,21.50,21.34,21.47,410400,21.27
2013-01-08,21.42,21.58,21.30,21.44,444500,21.24
2013-01-07,21.32,21.52,21.25,21.48,506300,21.28
2013-01-04,21.58,21.65,21.39,21.45,573600,21.25
2013-01-03,21.54,21.73,21.42,21.50,376200,21.30
2013-01-02,21.67,21.81,21.42,21.54,740000,21.34
2012-12-31,21.18,21.39,21.05,21.37,411500,21.17
2012-12-28,21.27,21.47,21.15,21.15,374900,20.95
2012-12-27,21.19,21.36,21.07,21.31,244100,21.11
2012-12-26,21.19,21.25,21.04,21.18,456900,20.98
2012-12-24,20.97,22.83,20.77,21.20,289300,21.00
2012-12-21,20.73,21.30,20.73,21.11,1444800,20.91
2012-12-20,20.51,20.90,20.51,20.87,860900,20.67
2012-12-19,20.64,20.74,20.50,20.51,1172600,20.32
2012-12-18,20.61,20.81,20.57,20.60,641700,20.41
2012-12-17,20.55,20.72,20.42,20.61,800000,20.42
2012-12-14,20.31,20.55,20.31,20.47,478500,20.28
2012-12-13,20.58,20.64,20.33,20.39,479500,20.20
2012-12-12,20.59,20.71,20.42,20.63,583100,20.44
2012-12-11,20.61,20.74,20.48,20.57,429700,20.38
2012-12-10,20.61,20.78,20.49,20.55,382200,20.36
2012-12-07,20.70,20.72,20.55,20.56,384900,20.37
2012-12-06,20.60,20.74,20.53,20.60,452600,20.41
2012-12-05,20.69,20.75,20.47,20.62,720600,20.43
2012-12-04,20.48,20.76,20.42,20.68,330700,20.49
2012-12-03,20.46,20.59,20.31,20.43,483400,20.24
2012-11-30,20.53,20.71,20.33,20.40,776100,20.21
2012-11-29,20.45,20.67,20.26,20.50,951100,20.31
2012-11-28,20.69,20.69,20.31,20.50,622800,20.31
2012-11-27,20.48,20.85,20.15,20.69,580200,20.50
2012-11-26,20.37,20.62,20.36,20.51,477200,20.32
2012-11-23,20.25,20.41,20.21,20.40,194100,20.21
2012-11-21,20.25,20.25,20.08,20.18,395100,19.99
2012-11-20,20.19,20.23,19.96,20.19,253800,20.00
2012-11-19,20.21,20.38,20.03,20.16,442700,19.97
2012-11-16,19.87,20.03,19.68,20.01,530900,19.82
2012-11-15,19.91,20.11,19.66,19.93,573200,19.74
2012-11-14,20.51,20.57,19.86,19.88,441000,19.69
2012-11-13,20.54,20.75,20.49,20.52,351500,20.33
2012-11-12,20.95,21.00,20.61,20.68,344200,20.49
2012-11-09,20.91,21.12,20.86,20.86,285800,20.66
2012-11-08,21.49,21.49,20.99,21.03,462500,20.83
2012-11-07,21.56,21.64,21.34,21.45,354000,21.25
2012-11-06,21.74,21.80,21.45,21.73,441400,21.53
2012-11-05,21.81,21.85,21.44,21.62,345800,21.42
2012-11-02,21.73,22.05,21.61,21.86,1041800,21.65
2012-11-01,21.54,21.72,21.30,21.58,765500,21.38
2012-10-31,21.11,21.64,21.09,21.63,633200,21.25
2012-10-26,21.36,21.36,21.00,21.17,407400,20.80
2012-10-25,21.27,21.50,21.02,21.37,769300,20.99
2012-10-24,21.25,21.30,21.02,21.22,440100,20.85
