Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,72.89,72.89,71.81,71.92,84000,71.92
2013-01-31,72.50,72.75,71.36,72.56,35900,72.56
2013-01-30,72.71,72.76,71.53,72.53,27500,72.53
2013-01-29,72.55,73.02,71.99,72.99,28600,72.99
2013-01-28,72.58,72.87,72.16,72.53,42400,72.53
2013-01-25,72.50,73.00,71.37,72.58,27800,72.58
2013-01-24,71.62,72.47,70.53,72.22,19900,72.22
2013-01-23,71.43,72.14,70.34,71.39,20400,71.39
2013-01-22,70.60,71.50,69.43,71.42,25900,71.42
2013-01-18,69.76,71.58,69.76,70.85,23100,70.85
2013-01-17,70.00,70.47,69.74,69.92,161900,69.92
2013-01-16,70.10,70.10,69.53,69.71,21000,69.71
2013-01-15,69.75,70.82,69.14,70.26,22900,70.26
2013-01-14,70.24,70.57,69.98,70.19,12000,70.19
2013-01-11,70.60,70.97,69.95,70.51,26200,70.51
2013-01-10,70.58,71.09,69.89,70.73,35400,70.73
2013-01-09,70.50,70.69,70.16,70.55,32300,70.55
2013-01-08,70.37,71.19,69.50,70.32,32600,70.32
2013-01-07,71.66,71.66,70.41,70.56,15000,70.56
2013-01-04,71.56,72.00,70.50,71.94,27200,71.94
2013-01-03,71.35,71.49,69.97,71.20,45900,71.20
2013-01-02,71.50,72.00,70.74,71.37,73400,71.37
2012-12-31,69.65,71.26,69.13,70.62,45100,70.62
2012-12-28,69.89,70.50,69.28,69.51,25900,69.51
2012-12-27,70.11,71.50,69.39,70.23,44400,70.23
2012-12-26,70.35,70.35,69.93,70.11,26000,70.11
2012-12-24,70.80,70.80,70.00,70.39,14800,70.39
2012-12-21,69.40,70.90,69.04,70.80,125200,70.80
2012-12-20,69.50,69.96,69.14,69.75,42700,69.75
2012-12-19,70.06,70.42,69.42,69.61,58000,69.61
2012-12-18,69.88,70.17,68.86,69.90,95500,69.90
2012-12-17,68.45,69.73,67.73,69.60,44700,69.60
2012-12-14,67.61,68.67,67.61,68.14,32200,68.14
2012-12-13,68.25,69.00,67.81,67.97,19400,67.97
2012-12-12,69.90,69.90,67.94,68.30,41300,68.30
2012-12-11,70.32,70.32,69.17,69.90,37800,69.90
2012-12-10,70.09,70.09,68.91,69.52,21200,69.52
2012-12-07,69.61,70.09,68.19,70.05,32200,70.05
2012-12-06,69.25,69.25,68.37,68.94,42600,68.94
2012-12-05,69.40,69.67,68.64,69.05,59600,69.05
2012-12-04,69.36,70.33,68.01,69.38,38900,69.38
2012-12-03,69.50,69.81,68.78,68.99,37400,68.99
2012-11-30,69.89,69.89,68.55,69.05,59100,69.05
2012-11-29,69.09,70.77,68.21,69.42,61200,69.42
2012-11-28,68.23,68.73,66.62,68.15,35500,68.07
2012-11-27,69.22,69.74,68.06,68.37,25800,68.29
2012-11-26,67.70,69.90,67.70,69.44,38300,69.36
2012-11-23,68.31,68.31,67.10,68.22,14900,68.14
2012-11-21,66.72,67.99,66.55,67.83,27300,67.76
2012-11-20,66.87,67.11,65.71,66.31,15500,66.24
2012-11-19,64.85,67.01,64.83,66.93,30200,66.86
2012-11-16,60.69,64.06,59.75,63.94,41900,63.87
2012-11-15,61.30,61.86,60.36,61.08,37000,61.01
2012-11-14,63.96,64.93,60.62,61.46,63100,61.39
2012-11-13,63.52,64.54,63.52,63.63,9100,63.56
2012-11-12,64.88,65.67,63.19,63.70,11000,63.63
2012-11-09,63.98,65.87,63.98,64.29,19300,64.22
2012-11-08,66.00,66.00,63.93,64.54,28800,64.47
2012-11-07,66.12,66.30,65.49,65.78,25600,65.71
2012-11-06,67.27,67.81,66.76,67.13,13400,67.06
2012-11-05,67.62,68.01,66.86,67.21,26800,67.14
2012-11-02,69.96,70.00,67.51,67.66,39900,67.59
2012-11-01,68.23,69.64,68.02,69.61,79500,69.53
2012-10-31,66.50,67.91,66.40,67.86,18400,67.79
2012-10-26,66.61,66.82,65.27,66.45,13200,66.38
2012-10-25,66.64,66.64,65.82,66.39,18400,66.32
