Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,19.32,19.32,18.76,19.14,65300,19.14
2013-01-31,19.04,19.30,18.75,19.25,101200,19.25
2013-01-30,19.51,19.51,18.72,19.05,45100,19.05
2013-01-29,19.23,19.63,19.23,19.56,35600,19.56
2013-01-28,19.47,19.65,19.16,19.29,70700,19.29
2013-01-25,19.71,19.95,19.19,19.51,30200,19.51
2013-01-24,19.08,20.18,19.08,19.71,140100,19.71
2013-01-23,19.39,19.55,19.03,19.13,58100,19.13
2013-01-22,19.84,19.84,19.06,19.44,68900,19.44
2013-01-18,19.80,20.05,19.29,19.98,72400,19.98
2013-01-17,19.68,19.90,19.51,19.83,33500,19.83
2013-01-16,19.56,19.90,19.37,19.68,44700,19.68
2013-01-15,19.73,19.88,19.27,19.55,85600,19.55
2013-01-14,19.55,19.93,19.38,19.78,23400,19.78
2013-01-11,19.29,19.74,19.13,19.60,24000,19.60
2013-01-10,19.12,19.53,18.70,19.39,28600,19.39
2013-01-09,19.43,19.53,18.85,19.14,52300,19.14
2013-01-08,19.64,19.88,19.25,19.33,208600,19.33
2013-01-07,19.77,20.11,19.49,19.85,40600,19.85
2013-01-04,19.69,20.00,19.29,19.93,43100,19.93
2013-01-03,19.63,19.90,19.33,19.72,48100,19.72
2013-01-02,19.67,20.09,19.09,19.76,143300,19.76
2012-12-31,18.85,19.26,18.81,19.26,60100,19.26
2012-12-28,18.92,18.98,18.77,18.89,27600,18.89
2012-12-27,18.83,19.11,18.81,19.01,35500,19.01
2012-12-26,19.00,19.21,18.75,18.94,61100,18.94
2012-12-24,19.54,19.58,18.82,18.90,19900,18.90
2012-12-21,19.34,19.86,19.10,19.61,156100,19.61
2012-12-20,19.00,19.85,18.95,19.61,96800,19.61
2012-12-19,19.39,19.39,19.00,19.11,61800,19.11
2012-12-18,18.95,19.86,18.76,19.45,103400,19.45
2012-12-17,19.04,19.11,18.96,18.98,112400,18.98
2012-12-14,18.98,19.23,18.96,19.04,41100,19.04
2012-12-13,19.15,19.18,18.78,19.11,294200,19.11
2012-12-12,19.73,19.89,19.25,19.48,83700,19.48
2012-12-11,19.94,20.25,19.61,19.76,87900,19.76
2012-12-10,19.06,20.00,18.85,19.97,140900,19.97
2012-12-07,18.54,19.13,18.54,19.06,94400,19.06
2012-12-06,18.16,18.48,18.01,18.40,60700,18.40
2012-12-05,18.14,18.56,18.08,18.24,228300,18.24
2012-12-04,18.43,18.45,18.05,18.21,85500,18.21
2012-12-03,18.39,18.95,18.03,18.58,48700,18.58
2012-11-30,18.90,18.95,18.16,18.36,63400,18.36
2012-11-29,18.92,19.24,18.90,18.96,22600,18.96
2012-11-28,18.70,18.87,18.51,18.87,42100,18.87
2012-11-27,19.01,19.05,18.65,18.83,70800,18.83
2012-11-26,18.90,19.32,18.90,19.15,49900,19.15
2012-11-23,18.81,18.92,18.69,18.89,6400,18.89
2012-11-21,19.02,19.08,18.44,18.80,75000,18.80
2012-11-20,18.74,19.36,18.74,19.17,62800,19.17
2012-11-19,18.95,19.30,18.68,18.86,126400,18.86
2012-11-16,19.46,19.46,18.57,18.84,129900,18.84
2012-11-15,19.70,19.80,19.47,19.54,280900,19.54
2012-11-14,19.51,20.50,19.50,19.69,336600,19.69
2012-11-13,18.40,18.77,18.24,18.69,76900,18.69
2012-11-12,18.58,18.81,18.57,18.64,76200,18.64
2012-11-09,18.35,18.71,18.35,18.54,110400,18.54
2012-11-08,18.68,18.77,18.36,18.50,69800,18.50
2012-11-07,18.96,19.10,18.25,18.81,77100,18.81
2012-11-06,19.16,19.68,19.13,19.25,163000,19.25
2012-11-05,18.81,19.33,18.80,19.12,95700,19.12
2012-11-02,19.12,19.27,18.88,18.98,16000,18.98
2012-11-01,18.93,19.36,18.51,19.14,35800,19.14
2012-10-31,18.94,19.21,18.35,19.00,98500,19.00
2012-10-26,18.71,19.00,18.44,18.95,37500,18.95
2012-10-25,18.71,18.79,18.53,18.66,48900,18.66
2012-10-24,18.67,18.79,18.30,18.60,75200,18.60
2012-10-23,18.44,18.73,18.25,18.56,81200,18.56
2012-10-22,18.32,19.31,18.32,18.61,335300,18.61
2012-10-19,18.71,18.71,18.16,18.38,66500,18.38
2012-10-18,18.67,19.00,18.65,18.80,70100,18.80
2012-10-17,18.78,19.02,18.01,18.53,119000,18.53
2012-10-16,18.55,18.86,18.45,18.73,54700,18.73
2012-10-15,18.57,18.60,18.10,18.38,133400,18.38
2012-10-12,19.31,19.41,18.39,18.45,109600,18.45
2012-10-11,19.29,19.44,19.06,19.23,112100,19.23
