Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,59.18,59.75,58.69,58.89,343300,58.89
2013-01-31,58.71,59.24,58.44,58.90,332600,58.90
2013-01-30,58.50,59.31,58.38,58.84,280100,58.84
2013-01-29,58.00,59.06,57.78,58.88,346800,58.88
2013-01-28,59.49,59.53,58.59,58.88,142600,58.88
2013-01-25,59.04,59.43,58.90,59.40,164500,59.40
2013-01-24,58.40,59.55,57.17,58.90,395800,58.90
2013-01-23,59.20,60.05,58.86,58.95,349100,58.95
2013-01-22,58.19,59.53,58.04,59.42,304700,59.42
2013-01-18,56.53,58.33,56.53,58.10,166200,58.10
2013-01-17,56.75,57.13,56.21,56.40,314700,56.40
2013-01-16,55.82,56.73,55.79,56.42,207100,56.42
2013-01-15,56.35,56.35,55.46,56.08,216500,56.08
2013-01-14,56.84,57.17,56.42,56.89,74900,56.89
2013-01-11,56.19,57.08,55.98,56.92,289300,56.92
2013-01-10,55.67,56.16,55.62,56.05,282100,56.05
2013-01-09,54.87,55.18,54.70,55.18,555100,55.18
2013-01-08,55.27,55.59,54.44,54.80,395300,54.80
2013-01-07,55.97,56.41,55.38,55.45,107500,55.45
2013-01-04,55.59,56.44,55.57,56.36,222200,56.36
2013-01-03,54.84,55.79,54.54,55.22,284200,55.22
2013-01-02,53.15,54.14,52.82,54.11,268300,54.11
2012-12-31,51.69,52.09,51.38,51.99,239000,51.99
2012-12-28,51.71,52.83,51.57,51.67,188800,51.67
2012-12-27,52.22,52.35,51.07,52.01,136900,52.01
2012-12-26,52.61,53.00,52.11,52.14,99400,52.14
2012-12-24,52.55,52.72,52.37,52.65,32600,52.65
2012-12-21,52.13,53.27,52.06,52.70,436500,52.70
2012-12-20,52.70,52.88,52.28,52.76,286400,52.76
2012-12-19,52.74,53.21,52.37,52.63,337300,52.63
2012-12-18,52.60,53.12,52.32,52.66,310100,52.66
2012-12-17,51.72,52.80,51.72,52.33,184200,52.33
2012-12-14,51.52,51.83,50.82,51.70,276400,51.70
2012-12-13,52.01,52.28,51.40,51.58,164800,51.58
2012-12-12,52.45,52.86,51.92,52.10,210500,52.10
2012-12-11,51.72,52.18,51.06,52.13,218000,52.13
2012-12-10,51.01,51.29,50.75,51.25,158500,51.25
