Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,44.76,44.76,44.38,44.53,628800,44.53
2013-01-31,44.26,44.70,44.01,44.30,754300,44.30
2013-01-30,44.65,44.71,44.14,44.38,592300,44.38
2013-01-29,44.84,44.98,44.63,44.75,711000,44.75
2013-01-28,45.34,45.38,44.72,44.89,541000,44.89
2013-01-25,45.61,45.69,45.23,45.47,261400,45.47
2013-01-24,45.71,45.95,45.39,45.57,104000,45.57
2013-01-23,45.05,45.77,44.85,45.61,137100,45.61
2013-01-22,44.70,45.16,44.50,45.00,112600,45.00
2013-01-18,44.37,44.75,44.06,44.62,119800,44.62
2013-01-17,43.45,44.41,43.43,44.26,191800,44.26
2013-01-16,43.58,43.78,43.11,43.17,178600,43.17
2013-01-15,43.20,44.12,43.20,43.76,237900,43.76
2013-01-14,43.24,43.63,43.03,43.37,162000,43.37
2013-01-11,43.54,43.54,43.15,43.28,152900,43.28
2013-01-10,43.45,43.55,43.19,43.46,180000,43.46
2013-01-09,43.52,43.72,43.13,43.20,252600,43.20
2013-01-08,43.55,43.72,43.10,43.30,270700,43.30
2013-01-07,43.81,44.15,43.53,43.68,256700,43.68
2013-01-04,43.82,44.08,43.49,44.04,237400,44.04
2013-01-03,44.11,44.20,43.69,43.85,245100,43.85
2013-01-02,43.72,44.07,43.39,44.06,260900,44.06
2012-12-31,42.01,43.47,41.64,43.34,395400,43.34
2012-12-28,42.34,43.10,42.12,42.14,504700,42.14
2012-12-27,42.85,43.19,42.12,42.45,616800,42.45
2012-12-26,42.97,43.54,42.29,42.72,467800,42.72
2012-12-24,43.22,43.29,42.62,42.79,195900,42.79
2012-12-21,42.26,43.27,42.10,42.95,702700,42.95
2012-12-20,42.24,43.29,41.86,43.20,461000,43.20
2012-12-19,42.23,42.55,41.63,42.28,492200,42.28
2012-12-18,41.61,42.47,41.36,42.41,574900,42.41
2012-12-17,41.43,41.90,41.17,41.63,443800,41.63
2012-12-14,41.36,41.74,41.01,41.48,435300,41.48
2012-12-13,41.75,41.87,41.12,41.46,495100,41.46
2012-12-12,41.25,42.15,41.11,41.93,553100,41.93
2012-12-11,41.08,41.33,40.68,41.04,438600,41.04
2012-12-10,40.63,41.25,40.39,40.99,612300,40.99
2012-12-07,40.19,40.78,40.15,40.71,436800,40.71
2012-12-06,40.14,40.54,39.90,40.10,516200,40.10
2012-12-05,40.24,40.69,40.00,40.24,434000,40.24
2012-12-04,40.11,40.63,39.92,40.27,448000,40.27
2012-12-03,40.85,40.86,39.91,40.11,474500,40.11
2012-11-30,40.99,41.04,40.16,40.85,658800,40.85
2012-11-29,41.00,41.35,40.87,41.00,522700,41.00
2012-11-28,40.78,41.11,40.57,40.91,495000,40.91
2012-11-27,41.28,41.33,40.75,41.11,420500,41.01
2012-11-26,40.75,41.55,40.75,41.28,294200,41.18
2012-11-23,40.91,41.25,40.69,41.00,191400,40.90
2012-11-21,40.63,40.98,40.46,40.88,202200,40.78
2012-11-20,40.45,40.89,40.26,40.62,149800,40.52
2012-11-19,40.69,40.75,40.17,40.59,191000,40.49
2012-11-16,40.39,40.75,40.02,40.30,630400,40.20
2012-11-15,39.95,40.62,39.77,40.20,438700,40.10
2012-11-14,40.48,40.51,39.85,39.95,248600,39.85
2012-11-13,39.53,40.59,39.16,40.40,354800,40.30
2012-11-12,40.23,40.29,39.77,39.87,134700,39.77
2012-11-09,40.84,41.56,39.57,40.20,538900,40.10
2012-11-08,42.46,43.46,40.77,41.29,596400,41.19
2012-11-07,42.93,48.93,42.53,43.46,564100,43.35
2012-11-06,44.26,45.00,44.09,44.96,530600,44.85
2012-11-05,43.45,44.10,43.25,44.01,354600,43.90
2012-11-02,43.72,43.72,42.84,43.15,227300,43.05
2012-11-01,40.83,43.75,40.69,43.49,434400,43.38
2012-10-31,41.84,42.75,41.64,42.38,126300,42.28
2012-10-26,42.00,42.46,41.54,41.88,86500,41.78
2012-10-25,41.56,42.58,41.56,42.48,177300,42.38
2012-10-24,41.90,42.20,41.28,41.37,99800,41.27
2012-10-23,40.95,42.00,40.84,41.82,225400,41.72
2012-10-22,41.99,42.10,40.95,41.27,216900,41.17
2012-10-19,41.96,42.19,41.37,42.03,155800,41.93
2012-10-18,42.08,42.25,41.87,41.99,189800,41.89
2012-10-17,41.82,42.28,40.70,42.14,204500,42.04
2012-10-16,40.78,41.19,40.45,40.99,301600,40.89
2012-10-15,41.16,41.31,40.34,40.71,328100,40.61
2012-10-12,42.94,42.94,41.15,41.28,234700,41.18
2012-10-11,41.91,43.00,41.65,42.67,204900,42.57
2012-10-10,41.52,41.79,41.40,41.67,502900,41.57
2012-10-09,42.02,42.38,41.49,41.52,111700,41.42
2012-10-08,42.49,42.49,42.00,42.06,130300,41.96
2012-10-05,42.30,42.89,42.20,42.54,195500,42.44
2012-10-04,41.37,42.19,41.30,42.19,298300,42.09
2012-10-03,42.18,42.21,40.57,41.37,814200,41.27
2012-10-02,42.08,42.73,41.99,42.72,303400,42.62
2012-10-01,42.06,42.53,41.61,42.03,403400,41.93
2012-09-28,42.11,42.35,41.65,42.05,191000,41.95
2012-09-27,41.60,42.32,41.38,42.27,341900,42.17
2012-09-26,41.72,41.96,41.14,41.49,493700,41.39
2012-09-25,41.34,41.78,41.15,41.65,671900,41.55
2012-09-24,41.36,41.91,41.21,41.23,221500,41.13
2012-09-21,41.86,42.75,41.60,41.60,767400,41.50
2012-09-20,41.34,41.86,41.17,41.69,239500,41.59
2012-09-19,40.66,41.51,40.52,41.44,302900,41.34
2012-09-18,41.44,41.47,40.33,40.57,245500,40.47
2012-09-17,41.78,42.08,41.53,41.54,210000,41.44
2012-09-14,41.49,42.20,41.46,41.93,195300,41.83
2012-09-13,40.91,41.50,40.78,41.36,204000,41.26
2012-09-12,40.78,41.10,40.61,40.97,180100,40.87
2012-09-11,40.43,40.83,40.29,40.55,200200,40.45
2012-09-10,40.91,41.20,40.57,40.57,737500,40.47
2012-09-07,40.84,41.11,40.72,40.75,442100,40.65
2012-09-06,40.73,41.08,40.72,40.80,374400,40.70
2012-09-05,40.40,40.82,40.34,40.57,309300,40.47
