Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,33.47,33.47,33.05,33.19,387300,33.19
2013-01-31,33.35,33.38,32.91,33.18,696800,33.18
2013-01-30,33.38,33.53,33.15,33.50,597400,33.50
2013-01-29,33.11,33.60,32.61,33.50,571800,33.50
2013-01-28,33.00,33.18,32.79,33.17,364300,33.17
2013-01-25,32.96,33.01,32.54,32.80,407600,32.80
2013-01-24,31.76,33.41,31.71,32.78,773300,32.78
2013-01-23,31.66,31.78,31.36,31.63,438600,31.63
2013-01-22,31.39,31.79,31.38,31.61,278800,31.61
2013-01-18,31.17,31.49,31.17,31.47,260300,31.47
2013-01-17,30.73,31.47,30.70,31.26,377900,31.26
2013-01-16,30.81,30.84,30.55,30.69,277600,30.69
2013-01-15,30.39,30.92,30.08,30.85,350300,30.85
2013-01-14,30.24,30.57,30.18,30.49,308200,30.49
2013-01-11,30.66,30.74,29.94,30.28,382900,30.28
2013-01-10,30.89,30.96,30.52,30.61,192200,30.61
2013-01-09,30.46,30.96,30.31,30.79,374700,30.79
2013-01-08,30.49,30.71,30.31,30.32,363000,30.32
2013-01-07,29.85,30.66,29.80,30.50,419300,30.50
2013-01-04,30.02,30.08,29.77,30.03,390400,30.03
2013-01-03,29.74,30.08,29.57,30.03,289400,30.03
2013-01-02,29.07,29.60,28.94,29.60,445000,29.60
2012-12-31,28.15,28.56,27.87,28.50,291500,28.50
2012-12-28,28.52,28.63,28.16,28.19,167800,28.19
2012-12-27,28.35,28.79,28.34,28.60,365200,28.60
2012-12-26,28.56,28.62,28.23,28.36,275600,28.36
2012-12-24,28.70,28.70,28.14,28.54,172600,28.54
2012-12-21,28.52,28.81,28.29,28.72,871100,28.72
2012-12-20,28.63,28.85,28.39,28.82,462400,28.82
2012-12-19,28.82,28.84,28.48,28.60,520800,28.60
2012-12-18,28.66,28.91,27.87,28.81,618400,28.81
2012-12-17,29.00,29.14,28.79,29.00,418000,29.00
2012-12-14,28.91,29.19,28.77,28.99,443200,28.99
2012-12-13,28.99,29.21,28.69,29.00,745900,29.00
2012-12-12,28.67,28.93,28.33,28.93,698900,28.93
2012-12-11,28.60,29.36,28.59,28.69,713400,28.57
2012-12-10,27.98,28.23,27.71,28.07,414900,27.95
2012-12-07,27.85,28.44,27.81,28.05,464100,27.93
2012-12-06,27.74,28.00,27.46,27.86,385800,27.74
2012-12-05,27.99,28.07,27.67,27.77,299000,27.65
2012-12-04,27.96,28.17,27.78,28.03,432000,27.91
2012-12-03,28.04,28.25,27.79,28.00,415900,27.88
2012-11-30,27.98,28.05,27.76,27.96,555900,27.84
2012-11-29,27.53,28.27,27.53,27.96,925300,27.84
2012-11-28,27.07,27.36,26.81,27.32,698300,27.20
2012-11-27,27.32,27.67,27.10,27.17,566400,27.05
2012-11-26,27.34,27.56,27.04,27.44,348700,27.32
2012-11-23,27.18,27.44,27.05,27.42,97200,27.30
2012-11-21,26.87,27.10,26.60,27.05,273800,26.93
2012-11-20,26.87,26.94,26.63,26.85,361300,26.73
2012-11-19,26.78,27.07,26.70,26.97,356400,26.85
2012-11-16,26.84,26.91,26.30,26.51,413800,26.39
2012-11-15,26.34,26.88,26.34,26.86,828300,26.74
2012-11-14,26.79,26.98,26.29,26.40,465900,26.28
2012-11-13,26.93,27.22,26.66,26.71,455700,26.59
2012-11-12,27.38,27.38,26.90,27.12,985700,27.00
2012-11-09,27.09,27.47,26.99,27.31,475000,27.19
2012-11-08,27.42,27.52,27.05,27.14,462800,27.02
2012-11-07,27.69,27.70,27.26,27.41,518800,27.29
2012-11-06,27.99,28.17,27.75,27.82,1052500,27.70
2012-11-05,27.91,27.97,27.64,27.87,409800,27.75
2012-11-02,28.42,28.63,27.87,27.87,394700,27.75
2012-11-01,28.23,28.44,28.12,28.25,994200,28.13
2012-10-31,28.64,28.64,27.95,28.09,594800,27.97
2012-10-26,29.16,29.28,28.37,28.39,888100,28.27
2012-10-25,28.44,30.79,27.87,29.33,2090600,29.20
2012-10-24,28.16,28.27,27.27,27.61,1290300,27.49
2012-10-23,28.22,28.42,27.97,28.00,766000,27.88
2012-10-22,29.01,29.02,28.46,28.49,831100,28.37
2012-10-19,29.19,29.51,28.77,28.88,404900,28.75
2012-10-18,29.74,29.74,28.94,29.32,1264900,29.19
2012-10-17,29.63,30.36,29.55,29.70,825200,29.57
2012-10-16,29.62,29.81,29.56,29.60,466800,29.47
2012-10-15,29.30,29.68,29.14,29.55,497000,29.42
2012-10-12,29.83,29.94,29.14,29.20,472100,29.07
2012-10-11,29.64,29.99,29.50,29.84,501600,29.71
2012-10-10,29.60,29.75,29.23,29.39,775500,29.26
2012-10-09,30.48,30.48,29.25,29.60,738500,29.47
2012-10-08,30.46,30.64,30.36,30.47,271800,30.34
2012-10-05,30.57,30.71,30.38,30.56,564300,30.43
2012-10-04,30.18,30.48,29.97,30.28,554900,30.15
2012-10-03,29.50,30.19,29.00,30.17,1347200,30.04
2012-10-02,29.40,30.16,29.05,30.16,611300,30.03
2012-10-01,29.07,29.30,28.98,29.20,439400,29.07
2012-09-28,29.07,29.19,28.82,29.06,525800,28.93
2012-09-27,28.98,29.36,28.89,29.26,370400,29.13
2012-09-26,29.00,29.15,28.83,28.90,299800,28.77
2012-09-25,29.24,29.35,28.87,29.00,500900,28.87
2012-09-24,29.08,29.34,28.74,29.07,400700,28.94
2012-09-21,29.52,29.65,29.04,29.05,668800,28.92
2012-09-20,29.66,29.80,29.37,29.40,312000,29.27
2012-09-19,29.28,29.93,29.04,29.82,732500,29.69
2012-09-18,29.33,29.43,28.98,29.11,551900,28.98
2012-09-17,30.31,30.31,29.46,29.55,492100,29.42
2012-09-14,30.01,30.53,29.96,30.35,405500,30.22
2012-09-13,29.69,30.32,29.43,29.96,729000,29.83
2012-09-12,29.35,29.83,29.13,29.69,491400,29.56
2012-09-11,29.28,29.81,29.28,29.44,679100,29.19
2012-09-10,29.30,29.45,29.09,29.34,414500,29.09
2012-09-07,29.51,29.65,29.15,29.25,446000,29.00
2012-09-06,28.54,29.76,28.52,29.51,872400,29.26
2012-09-05,28.52,28.59,27.98,28.42,790600,28.18
2012-09-04,27.80,28.58,27.75,28.43,524300,28.19
2012-08-31,27.63,28.04,27.45,27.73,467800,27.49
2012-08-30,27.31,27.72,27.07,27.50,347900,27.26
2012-08-29,27.30,27.96,27.30,27.54,391000,27.30
