Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,2.95,2.99,2.78,2.97,1436200,2.97
2013-01-31,2.59,3.14,2.59,2.77,5748200,2.77
2013-01-30,2.77,2.89,2.57,2.59,1105200,2.59
2013-01-29,2.56,2.73,2.56,2.73,989500,2.73
2013-01-28,2.71,2.73,2.54,2.60,1168300,2.60
2013-01-25,2.79,2.79,2.66,2.70,571100,2.70
2013-01-24,2.90,3.02,2.71,2.79,1494000,2.79
2013-01-23,3.05,3.06,2.96,3.06,394600,3.06
2013-01-22,3.10,3.12,2.93,3.05,642800,3.05
2013-01-18,3.07,3.18,3.00,3.10,578000,3.10
2013-01-17,3.19,3.52,2.91,3.03,2708200,3.03
2013-01-16,2.90,3.18,2.82,3.16,1435100,3.16
2013-01-15,2.83,3.01,2.69,2.92,554100,2.92
2013-01-14,2.95,2.99,2.65,2.88,1017300,2.88
2013-01-11,3.00,3.06,2.93,2.95,620700,2.95
2013-01-10,2.84,3.06,2.84,2.96,1118500,2.96
2013-01-09,2.77,2.84,2.74,2.75,405000,2.75
2013-01-08,2.83,2.88,2.62,2.77,1185400,2.77
2013-01-07,3.07,3.08,2.75,2.88,743700,2.88
2013-01-04,3.03,3.10,2.90,3.08,464100,3.08
2013-01-03,3.02,3.14,2.95,2.99,839100,2.99
2013-01-02,2.90,3.25,2.85,3.01,2041900,3.01
2012-12-31,2.50,2.64,2.47,2.57,592000,2.57
2012-12-28,2.65,2.67,2.50,2.51,291600,2.51
2012-12-27,2.61,2.68,2.52,2.65,396000,2.65
2012-12-26,2.67,2.72,2.57,2.62,257200,2.62
2012-12-24,2.75,2.90,2.61,2.69,418700,2.69
2012-12-21,2.75,2.83,2.35,2.77,2382700,2.77
2012-12-20,2.82,2.88,2.72,2.85,488500,2.85
2012-12-19,2.80,2.87,2.70,2.84,545600,2.84
2012-12-18,2.70,2.83,2.63,2.79,1473200,2.79
2012-12-17,2.56,2.71,2.52,2.66,654600,2.66
2012-12-14,2.49,2.59,2.46,2.55,536000,2.55
2012-12-13,2.81,2.81,2.38,2.54,728000,2.54
2012-12-12,2.85,2.94,2.77,2.81,1239800,2.81
2012-12-11,2.56,2.63,2.44,2.61,681600,2.61
2012-12-10,2.30,2.58,2.30,2.53,928000,2.53
2012-12-07,2.35,2.38,2.27,2.31,519200,2.31
2012-12-06,2.32,2.46,2.30,2.33,709300,2.33
2012-12-05,2.30,2.39,2.20,2.36,872700,2.36
2012-12-04,2.76,2.77,2.21,2.39,1577300,2.39
2012-12-03,2.97,3.05,2.69,2.76,1968600,2.76
2012-11-30,2.93,2.97,2.66,2.69,1170700,2.69
2012-11-29,2.30,2.93,2.25,2.86,1587700,2.86
2012-11-28,2.30,2.35,2.18,2.22,375100,2.22
2012-11-27,2.38,2.40,2.25,2.32,525400,2.32
2012-11-26,2.18,2.42,2.18,2.34,706800,2.34
2012-11-23,2.15,2.18,2.12,2.16,297800,2.16
2012-11-21,2.15,2.24,2.13,2.15,312600,2.15
2012-11-20,2.22,2.22,2.10,2.15,464800,2.15
2012-11-19,2.30,2.40,2.11,2.21,678000,2.21
2012-11-16,2.32,2.43,2.19,2.29,710900,2.29
2012-11-15,2.43,2.57,2.13,2.32,1820100,2.32
2012-11-14,2.64,2.80,2.43,2.44,970500,2.44
2012-11-13,2.96,2.98,2.59,2.64,1415800,2.64
2012-11-12,3.20,3.30,2.94,2.96,1084600,2.96
2012-11-09,3.68,3.82,3.49,3.51,799600,3.51
2012-11-08,4.20,4.28,3.64,3.68,1745900,3.68
2012-11-07,4.68,4.77,4.45,4.47,541300,4.47
2012-11-06,4.85,4.85,4.71,4.78,753900,4.78
2012-11-05,4.79,4.80,4.73,4.73,331400,4.73
2012-11-02,4.83,4.94,4.74,4.76,379200,4.76
2012-11-01,4.67,4.98,4.67,4.80,614000,4.80
2012-10-31,4.81,5.32,4.62,4.63,812400,4.63
2012-10-26,7.82,8.00,7.78,7.87,245700,4.87
2012-10-25,7.83,7.90,7.77,7.80,119300,4.83
2012-10-24,7.77,7.89,7.71,7.82,207100,4.84
2012-10-23,7.62,7.82,7.59,7.76,265000,4.80
2012-10-22,7.79,7.80,7.63,7.69,523400,4.76
2012-10-19,7.81,7.92,7.75,7.83,241100,4.85
2012-10-18,8.03,8.19,7.87,7.88,302300,4.88
2012-10-17,7.93,8.06,7.80,8.06,358300,4.99
2012-10-16,7.89,8.02,7.80,7.94,400200,4.91
2012-10-15,7.84,7.96,7.69,7.88,302500,4.88
2012-10-12,7.90,8.00,7.71,7.78,475600,4.81
2012-10-11,7.71,7.87,7.63,7.83,471900,4.85
2012-10-10,7.61,7.79,7.55,7.63,514300,4.72
2012-10-09,7.70,7.89,7.57,7.61,585200,4.71
2012-10-08,7.72,8.04,7.42,7.68,792300,4.75
2012-10-05,9.32,9.43,7.22,7.70,1399800,4.76
2012-10-04,9.07,9.13,8.78,9.06,157300,5.61
2012-10-03,9.33,9.47,9.03,9.05,159300,5.60
2012-10-02,9.00,9.33,8.99,9.29,211000,5.75
2012-10-01,9.41,9.52,8.94,8.98,524500,5.56
2012-09-28,9.57,9.57,9.31,9.39,150800,5.81
2012-09-27,9.52,9.68,9.51,9.58,108400,5.93
2012-09-26,9.49,9.62,9.43,9.49,128800,5.87
2012-09-25,9.52,9.73,9.45,9.51,198400,5.88
2012-09-24,9.41,9.61,9.35,9.48,364900,5.87
2012-09-21,9.76,10.06,9.27,9.38,1084900,5.80
2012-09-20,10.53,10.63,10.32,10.40,192700,6.44
2012-09-19,10.76,10.79,10.52,10.61,105000,6.57
2012-09-18,10.74,10.82,10.60,10.77,138800,6.66
2012-09-17,10.50,10.82,10.34,10.79,206000,6.68
2012-09-14,11.17,11.18,10.52,10.57,258200,6.54
2012-09-13,10.99,11.25,10.94,11.16,142900,6.91
2012-09-12,11.24,11.30,10.89,11.01,117000,6.81
2012-09-11,10.87,11.27,10.59,11.23,316100,6.95
2012-09-10,11.14,11.22,10.82,10.84,274700,6.71
2012-09-07,11.03,11.29,10.98,11.19,209100,6.92
2012-09-06,11.00,11.16,10.93,11.10,362000,6.87
2012-09-05,11.22,11.22,10.83,10.94,353500,6.77
2012-09-04,10.97,11.24,10.79,11.16,135600,6.91
2012-08-31,11.10,11.19,10.99,11.00,127800,6.81
2012-08-30,10.96,11.09,10.86,11.02,77200,6.82
2012-08-29,10.76,11.11,10.72,11.06,138500,6.84
2012-08-28,10.68,10.74,10.54,10.71,140700,6.63
2012-08-27,11.05,11.05,10.71,10.71,93800,6.63
2012-08-24,10.79,11.01,10.79,10.98,119900,6.79
2012-08-23,10.77,10.92,10.68,10.87,177500,6.73
2012-08-22,10.92,11.06,10.67,10.75,230700,6.65
2012-08-21,11.55,11.60,10.86,10.99,266300,6.80
2012-08-20,11.46,11.70,11.46,11.55,158500,7.15
2012-08-17,11.66,11.75,11.55,11.65,185700,7.21
2012-08-16,11.82,11.87,11.64,11.70,172700,7.24
2012-08-15,11.89,11.96,11.73,11.88,148700,7.35
2012-08-14,12.10,12.15,11.91,11.99,137600,7.42
2012-08-13,12.02,12.23,11.78,12.07,245300,7.47
2012-08-10,11.84,12.25,11.84,12.14,223800,7.51
2012-08-09,12.45,12.62,12.10,12.25,318800,7.58
2012-08-08,11.91,12.74,11.58,12.51,242600,7.74
2012-08-07,13.47,13.47,11.25,12.14,770200,7.51
2012-08-06,13.88,13.99,13.82,13.92,66200,8.61
2012-08-03,13.67,14.11,13.67,13.92,78100,8.61
2012-08-02,13.54,13.67,13.47,13.53,75600,8.37
2012-08-01,13.68,13.76,13.45,13.47,117900,8.34
2012-07-31,13.83,14.00,13.62,13.66,113800,8.45
2012-07-30,13.87,14.00,13.72,13.91,50600,8.61
2012-07-27,13.46,13.94,13.44,13.91,89600,8.61
2012-07-26,13.36,13.54,13.32,13.46,45400,8.33
2012-07-25,13.18,13.33,12.70,13.22,57300,8.18
2012-07-24,13.29,13.29,12.93,13.08,112200,8.09
2012-07-23,13.15,13.29,12.99,13.20,138000,8.17
2012-07-20,13.58,13.58,13.23,13.39,124400,8.29
2012-07-19,13.86,13.87,13.02,13.72,74800,8.49
2012-07-18,13.65,13.85,13.48,13.77,179800,8.52
2012-07-17,13.70,13.94,13.45,13.70,100300,8.48
2012-07-16,13.60,13.74,13.52,13.67,85000,8.46
2012-07-13,13.70,13.81,13.62,13.66,159200,8.45
2012-07-12,13.23,13.71,13.14,13.69,188100,8.47
2012-07-11,13.65,13.73,13.30,13.37,193400,8.27
2012-07-10,13.85,13.99,13.52,13.59,112500,8.41
2012-07-09,13.14,14.15,13.14,13.76,533000,8.51
2012-07-06,13.35,13.45,13.13,13.21,74700,8.17
2012-07-05,13.35,13.57,13.29,13.54,165000,8.38
2012-07-03,13.30,13.47,13.22,13.44,127200,8.32
2012-07-02,13.17,13.26,12.95,13.25,195500,8.20
2012-06-29,13.75,13.75,13.14,13.18,149300,8.16
2012-06-28,13.18,13.52,13.18,13.46,141900,8.33
2012-06-27,13.19,13.43,13.19,13.34,90500,8.25
2012-06-26,13.15,13.27,13.02,13.19,111400,8.16
2012-06-25,12.93,13.14,12.90,13.10,79600,8.11
2012-06-22,12.75,13.27,12.27,13.19,481600,8.16
2012-06-21,13.01,13.05,12.57,12.62,131200,7.81
2012-06-20,12.88,13.15,12.88,13.02,86700,8.06
2012-06-19,13.00,13.20,12.89,12.95,215100,8.01
2012-06-18,13.01,13.25,12.94,12.97,165000,8.03
2012-06-15,12.77,13.35,12.76,13.17,294500,8.15
2012-06-14,12.74,12.92,12.63,12.80,140100,7.92
2012-06-13,12.56,12.92,12.42,12.70,190100,7.86
2012-06-12,12.48,12.58,12.25,12.56,202400,7.77
2012-06-11,13.06,13.29,12.38,12.39,225900,7.67
2012-06-08,12.83,13.10,12.75,13.08,144800,8.09
2012-06-07,13.21,13.21,12.88,12.90,152700,7.98
2012-06-06,13.01,13.21,12.78,13.02,187200,8.06
2012-06-05,12.81,13.06,12.81,12.97,148300,8.03
2012-06-04,13.03,13.16,12.77,12.90,176800,7.98
2012-06-01,13.20,13.44,12.94,13.00,213300,8.04
2012-05-31,13.43,13.59,13.24,13.57,140700,8.40
2012-05-30,13.50,13.61,13.34,13.44,165500,8.32
2012-05-29,13.42,13.68,13.35,13.68,161900,8.47
2012-05-25,13.02,13.43,12.00,13.35,130000,8.26
2012-05-24,13.06,13.10,12.75,13.07,72900,8.09
2012-05-23,12.88,13.11,12.69,13.08,98100,8.09
2012-05-22,13.08,13.34,12.88,13.08,221500,8.09
2012-05-21,12.71,13.12,12.69,13.04,232900,8.07
2012-05-18,12.72,12.89,12.36,12.72,352000,7.87
2012-05-17,12.74,13.06,12.48,12.75,315800,7.89
2012-05-16,12.92,12.92,12.37,12.74,175000,7.88
2012-05-15,12.51,13.00,12.29,12.91,304200,7.99
2012-05-14,12.03,12.76,12.03,12.45,311500,7.70
2012-05-11,12.26,12.41,12.13,12.20,70100,7.55
2012-05-10,12.45,12.57,12.18,12.40,131000,7.67
2012-05-09,11.92,12.39,11.87,12.30,172200,7.61
2012-05-08,11.17,11.88,11.17,11.80,178900,7.30
2012-05-07,11.05,11.64,10.62,11.37,274300,7.04
2012-05-04,11.18,11.40,11.06,11.08,142900,6.86
2012-05-03,11.34,11.51,11.16,11.26,120700,6.97
2012-05-02,11.46,11.49,11.34,11.39,143000,7.05
2012-05-01,11.59,11.88,11.34,11.58,148000,7.17
2012-04-30,11.92,11.98,11.57,11.62,110200,7.19
2012-04-27,11.79,11.99,11.62,11.97,103000,7.41
2012-04-26,11.60,11.83,11.52,11.78,79400,7.29
2012-04-25,11.51,11.95,11.49,11.63,200200,7.20
2012-04-24,11.35,11.56,11.35,11.46,79300,7.09
2012-04-23,11.47,11.47,11.27,11.35,146600,7.02
2012-04-20,11.85,11.85,11.49,11.61,117200,7.18
2012-04-19,11.69,11.77,11.50,11.50,141400,7.12
2012-04-18,11.79,11.83,11.54,11.64,75600,7.20
2012-04-17,11.97,12.05,11.85,11.88,96500,7.35
2012-04-16,11.88,12.05,11.66,11.86,81600,7.34
2012-04-13,12.00,12.00,11.81,11.84,89700,7.33
2012-04-12,11.85,12.19,11.85,12.10,74300,7.49
2012-04-11,11.65,11.91,11.56,11.87,138500,7.35
2012-04-10,11.81,12.01,11.20,11.53,163200,7.13
2012-04-09,11.62,11.90,11.58,11.80,120900,7.30
2012-04-05,11.68,11.97,11.16,11.87,95700,7.35
2012-04-04,11.83,11.83,11.41,11.75,251000,7.27
2012-04-03,12.15,12.20,11.87,11.95,156300,7.39
2012-04-02,12.20,12.20,11.99,12.17,135100,7.53
2012-03-30,12.38,12.44,12.17,12.19,111000,7.54
2012-03-29,12.22,12.35,12.15,12.28,69000,7.60
2012-03-28,12.36,12.45,12.20,12.35,195400,7.64
2012-03-27,12.75,12.92,12.29,12.36,146500,7.65
2012-03-26,12.43,12.81,12.29,12.77,135300,7.90
2012-03-23,12.10,12.30,12.00,12.29,122500,7.61
2012-03-22,12.20,12.26,11.94,12.10,134700,7.49
2012-03-21,12.32,12.51,12.17,12.33,154600,7.63
2012-03-20,11.78,12.52,11.54,12.32,481900,7.62
2012-03-19,10.67,11.35,10.58,11.12,247300,6.88
2012-03-16,11.00,11.03,10.64,10.68,356700,6.61
2012-03-15,11.18,11.27,10.80,10.95,163500,6.78
2012-03-14,11.46,11.89,11.10,11.18,184800,6.92
2012-03-13,11.21,11.47,11.20,11.46,95700,7.09
2012-03-12,11.20,11.41,11.03,11.07,59800,6.85
2012-03-09,10.85,11.28,10.83,11.17,116200,6.91
2012-03-08,10.88,10.93,10.26,10.87,88800,6.73
2012-03-07,10.64,10.85,10.64,10.82,99500,6.70
2012-03-06,10.94,10.94,10.38,10.60,124600,6.56
2012-03-05,10.86,11.09,10.53,11.09,97800,6.86
2012-03-02,11.34,11.57,10.86,10.92,102600,6.76
2012-03-01,11.20,11.56,11.20,11.33,104300,7.01
2012-02-29,11.43,11.74,11.16,11.16,146600,6.91
2012-02-28,11.63,11.74,11.49,11.50,130500,7.12
2012-02-27,11.61,11.80,11.39,11.64,86200,7.20
2012-02-24,11.78,11.86,11.67,11.71,66500,7.25
2012-02-23,11.81,12.24,11.72,11.77,174000,7.28
2012-02-22,12.02,12.23,11.80,11.80,146100,7.30
2012-02-21,12.36,12.49,12.02,12.02,91900,7.44
2012-02-17,12.42,12.43,12.01,12.36,54900,7.65
2012-02-16,12.12,12.42,12.00,12.41,92500,7.68
2012-02-15,12.34,12.35,12.00,12.15,77800,7.52
2012-02-14,12.32,12.39,12.16,12.29,46200,7.61
2012-02-13,12.22,12.60,11.28,12.40,82900,7.67
2012-02-10,12.28,12.57,11.06,12.12,83500,7.50
2012-02-09,12.57,12.66,12.22,12.45,113800,7.70
2012-02-08,12.61,12.75,11.07,12.55,86100,7.77
2012-02-07,12.44,12.72,12.27,12.65,77100,7.83
2012-02-06,12.59,12.65,12.39,12.60,103300,7.80
2012-02-03,12.50,12.88,12.28,12.69,311300,7.85
2012-02-02,12.34,12.45,12.11,12.27,184800,7.59
2012-02-01,12.36,12.61,12.12,12.36,214700,7.65
2012-01-31,11.86,12.35,11.73,12.29,209200,7.61
2012-01-30,11.87,11.97,11.76,11.79,42700,7.30
2012-01-27,11.81,12.15,11.77,12.00,68600,7.43
2012-01-26,11.84,11.97,11.76,11.86,145000,7.34
2012-01-25,11.77,11.96,11.73,11.81,84800,7.31
