Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,68.17,68.73,68.15,68.38,47400,68.38
2013-01-31,67.49,68.86,67.30,68.15,61500,68.15
2013-01-30,67.97,68.22,67.03,67.40,44700,67.40
2013-01-29,67.00,69.97,67.00,68.34,82700,68.34
2013-01-28,65.99,66.72,65.28,66.42,57600,66.42
2013-01-25,65.77,66.28,64.79,66.06,60800,66.06
2013-01-24,65.44,65.88,63.28,65.62,48600,65.62
2013-01-23,66.40,66.52,65.41,65.51,38900,65.51
2013-01-22,65.97,66.60,65.54,66.50,32900,66.50
2013-01-18,65.87,66.29,65.27,66.11,56400,66.11
2013-01-17,65.75,65.80,65.40,65.70,19700,65.70
2013-01-16,65.23,65.67,64.61,65.41,44900,65.41
2013-01-15,64.50,65.56,64.50,65.30,23600,65.30
2013-01-14,64.34,64.99,64.15,64.99,19900,64.99
2013-01-11,64.38,64.94,63.99,64.65,42600,64.65
2013-01-10,64.96,65.07,63.56,64.26,25100,64.26
2013-01-09,63.38,65.27,63.38,64.97,49800,64.97
2013-01-08,63.65,64.18,63.00,63.43,77800,63.43
2013-01-07,64.31,64.76,63.39,63.40,31100,63.40
2013-01-04,64.96,65.77,64.52,64.77,54300,64.77
2013-01-03,64.21,64.78,63.36,64.68,49500,64.68
2013-01-02,64.76,64.84,63.61,64.32,88400,64.32
2012-12-31,61.91,64.02,61.52,63.88,59700,63.88
2012-12-28,61.96,62.42,61.00,61.68,22200,61.68
2012-12-27,62.55,62.69,61.65,62.07,37800,62.07
2012-12-26,63.04,63.07,61.81,62.38,34000,62.38
2012-12-24,63.32,63.70,62.34,63.11,34000,63.11
2012-12-21,63.26,63.85,62.67,63.50,207600,63.50
2012-12-20,63.17,63.94,62.97,63.54,38100,63.54
2012-12-19,63.40,63.53,62.85,63.19,33200,63.19
2012-12-18,63.57,63.76,63.01,63.53,42300,63.53
2012-12-17,62.15,63.69,62.15,63.67,53800,63.67
2012-12-14,62.53,62.92,61.69,61.90,60000,61.90
2012-12-13,62.98,63.07,62.40,62.52,39700,62.52
2012-12-12,63.32,63.44,62.29,62.76,48400,62.76
2012-12-11,63.05,63.51,62.42,63.08,90900,63.08
2012-12-10,62.96,63.16,62.40,62.84,72100,62.84
2012-12-07,63.41,63.44,62.28,62.99,46600,62.99
2012-12-06,63.50,63.93,62.88,63.52,34900,63.36
2012-12-05,64.20,64.20,63.42,63.77,48000,63.61
2012-12-04,63.70,64.08,62.79,63.89,125700,63.73
2012-12-03,64.07,65.60,63.45,63.58,77700,63.42
2012-11-30,63.01,63.01,61.71,62.90,52400,62.74
2012-11-29,63.04,63.16,62.17,62.76,51900,62.60
2012-11-28,62.33,63.01,62.00,62.08,59200,61.92
2012-11-27,61.48,62.95,61.48,62.58,77100,62.42
2012-11-26,61.06,61.97,60.00,61.60,82200,61.44
2012-11-23,61.30,61.30,60.79,61.30,48200,61.15
2012-11-21,60.84,61.30,60.37,61.13,58200,60.98
2012-11-20,60.18,60.90,59.81,60.80,78200,60.65
2012-11-19,58.68,60.55,58.19,60.46,65100,60.31
2012-11-16,57.58,58.22,57.43,58.05,43500,57.90
2012-11-15,58.32,58.75,57.28,57.72,56200,57.57
2012-11-14,59.65,60.25,58.35,58.48,33100,58.33
2012-11-13,58.69,60.31,58.69,59.53,50900,59.38
2012-11-12,58.28,59.10,58.28,58.99,60600,58.84
2012-11-09,56.49,58.60,56.43,58.25,87300,58.10
2012-11-08,57.03,57.18,55.96,56.06,33200,55.92
2012-11-07,56.62,57.41,56.32,57.03,56900,56.89
2012-11-06,56.44,57.46,56.09,57.22,29200,57.08
2012-11-05,56.93,57.29,56.23,56.37,42000,56.23
2012-11-02,58.18,58.65,56.75,56.76,40000,56.62
2012-11-01,57.37,58.37,56.79,58.00,65100,57.85
2012-10-31,57.01,57.40,56.51,57.27,17500,57.13
