Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,62.22,63.48,62.22,63.28,119800,63.28
2013-01-31,61.80,62.23,61.45,62.16,128000,62.16
2013-01-30,62.17,62.46,61.28,61.63,153800,61.63
2013-01-29,62.80,62.90,61.93,62.28,87300,62.28
2013-01-28,62.60,62.83,62.07,62.62,175900,62.62
2013-01-25,63.20,63.20,62.01,62.65,102800,62.65
2013-01-24,61.69,63.20,61.64,63.15,428900,63.15
2013-01-23,62.69,62.69,61.58,61.76,135400,61.76
2013-01-22,62.86,63.39,62.62,63.01,153400,62.71
2013-01-18,63.00,63.00,62.11,62.64,124800,62.34
2013-01-17,63.19,63.19,62.71,63.00,108200,62.70
2013-01-16,63.55,63.55,62.45,62.89,144800,62.59
2013-01-15,63.56,63.98,63.37,63.55,133100,63.25
2013-01-14,63.93,64.25,63.13,63.67,100700,63.37
2013-01-11,65.06,65.17,63.72,64.05,161000,63.75
2013-01-10,64.30,65.13,64.20,65.03,129000,64.72
2013-01-09,64.00,64.62,63.68,64.25,228300,63.94
2013-01-08,62.47,63.81,62.25,63.65,200100,63.35
2013-01-07,63.00,63.25,62.07,62.25,168000,61.95
2013-01-04,63.04,63.84,62.43,63.08,99800,62.78
2013-01-03,63.12,63.12,62.36,62.65,86700,62.35
2013-01-02,62.75,63.54,62.02,63.22,139800,62.92
2012-12-31,60.32,61.94,60.09,61.69,111500,61.40
2012-12-28,60.44,61.00,60.17,60.26,51300,59.97
2012-12-27,60.97,61.08,60.04,60.91,89000,60.62
2012-12-26,61.09,61.54,60.71,60.76,46700,60.47
2012-12-24,61.02,61.22,60.56,60.98,35300,60.69
2012-12-21,60.61,61.11,60.26,61.02,357000,60.73
2012-12-20,61.50,61.88,60.60,61.12,187100,60.83
2012-12-19,61.00,61.93,60.42,61.75,152100,61.46
2012-12-18,60.04,61.08,59.84,60.74,288100,60.45
2012-12-17,60.85,60.85,59.26,60.06,168900,59.77
2012-12-14,60.30,61.12,60.16,60.50,91200,60.21
2012-12-13,60.44,61.14,60.21,60.49,70800,60.20
2012-12-12,61.72,61.72,60.35,60.56,100600,60.27
2012-12-11,61.64,62.25,61.18,61.34,82600,61.05
2012-12-10,61.18,61.55,60.81,61.24,134700,60.95
2012-12-07,60.99,61.32,60.29,61.30,127800,61.01
2012-12-06,61.42,61.61,59.94,60.88,122800,60.59
2012-12-05,61.03,61.84,60.86,61.30,180400,61.01
2012-12-04,60.89,61.34,60.26,61.03,130900,60.74
2012-12-03,60.87,61.40,60.23,60.74,63700,60.45
2012-11-30,60.78,61.60,60.21,60.87,166900,60.58
2012-11-29,60.97,61.21,60.00,60.78,46700,60.49
2012-11-28,59.84,61.16,58.90,60.61,156200,60.32
2012-11-27,59.39,60.72,59.39,60.19,197100,59.90
2012-11-26,59.95,60.27,59.03,59.60,98900,59.32
2012-11-23,60.24,60.56,59.89,60.13,28500,59.84
2012-11-21,59.98,60.07,59.29,59.69,34500,59.41
2012-11-20,59.57,60.66,59.14,59.75,53200,59.47
2012-11-19,59.24,59.83,59.02,59.83,66200,59.55
2012-11-16,57.61,58.86,56.75,58.40,88400,58.12
2012-11-15,58.36,59.10,57.47,57.93,78600,57.65
2012-11-14,60.22,60.22,58.36,58.67,123900,58.39
2012-11-13,60.19,60.73,59.70,60.10,56300,59.81
2012-11-12,60.25,60.66,59.72,60.34,60600,60.05
2012-11-09,59.07,60.49,59.07,59.96,96000,59.67
2012-11-08,59.54,59.77,58.88,59.33,72800,59.05
2012-11-07,60.55,60.55,58.52,59.42,105100,59.14
2012-11-06,59.88,61.16,59.62,60.71,113900,60.42
2012-11-05,58.96,59.60,58.96,59.39,96500,59.11
2012-11-02,61.00,61.09,58.75,59.17,138900,58.89
2012-11-01,60.32,61.30,60.13,60.85,250500,60.56
2012-10-31,59.91,60.84,59.46,60.58,203100,60.29
2012-10-26,59.67,60.80,59.17,59.70,162400,59.42
2012-10-25,58.68,60.20,58.68,59.42,289800,59.14
