Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,6.10,6.20,6.02,6.17,375800,6.17
2013-01-31,5.86,6.06,5.83,6.05,420300,6.05
2013-01-30,5.94,6.00,5.83,5.87,309500,5.87
2013-01-29,5.92,5.99,5.89,5.96,292300,5.96
2013-01-28,5.89,5.96,5.84,5.93,222800,5.93
2013-01-25,5.90,5.91,5.80,5.90,148400,5.90
2013-01-24,5.80,5.88,5.74,5.87,109700,5.87
2013-01-23,5.80,5.81,5.76,5.78,321700,5.78
2013-01-22,5.72,5.82,5.71,5.79,142100,5.79
2013-01-18,5.75,5.75,5.69,5.74,199600,5.74
2013-01-17,5.78,5.79,5.71,5.76,146300,5.76
2013-01-16,5.79,5.83,5.71,5.74,187700,5.74
2013-01-15,5.73,5.84,5.69,5.82,561600,5.82
2013-01-14,5.61,5.80,5.61,5.77,227700,5.77
2013-01-11,5.65,5.65,5.48,5.62,385700,5.62
2013-01-10,5.66,5.66,5.58,5.62,184000,5.62
2013-01-09,5.62,5.63,5.53,5.62,236900,5.62
2013-01-08,5.65,5.68,5.59,5.60,163300,5.60
2013-01-07,5.53,5.65,5.53,5.64,191800,5.64
2013-01-04,5.57,5.63,5.52,5.54,290100,5.54
2013-01-03,5.53,5.61,5.48,5.55,397000,5.55
2013-01-02,5.65,5.82,5.47,5.50,414400,5.50
2012-12-31,5.48,5.62,5.44,5.59,132600,5.53
2012-12-28,5.48,5.57,5.40,5.47,162700,5.41
2012-12-27,5.39,5.54,5.38,5.49,157800,5.43
2012-12-26,5.40,5.42,5.35,5.41,139000,5.35
2012-12-24,5.44,5.44,5.37,5.38,87800,5.32
2012-12-21,5.40,5.47,5.35,5.44,991000,5.38
2012-12-20,5.34,5.44,5.31,5.44,565400,5.38
2012-12-19,5.33,5.36,5.25,5.34,458600,5.28
2012-12-18,5.25,5.31,5.19,5.31,255500,5.25
2012-12-17,5.13,5.26,5.08,5.26,327000,5.20
2012-12-14,5.01,5.13,4.87,5.13,369800,5.07
2012-12-13,4.48,5.16,4.48,5.04,304500,4.99
2012-12-12,5.29,5.29,5.10,5.15,368600,5.09
2012-12-11,5.28,5.32,5.25,5.29,190200,5.23
2012-12-10,5.33,5.36,5.22,5.24,290200,5.18
2012-12-07,5.39,5.39,5.31,5.34,140500,5.28
2012-12-06,5.35,5.40,5.30,5.35,165600,5.29
2012-12-05,5.44,5.44,5.35,5.36,102200,5.30
2012-12-04,5.42,5.44,5.39,5.41,266600,5.35
2012-12-03,5.36,5.43,5.34,5.40,617800,5.34
2012-11-30,5.26,5.34,5.24,5.34,419900,5.28
2012-11-29,5.32,5.35,5.24,5.24,305900,5.18
2012-11-28,5.30,5.30,5.16,5.27,177500,5.21
2012-11-27,5.28,5.33,5.21,5.30,235100,5.24
2012-11-26,5.30,5.31,5.25,5.30,151100,5.24
2012-11-23,5.30,5.32,5.26,5.30,84800,5.24
2012-11-21,5.26,5.29,5.22,5.29,50800,5.23
2012-11-20,5.24,5.27,5.16,5.27,152800,5.21
2012-11-19,5.21,5.25,5.14,5.23,149200,5.17
2012-11-16,5.11,5.17,5.06,5.15,240400,5.09
2012-11-15,5.31,5.32,5.10,5.14,326400,5.08
2012-11-14,5.38,5.38,5.25,5.30,341500,5.24
2012-11-13,5.34,5.39,5.30,5.39,212000,5.33
2012-11-12,5.38,5.40,5.30,5.35,138500,5.29
2012-11-09,5.37,5.41,5.32,5.35,319500,5.29
2012-11-08,5.42,5.46,5.36,5.41,369900,5.35
2012-11-07,5.40,5.46,5.37,5.41,306100,5.35
2012-11-06,5.41,5.50,5.36,5.46,396700,5.40
2012-11-05,5.38,5.44,5.31,5.35,223700,5.29
2012-11-02,5.59,5.62,5.37,5.39,346600,5.33
2012-11-01,5.49,5.60,5.40,5.49,385200,5.43
2012-10-31,5.49,5.65,5.40,5.47,848100,5.41
2012-10-26,5.60,5.66,5.47,5.51,198000,5.45
2012-10-25,5.57,5.61,5.48,5.59,232200,5.53
2012-10-24,5.50,5.61,5.47,5.54,762500,5.48
2012-10-23,5.38,5.49,5.38,5.47,513900,5.41
2012-10-22,5.45,5.47,5.37,5.44,329100,5.38
2012-10-19,5.54,5.58,5.44,5.45,868700,5.39
2012-10-18,5.62,5.66,5.52,5.57,661800,5.51
2012-10-17,5.35,5.69,5.30,5.65,5244300,5.59
2012-10-16,5.38,5.44,5.32,5.40,192200,5.34
2012-10-15,5.33,5.40,5.31,5.34,187400,5.28
2012-10-12,5.38,5.44,5.30,5.30,173000,5.24
2012-10-11,5.37,5.44,5.35,5.37,141600,5.31
2012-10-10,5.29,5.34,5.28,5.34,236800,5.28
2012-10-09,5.28,5.33,5.26,5.27,181400,5.21
2012-10-08,5.21,5.32,5.20,5.28,415000,5.22
2012-10-05,5.19,5.32,5.16,5.22,709300,5.16
2012-10-04,5.09,5.20,5.04,5.18,179500,5.12
2012-10-03,5.15,5.22,5.06,5.07,130600,5.02
2012-10-02,5.21,5.24,5.12,5.21,135400,5.09
2012-10-01,5.14,5.29,5.10,5.17,171100,5.06
2012-09-28,5.13,5.17,5.10,5.10,175200,4.99
2012-09-27,5.23,5.29,5.14,5.15,328400,5.04
2012-09-26,5.26,5.32,5.21,5.22,123700,5.10
2012-09-25,5.26,5.35,5.23,5.24,288100,5.12
2012-09-24,5.28,5.36,5.23,5.24,209200,5.12
2012-09-21,5.28,5.35,5.22,5.28,711500,5.16
2012-09-20,5.29,5.40,5.23,5.25,265100,5.13
2012-09-19,5.33,5.33,5.24,5.27,155100,5.15
2012-09-18,5.28,5.32,5.27,5.31,170300,5.19
2012-09-17,5.25,5.33,5.24,5.28,241500,5.16
2012-09-14,5.32,5.35,5.27,5.27,224700,5.15
2012-09-13,5.25,5.35,5.18,5.28,182700,5.16
2012-09-12,5.29,5.29,5.23,5.25,103300,5.13
2012-09-11,5.21,5.30,5.21,5.27,147100,5.15
2012-09-10,5.23,5.26,5.16,5.19,129100,5.08
2012-09-07,5.25,5.26,5.19,5.20,101600,5.08
2012-09-06,5.25,5.26,5.22,5.24,209700,5.12
2012-09-05,5.22,5.24,5.17,5.20,182100,5.08
2012-09-04,5.16,5.24,5.07,5.20,165300,5.08
2012-08-31,5.24,5.24,5.11,5.14,262700,5.03
2012-08-30,5.12,5.21,5.07,5.21,101900,5.09
2012-08-29,5.12,5.16,5.07,5.15,58000,5.04
2012-08-28,5.12,5.16,5.06,5.12,73400,5.01
2012-08-27,5.13,5.17,5.08,5.13,86800,5.02
2012-08-24,5.11,5.14,5.05,5.12,53200,5.01
2012-08-23,5.19,5.19,5.07,5.10,68700,4.99
2012-08-22,5.17,5.20,5.10,5.20,386000,5.08
2012-08-21,5.25,5.32,5.15,5.16,114200,5.05
2012-08-20,5.25,5.27,5.20,5.20,97400,5.08
2012-08-17,5.16,5.26,5.04,5.26,172100,5.14
2012-08-16,5.11,5.21,5.03,5.17,141100,5.06
2012-08-15,5.03,5.10,4.99,5.10,129400,4.99
2012-08-14,4.98,5.07,4.95,5.05,167900,4.94
2012-08-13,4.95,4.97,4.85,4.95,57400,4.84
2012-08-10,4.89,4.96,4.88,4.94,50900,4.83
2012-08-09,5.01,5.05,4.88,4.88,148700,4.77
2012-08-08,5.03,5.07,5.00,5.00,107300,4.89
2012-08-07,5.15,5.15,5.01,5.08,80500,4.97
2012-08-06,5.08,5.12,5.08,5.10,70500,4.99
2012-08-03,5.02,5.10,5.02,5.09,105100,4.98
2012-08-02,5.00,5.02,4.90,4.93,79300,4.82
2012-08-01,5.05,5.11,4.94,4.99,200100,4.88
2012-07-31,5.04,5.07,5.00,5.03,122900,4.92
2012-07-30,5.06,5.10,5.03,5.03,51000,4.92
2012-07-27,4.93,5.06,4.91,5.05,96200,4.94
2012-07-26,4.97,5.03,4.90,4.91,72300,4.80
2012-07-25,4.93,4.93,4.84,4.89,100800,4.78
2012-07-24,4.91,4.92,4.86,4.88,118200,4.77
2012-07-23,4.92,5.03,4.87,4.87,98600,4.76
2012-07-20,5.04,5.09,4.98,5.01,139400,4.90
2012-07-19,5.16,5.17,5.05,5.06,61700,4.95
2012-07-18,5.13,5.16,5.10,5.15,92800,5.04
2012-07-17,5.17,5.18,5.08,5.13,124700,5.02
2012-07-16,5.14,5.17,5.11,5.13,144200,5.02
2012-07-13,5.05,5.18,5.00,5.15,116300,5.04
2012-07-12,5.02,5.07,4.99,5.01,153900,4.90
2012-07-11,5.06,5.08,5.01,5.05,192100,4.94
2012-07-10,5.05,5.09,5.00,5.03,142600,4.92
2012-07-09,5.08,5.08,5.02,5.02,139900,4.91
2012-07-06,4.99,5.09,4.99,5.06,160400,4.95
2012-07-05,5.03,5.05,5.00,5.05,83900,4.94
2012-07-03,5.03,5.06,4.95,5.05,120000,4.94
2012-07-02,5.04,5.09,5.00,5.08,247700,4.91
2012-06-29,5.10,5.10,4.99,4.99,227300,4.82
2012-06-28,5.00,5.05,4.93,4.99,73000,4.82
2012-06-27,4.91,5.08,4.91,5.06,145800,4.89
2012-06-26,4.89,4.99,4.86,4.90,69600,4.73
2012-06-25,4.85,4.99,4.85,4.89,75800,4.73
2012-06-22,4.87,4.98,4.82,4.95,253400,4.78
2012-06-21,4.93,4.97,4.80,4.81,109900,4.65
2012-06-20,4.93,5.00,4.90,4.96,127000,4.79
2012-06-19,4.91,5.00,4.86,4.94,194200,4.77
2012-06-18,4.96,5.00,4.86,4.87,96600,4.71
2012-06-15,4.83,5.01,4.79,5.00,374400,4.83
2012-06-14,4.82,4.89,4.76,4.80,153200,4.64
2012-06-13,4.90,4.94,4.79,4.80,190300,4.64
2012-06-12,4.92,4.98,4.83,4.89,104600,4.73
2012-06-11,5.10,5.23,4.86,4.87,299600,4.71
2012-06-08,4.94,5.07,4.94,5.05,172100,4.88
2012-06-07,5.08,5.08,4.94,4.96,130100,4.79
2012-06-06,4.81,5.02,4.74,5.01,197600,4.84
2012-06-05,4.80,4.90,4.72,4.75,217000,4.59
2012-06-04,4.76,4.87,4.61,4.85,203700,4.69
2012-06-01,4.64,4.82,3.81,4.71,168100,4.55
2012-05-31,4.70,4.75,4.60,4.74,357800,4.58
2012-05-30,4.68,4.76,4.65,4.67,102900,4.51
2012-05-29,4.73,4.78,4.67,4.72,139000,4.56
2012-05-25,4.76,4.77,4.67,4.71,127600,4.55
2012-05-24,4.82,4.82,4.70,4.75,104000,4.59
2012-05-23,4.76,4.84,4.67,4.80,231000,4.64
2012-05-22,4.94,4.96,4.80,4.81,216800,4.65
2012-05-21,4.94,5.00,4.84,4.92,190600,4.75
2012-05-18,4.99,5.05,4.92,4.93,197300,4.76
2012-05-17,4.97,5.08,4.89,4.97,186900,4.80
2012-05-16,5.07,5.09,4.98,4.98,105300,4.81
2012-05-15,4.97,5.08,4.88,5.07,185000,4.90
2012-05-14,4.96,5.01,4.93,4.96,167700,4.79
2012-05-11,5.09,5.09,4.91,5.04,170000,4.87
2012-05-10,5.00,5.15,4.95,5.13,227300,4.96
2012-05-09,5.05,5.14,4.94,4.96,133000,4.79
