Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,63.04,63.99,62.99,63.13,36700,63.13
2013-01-31,63.13,64.08,62.63,62.99,22000,62.99
2013-01-30,64.00,64.00,62.57,63.05,26400,63.05
2013-01-29,64.01,64.36,63.21,64.19,25500,64.19
2013-01-28,65.52,65.86,63.92,64.25,16000,64.25
2013-01-25,64.84,66.04,64.54,65.71,19600,65.71
2013-01-24,63.56,65.60,63.35,64.80,39500,64.80
2013-01-23,63.76,63.90,62.99,63.66,17200,63.66
2013-01-22,62.28,63.51,62.28,63.47,20700,63.47
2013-01-18,62.92,63.45,61.46,61.85,17600,61.85
2013-01-17,60.93,63.57,60.76,63.27,10400,63.27
2013-01-16,62.02,62.02,60.74,60.83,18800,60.83
2013-01-15,61.18,62.89,61.15,62.46,20000,62.46
2013-01-14,61.20,61.65,60.17,61.38,36100,61.38
2013-01-11,62.86,63.04,61.02,61.54,39200,61.54
2013-01-10,62.38,62.60,61.70,62.55,13800,62.55
2013-01-09,61.56,62.87,61.56,62.36,14100,62.36
2013-01-08,61.55,61.93,60.75,61.61,24300,61.61
2013-01-07,62.16,62.61,60.90,61.75,22100,61.75
2013-01-04,63.03,63.20,61.60,62.26,19600,62.26
2013-01-03,63.15,63.48,62.23,62.63,35500,62.63
2013-01-02,62.01,63.32,61.69,62.86,44300,62.86
2012-12-31,59.48,61.79,59.29,61.21,30400,61.21
2012-12-28,59.61,60.60,58.75,59.57,34300,59.57
2012-12-27,59.83,60.31,58.93,60.05,44200,60.05
2012-12-26,58.87,61.15,57.99,59.58,52000,59.58
2012-12-24,58.39,59.44,57.91,58.99,21300,58.99
2012-12-21,60.77,61.10,58.07,58.64,95700,58.64
2012-12-20,57.79,59.72,57.66,59.53,47400,59.53
2012-12-19,59.11,59.17,58.06,58.12,34100,58.12
2012-12-18,58.56,59.35,58.28,59.26,26200,59.26
2012-12-17,56.71,58.99,56.22,58.77,26900,58.77
2012-12-14,56.80,57.93,56.30,56.34,50900,56.34
2012-12-13,57.95,58.17,56.73,57.04,43400,57.04
2012-12-12,58.44,58.65,56.76,58.17,49700,58.17
2012-12-11,63.00,63.00,57.63,58.32,61600,58.32
2012-12-10,60.46,63.85,60.46,63.42,57800,63.42
2012-12-07,60.08,60.48,59.25,60.48,11700,60.48
2012-12-06,58.50,60.38,58.24,59.68,36000,59.68
2012-12-05,59.00,60.08,57.80,59.00,58100,58.45
2012-12-04,59.34,59.88,58.46,59.25,16900,58.70
2012-12-03,59.41,59.96,59.10,59.43,19000,58.88
2012-11-30,60.04,60.31,58.79,59.58,46900,59.02
2012-11-29,59.92,60.35,59.22,59.72,14300,59.16
2012-11-28,58.96,59.80,58.13,59.43,21000,58.88
2012-11-27,59.06,59.84,59.00,59.14,33900,58.59
2012-11-26,58.68,59.98,58.55,59.30,30900,58.75
2012-11-23,58.82,59.68,58.45,59.02,10800,58.47
2012-11-21,57.85,58.92,57.45,58.65,14400,58.10
2012-11-20,57.37,58.23,56.72,58.00,9600,57.46
2012-11-19,56.53,57.95,56.28,57.30,11000,56.77
2012-11-16,54.94,56.64,54.48,56.17,30100,55.65
2012-11-15,55.18,56.05,54.84,55.42,14600,54.90
2012-11-14,56.11,57.00,55.12,55.33,16400,54.81
2012-11-13,56.05,56.51,55.82,56.18,5700,55.66
2012-11-12,56.72,57.30,56.48,56.48,3400,55.95
2012-11-09,56.05,57.10,55.97,56.25,11900,55.73
