Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,37.51,37.63,37.40,37.48,183800,37.48
2013-01-31,37.22,37.36,36.86,37.24,148300,37.24
2013-01-30,37.32,37.41,36.94,37.18,118900,37.18
2013-01-29,37.20,37.34,37.12,37.26,170400,37.26
2013-01-28,36.81,37.42,36.81,37.11,375900,37.11
2013-01-25,37.05,37.10,36.77,36.85,144400,36.85
2013-01-24,36.76,37.05,36.76,36.95,142100,36.95
2013-01-23,36.79,36.99,36.70,36.76,134700,36.76
2013-01-22,36.53,36.91,36.45,36.91,191600,36.91
2013-01-18,36.64,36.68,36.22,36.45,132700,36.45
2013-01-17,36.62,36.73,36.47,36.67,122400,36.51
2013-01-16,36.75,36.75,36.44,36.51,96900,36.36
2013-01-15,36.77,36.83,36.50,36.76,108200,36.60
2013-01-14,36.51,36.84,36.39,36.68,108400,36.52
2013-01-11,36.45,36.61,36.19,36.44,229000,36.29
2013-01-10,36.51,36.53,36.17,36.37,102400,36.22
2013-01-09,36.31,36.45,36.12,36.37,103400,36.22
2013-01-08,36.28,36.32,36.01,36.14,125300,35.99
2013-01-07,36.34,36.84,36.18,36.26,175800,36.11
2013-01-04,35.85,36.42,35.80,36.32,170800,36.17
2013-01-03,35.94,35.95,35.58,35.65,184400,35.50
2013-01-02,35.85,36.06,35.65,35.80,319800,35.65
2012-12-31,34.88,35.20,34.71,35.19,142400,35.04
2012-12-28,34.82,35.22,34.73,34.85,230100,34.70
2012-12-27,34.84,34.98,34.68,34.96,126400,34.81
2012-12-26,35.11,35.11,34.65,34.92,129900,34.77
2012-12-24,34.85,35.07,34.73,35.03,116300,34.88
2012-12-21,34.90,35.32,34.65,34.86,555200,34.71
2012-12-20,34.12,34.91,33.96,34.90,234000,34.75
2012-12-19,33.79,34.26,33.70,34.00,130000,33.86
2012-12-18,33.15,33.93,33.13,33.88,127400,33.58
2012-12-17,32.73,33.28,32.67,33.18,155300,32.89
2012-12-14,32.74,32.89,32.40,32.62,180900,32.33
2012-12-13,33.03,33.09,32.67,32.78,48400,32.49
2012-12-12,33.60,33.64,32.92,33.08,142900,32.79
2012-12-11,33.50,33.89,33.35,33.59,154300,33.29
2012-12-10,33.09,33.38,33.03,33.31,147400,33.02
2012-12-07,32.93,33.19,32.69,33.03,83500,32.74
2012-12-06,32.65,32.82,32.58,32.82,80900,32.53
2012-12-05,32.89,32.92,32.53,32.68,72100,32.39
2012-12-04,33.04,33.12,32.64,32.88,109900,32.59
2012-12-03,32.92,33.08,32.44,33.08,100400,32.79
2012-11-30,32.85,32.96,32.61,32.72,168100,32.43
2012-11-29,32.82,32.82,32.03,32.77,114000,32.48
2012-11-28,32.51,32.68,32.10,32.61,84100,32.32
2012-11-27,32.56,32.74,32.11,32.57,160500,32.28
2012-11-26,32.21,32.65,32.01,32.64,139400,32.35
2012-11-23,32.14,32.24,31.92,32.23,32200,31.95
2012-11-21,32.05,32.16,31.65,31.90,68700,31.62
2012-11-20,31.79,31.97,31.51,31.97,68500,31.69
2012-11-19,31.91,31.93,31.65,31.82,130300,31.54
2012-11-16,30.96,31.83,30.80,31.77,169500,31.34
2012-11-15,31.31,31.31,30.41,31.06,174300,30.64
2012-11-14,32.35,32.49,31.35,31.43,118800,31.00
2012-11-13,31.58,32.38,31.58,32.24,151900,31.80
2012-11-12,31.91,31.91,31.67,31.75,78900,31.32
2012-11-09,32.38,32.46,31.59,31.78,226300,31.35
2012-11-08,32.99,33.04,32.50,32.55,114000,32.11
