Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,51.42,52.37,51.37,52.27,1597000,52.27
2013-01-31,51.76,51.76,50.89,51.50,1913400,51.50
2013-01-30,49.58,51.89,49.58,51.78,2783200,51.78
2013-01-29,48.55,48.74,48.32,48.55,1195500,48.55
2013-01-28,48.22,48.67,48.11,48.59,732500,48.59
2013-01-25,48.05,48.12,47.63,48.12,404700,48.12
2013-01-24,47.36,48.00,47.36,47.89,757000,47.89
2013-01-23,47.11,47.30,46.93,47.12,583700,47.12
2013-01-22,46.99,47.41,46.92,47.24,487800,47.24
2013-01-18,46.91,47.21,46.38,47.16,588800,47.16
2013-01-17,46.71,47.27,46.61,47.10,441600,47.10
2013-01-16,46.62,46.75,46.41,46.54,515200,46.54
2013-01-15,46.37,46.83,46.24,46.70,941600,46.70
2013-01-14,45.66,46.60,45.66,46.59,815600,46.59
2013-01-11,45.22,45.79,45.01,45.78,505100,45.78
2013-01-10,45.13,45.48,44.98,45.21,880500,45.21
2013-01-09,44.84,44.96,44.60,44.96,394000,44.96
2013-01-08,44.40,44.83,44.34,44.64,438100,44.64
2013-01-07,44.67,44.75,44.08,44.54,514600,44.54
2013-01-04,44.16,45.10,44.03,44.87,537000,44.87
2013-01-03,43.47,44.33,43.14,44.02,563200,44.02
2013-01-02,43.69,43.87,43.05,43.49,471200,43.49
2012-12-31,41.82,42.51,41.60,42.44,587500,42.44
2012-12-28,41.79,42.11,41.50,41.78,372600,41.78
2012-12-27,42.55,42.55,41.40,42.09,676400,42.09
2012-12-26,42.40,42.74,42.34,42.44,495400,42.44
2012-12-24,42.34,42.43,41.82,42.34,105500,42.34
2012-12-21,42.32,42.57,41.50,42.34,1167100,42.34
2012-12-20,42.47,42.93,42.20,42.93,634700,42.93
2012-12-19,42.66,42.80,42.31,42.45,570600,42.45
2012-12-18,42.09,42.77,42.01,42.74,455100,42.74
2012-12-17,41.65,42.09,41.46,42.08,467100,42.08
2012-12-14,41.31,41.88,41.28,41.47,556100,41.47
2012-12-13,40.95,41.88,40.82,41.47,921800,41.47
2012-12-12,41.41,41.43,40.65,40.87,1313100,40.87
2012-12-11,40.78,41.38,40.54,41.19,908000,41.19
2012-12-10,40.10,41.05,40.10,40.48,1114800,40.48
2012-12-07,39.92,41.18,39.82,40.18,1252000,40.18
2012-12-06,38.52,39.70,38.47,39.68,877200,39.68
2012-12-05,38.70,38.90,38.39,38.44,511700,38.44
2012-12-04,38.37,38.82,38.17,38.64,529400,38.64
2012-12-03,38.68,38.99,38.13,38.36,708200,38.36
2012-11-30,37.75,38.49,37.60,38.44,957400,38.44
2012-11-29,38.66,38.66,38.01,38.17,652600,37.74
2012-11-28,37.80,38.38,37.26,38.34,582700,37.91
2012-11-27,38.44,38.64,37.92,37.95,686800,37.52
2012-11-26,37.92,38.67,37.69,38.54,430200,38.11
2012-11-23,37.62,38.15,37.30,38.14,189600,37.71
2012-11-21,36.99,37.61,36.64,37.49,458700,37.07
2012-11-20,36.78,37.12,36.71,37.00,420100,36.58
2012-11-19,36.92,37.10,36.46,36.91,673400,36.49
2012-11-16,36.31,36.43,35.15,36.32,874400,35.91
2012-11-15,35.44,36.37,34.91,36.31,1085300,35.90
2012-11-14,36.77,36.89,35.46,35.62,719800,35.22
2012-11-13,36.37,37.10,36.18,36.70,668900,36.29
2012-11-12,36.51,36.61,35.96,36.56,528200,36.15
2012-11-09,36.31,36.52,35.46,36.43,1020600,36.02
2012-11-08,37.37,37.61,36.22,36.57,631200,36.16
2012-11-07,38.01,38.04,36.82,37.28,722000,36.86
2012-11-06,38.40,39.15,38.15,38.75,478400,38.31
2012-11-05,38.44,38.47,37.98,38.11,805700,37.68
2012-11-02,39.63,39.93,38.53,38.53,673400,38.10
2012-11-01,37.92,39.49,37.57,39.15,944000,38.71
2012-10-31,37.79,38.17,37.50,37.94,660400,37.51
2012-10-26,37.96,38.35,37.22,37.66,874500,37.24
2012-10-25,37.94,38.07,36.95,38.00,1027700,37.57
2012-10-24,38.68,38.75,37.77,38.01,732800,37.58
2012-10-23,38.83,38.96,38.00,38.55,1043500,38.12
2012-10-22,39.55,40.28,39.07,39.21,1114000,38.77
2012-10-19,40.09,40.93,38.10,39.53,3142400,39.08
2012-10-18,35.58,36.32,35.40,35.98,1350300,35.57
2012-10-17,35.77,36.08,35.57,35.69,947000,35.29
2012-10-16,35.13,35.71,35.10,35.70,1557400,35.30
2012-10-15,35.38,35.43,34.87,35.20,663000,34.80
2012-10-12,35.86,36.16,34.99,35.18,585000,34.78
2012-10-11,36.35,36.61,35.87,35.89,542800,35.49
2012-10-10,36.07,36.16,35.67,35.91,681100,35.51
2012-10-09,36.45,36.57,35.82,36.02,581300,35.61
