Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,39.96,40.56,39.73,40.34,472700,40.34
2013-01-31,39.60,39.88,39.57,39.60,188800,39.60
2013-01-30,40.03,40.03,39.52,39.69,163000,39.69
2013-01-29,39.84,40.25,39.84,40.00,196600,40.00
2013-01-28,39.90,40.10,39.66,39.79,211300,39.79
2013-01-25,40.24,40.25,39.70,39.76,288400,39.76
2013-01-24,40.29,40.66,39.99,40.02,325500,40.02
2013-01-23,40.22,40.47,40.13,40.17,368200,40.17
2013-01-22,39.64,40.48,39.64,40.14,467100,40.14
2013-01-18,40.07,40.08,39.36,39.50,1918400,39.50
2013-01-17,40.13,40.43,39.57,40.08,534000,40.08
2013-01-16,39.30,39.51,39.16,39.17,235700,39.17
2013-01-15,39.12,39.52,39.04,39.31,352200,39.31
2013-01-14,38.62,39.87,38.55,39.32,491400,39.32
2013-01-11,39.25,39.25,38.70,38.91,485400,38.91
2013-01-10,39.59,39.59,39.10,39.10,398100,39.10
2013-01-09,39.16,39.71,38.85,39.26,729500,39.26
2013-01-08,39.19,39.23,38.33,38.35,541400,38.35
2013-01-07,40.39,40.48,39.13,39.14,472100,39.14
2013-01-04,40.53,40.78,40.27,40.55,322800,40.55
2013-01-03,40.38,40.90,40.31,40.39,358400,40.39
2013-01-02,40.44,40.74,40.26,40.51,457000,40.51
2012-12-31,39.80,39.94,39.27,39.69,335100,39.69
2012-12-28,39.91,40.19,39.73,39.87,201700,39.87
2012-12-27,40.79,40.87,39.45,40.01,331900,40.01
2012-12-26,40.54,41.02,40.48,40.69,206300,40.69
2012-12-24,40.81,40.81,40.03,40.41,266800,40.41
2012-12-21,41.27,42.29,40.60,40.60,1195200,40.60
2012-12-20,41.44,41.80,41.26,41.80,197100,41.80
2012-12-19,42.33,42.42,41.43,41.47,211000,41.47
2012-12-18,41.86,42.43,41.69,42.40,150700,42.40
2012-12-17,41.52,41.90,41.42,41.73,166300,41.73
2012-12-14,41.49,41.64,41.22,41.37,100800,41.37
2012-12-13,41.71,41.99,41.56,41.58,121500,41.58
2012-12-12,42.11,42.28,41.58,41.71,148900,41.71
2012-12-11,42.10,42.29,41.80,42.00,136200,42.00
2012-12-10,42.81,43.21,42.33,42.64,214800,42.03
2012-12-07,42.64,43.17,42.53,42.91,157200,42.29
2012-12-06,42.40,42.69,42.22,42.48,124400,41.87
2012-12-05,42.00,42.46,41.83,42.32,99700,41.71
2012-12-04,41.64,42.08,41.52,41.90,100500,41.30
2012-12-03,41.74,41.83,41.18,41.65,142000,41.05
2012-11-30,41.84,41.90,41.35,41.62,210500,41.02
2012-11-29,41.09,42.02,40.94,41.81,322200,41.21
2012-11-28,40.68,41.08,40.44,40.91,129900,40.32
2012-11-27,41.00,41.17,40.79,40.96,109600,40.37
2012-11-26,40.41,41.13,40.27,40.96,142000,40.37
2012-11-23,40.22,40.40,40.01,40.39,26000,39.81
2012-11-21,39.74,40.09,39.59,40.07,87900,39.49
2012-11-20,39.54,39.87,39.40,39.64,170900,39.07
2012-11-19,39.56,39.65,39.28,39.63,119400,39.06
2012-11-16,39.03,39.31,38.69,39.28,137500,38.72
2012-11-15,38.21,39.10,38.21,39.05,203400,38.49
2012-11-14,39.30,39.50,38.30,38.35,233600,37.80
2012-11-13,39.63,39.87,39.21,39.30,198000,38.74
2012-11-12,40.26,40.29,39.52,39.84,115100,39.27
2012-11-09,40.00,40.47,40.00,40.33,114800,39.75
2012-11-08,40.15,40.55,40.13,40.15,130500,39.57
2012-11-07,40.62,40.62,40.05,40.15,134400,39.57
2012-11-06,40.89,41.38,40.64,40.93,180200,40.34
2012-11-05,40.04,40.97,40.01,40.77,177700,40.18
2012-11-02,41.01,41.01,40.02,40.03,190000,39.45
2012-11-01,40.50,41.45,40.31,40.91,227400,40.32
2012-10-31,40.00,40.88,39.73,40.53,289600,39.95
2012-10-26,40.40,40.40,39.87,40.01,163100,39.43
2012-10-25,40.69,40.89,40.13,40.35,108400,39.77
2012-10-24,40.46,40.71,40.31,40.52,89600,39.94
2012-10-23,40.19,40.47,40.07,40.40,136300,39.82
2012-10-22,41.02,41.22,39.80,40.41,334200,39.83
2012-10-19,41.76,41.79,40.96,41.00,626900,40.41
2012-10-18,41.25,41.87,41.25,41.82,131400,41.22
2012-10-17,40.70,41.36,40.67,41.27,158600,40.68
2012-10-16,40.48,40.81,40.47,40.71,179900,40.12
2012-10-15,40.17,40.50,40.15,40.46,178700,39.88
2012-10-12,40.38,40.49,40.14,40.19,128900,39.61
2012-10-11,40.32,40.43,40.18,40.33,109900,39.75
2012-10-10,40.21,40.35,39.96,40.11,134600,39.53
2012-10-09,40.25,40.40,40.01,40.12,155900,39.54
