Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,6.32,6.46,6.31,6.37,149500,6.37
2013-01-31,6.30,6.37,6.21,6.27,305000,6.27
2013-01-30,6.40,6.41,6.25,6.33,248100,6.33
2013-01-29,6.34,6.46,6.33,6.43,153900,6.43
2013-01-28,6.38,6.39,6.33,6.36,186500,6.36
2013-01-25,6.38,6.42,6.32,6.39,289900,6.39
2013-01-24,6.30,6.36,6.27,6.34,121700,6.34
2013-01-23,6.32,6.32,6.23,6.27,92600,6.27
2013-01-22,6.24,6.36,6.24,6.31,193500,6.31
2013-01-18,6.46,6.55,6.23,6.26,338800,6.26
2013-01-17,6.30,6.49,6.24,6.45,311600,6.45
2013-01-16,6.20,6.32,6.20,6.26,205000,6.26
2013-01-15,6.12,6.26,6.11,6.24,428600,6.24
2013-01-14,6.05,6.18,6.05,6.17,201000,6.17
2013-01-11,6.12,6.16,6.05,6.05,160700,6.05
2013-01-10,6.07,6.10,6.00,6.09,188300,6.09
2013-01-09,6.03,6.07,6.00,6.06,188000,6.06
2013-01-08,5.98,6.03,5.94,6.00,355900,6.00
2013-01-07,6.05,6.10,5.91,6.00,213400,6.00
2013-01-04,6.02,6.07,5.92,6.05,246700,6.05
2013-01-03,5.97,6.00,5.84,5.99,205400,5.99
2013-01-02,5.94,5.97,5.78,5.94,456800,5.94
2012-12-31,5.78,5.83,5.65,5.78,273000,5.78
2012-12-28,5.76,5.85,5.73,5.76,196500,5.76
2012-12-27,5.66,5.82,5.64,5.80,157100,5.80
2012-12-26,5.86,5.86,5.58,5.64,256500,5.64
2012-12-24,5.82,5.94,5.82,5.87,85500,5.87
2012-12-21,5.85,5.93,5.69,5.85,765200,5.85
2012-12-20,5.88,5.95,5.79,5.89,354600,5.89
2012-12-19,5.82,5.96,5.78,5.89,591500,5.89
2012-12-18,5.48,5.86,5.48,5.83,624200,5.83
2012-12-17,5.30,5.52,5.29,5.48,390600,5.48
2012-12-14,5.27,5.34,5.21,5.29,293800,5.29
2012-12-13,5.30,5.35,5.25,5.27,195900,5.27
2012-12-12,5.35,5.39,5.26,5.31,928300,5.31
2012-12-11,5.33,5.39,5.27,5.33,358700,5.33
2012-12-10,5.42,5.46,5.26,5.29,585400,5.29
2012-12-07,5.52,5.55,5.43,5.44,108400,5.44
2012-12-06,5.52,5.58,5.45,5.49,153400,5.49
2012-12-05,5.65,5.65,5.48,5.51,186400,5.51
2012-12-04,5.56,5.63,5.54,5.63,165700,5.63
2012-12-03,5.61,5.61,5.51,5.57,103400,5.57
2012-11-30,5.61,5.63,5.49,5.56,258000,5.56
2012-11-29,5.53,5.59,5.50,5.59,305800,5.59
2012-11-28,5.52,5.53,5.38,5.47,263800,5.47
2012-11-27,5.63,5.65,5.49,5.53,264400,5.53
2012-11-26,5.62,5.66,5.57,5.62,279300,5.62
2012-11-23,5.58,5.66,5.54,5.62,122100,5.62
2012-11-21,5.56,5.59,5.45,5.55,229000,5.55
2012-11-20,5.54,5.62,5.50,5.53,262200,5.53
2012-11-19,5.64,5.65,5.53,5.57,322500,5.57
2012-11-16,5.71,5.75,5.54,5.60,547600,5.60
2012-11-15,5.71,5.77,5.68,5.75,273400,5.75
2012-11-14,5.79,5.85,5.68,5.72,389200,5.72
2012-11-13,5.71,5.83,5.71,5.77,420400,5.77
2012-11-12,5.73,5.83,5.68,5.75,331200,5.75
2012-11-09,5.57,5.79,5.50,5.69,351000,5.69
2012-11-08,5.53,5.66,5.45,5.60,479400,5.60
2012-11-07,5.63,5.63,5.47,5.55,394500,5.55
2012-11-06,5.75,5.83,5.65,5.72,371000,5.70
2012-11-05,5.80,5.86,5.70,5.81,410300,5.79
2012-11-02,5.45,5.86,5.30,5.82,1468900,5.80
2012-11-01,5.53,5.69,5.30,5.60,574400,5.58
2012-10-31,5.49,5.65,5.31,5.62,554300,5.60
2012-10-26,5.65,5.67,5.30,5.51,1307300,5.49
2012-10-25,5.77,5.79,5.60,5.67,843000,5.65
2012-10-24,5.88,5.90,5.60,5.71,821300,5.69
2012-10-23,5.95,5.99,5.83,5.88,612400,5.86
2012-10-22,6.18,6.20,5.93,6.03,1001000,6.01
2012-10-19,6.81,7.00,6.00,6.18,1797600,6.16
2012-10-18,7.97,8.03,7.78,7.79,234300,7.76
2012-10-17,7.90,8.00,7.87,8.00,105000,7.97
2012-10-16,7.71,7.88,7.67,7.88,133100,7.85
2012-10-15,7.67,7.72,7.59,7.67,84700,7.64
2012-10-12,7.83,7.88,7.64,7.64,108300,7.61
2012-10-11,7.92,7.96,7.82,7.82,64200,7.79
2012-10-10,7.90,7.93,7.79,7.87,123400,7.84
2012-10-09,8.16,8.17,7.91,7.91,142200,7.88
