Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,102.32,103.24,101.91,102.27,2000600,102.27
2013-01-31,101.49,102.98,101.00,101.35,2593100,101.35
2013-01-30,102.70,103.61,102.45,102.73,1716800,102.73
2013-01-29,102.74,103.34,102.14,102.90,2059900,102.90
2013-01-28,103.70,103.70,102.56,102.85,2228600,102.85
2013-01-25,103.96,104.09,103.00,103.45,2203400,103.45
2013-01-24,102.99,104.19,102.72,103.62,2818400,103.62
2013-01-23,102.03,103.50,101.99,103.08,2388600,103.08
2013-01-22,102.05,102.84,101.87,102.41,2501100,102.41
2013-01-18,101.57,102.47,101.07,102.47,2765300,102.47
2013-01-17,102.29,102.29,101.28,101.32,2715600,101.32
2013-01-16,101.39,102.29,101.39,101.90,3188500,101.90
2013-01-15,100.13,101.68,99.98,101.44,2812400,101.44
2013-01-14,100.37,100.99,99.99,100.59,2867300,100.59
2013-01-11,99.53,100.62,99.00,100.08,3067500,100.08
2013-01-10,100.05,100.06,98.57,99.47,3632200,99.47
2013-01-09,97.97,99.88,97.74,99.58,4865000,99.58
2013-01-08,99.34,99.99,98.04,98.50,7415400,98.50
2013-01-07,95.65,96.11,95.00,95.94,2307000,95.94
2013-01-04,95.56,96.69,95.18,96.11,2164300,96.11
2013-01-03,96.07,96.71,95.04,95.34,2262400,95.34
2013-01-02,95.55,96.38,95.23,96.15,3168900,96.15
2012-12-31,92.95,94.76,92.77,94.65,2326800,94.28
2012-12-28,93.38,94.09,93.00,93.08,1512900,92.71
2012-12-27,94.21,94.38,92.75,93.99,2806800,93.62
2012-12-26,93.00,94.43,92.70,94.10,2255500,93.73
2012-12-24,90.94,93.14,90.90,92.80,1053100,92.43
2012-12-21,91.71,92.86,91.69,92.55,3700000,92.18
2012-12-20,91.55,92.57,90.95,92.54,2500700,92.17
2012-12-19,92.00,92.50,91.67,91.68,2039600,91.32
2012-12-18,90.95,92.73,90.72,92.10,2947300,91.74
2012-12-17,89.64,90.76,89.45,90.67,1979500,90.31
2012-12-14,89.15,90.00,88.98,89.13,1819000,88.78
2012-12-13,90.01,90.61,89.09,89.50,1993400,89.15
2012-12-12,91.18,91.48,89.50,89.75,2676900,89.39
2012-12-11,90.56,91.21,90.29,91.07,2149400,90.71
2012-12-10,90.69,91.00,90.30,90.55,1576900,90.19
2012-12-07,90.38,91.14,90.07,90.69,2267200,90.33
2012-12-06,89.63,90.01,88.97,89.97,1757700,89.61
2012-12-05,89.32,90.25,88.90,89.60,1995300,89.25
2012-12-04,89.03,89.73,88.56,89.20,2739500,88.85
2012-12-03,91.98,92.49,89.02,89.43,2894600,89.08
2012-11-30,92.10,92.29,91.14,91.59,2254100,91.23
2012-11-29,91.83,93.00,91.47,92.08,2449100,91.72
2012-11-28,90.04,91.46,89.11,91.31,2393300,90.95
2012-11-27,91.33,91.98,90.75,90.81,2564000,90.45
2012-11-26,90.46,91.31,89.87,91.19,2638800,90.83
2012-11-23,89.50,90.72,89.36,90.58,1133000,90.22
2012-11-21,89.18,89.92,88.47,89.39,2094200,89.04
2012-11-20,88.25,89.35,88.06,89.23,2787300,88.88
2012-11-19,86.56,88.50,86.44,88.33,3505100,87.98
2012-11-16,84.98,85.77,84.36,85.23,3101600,84.89
2012-11-15,83.78,85.43,82.70,84.66,3786100,84.32
2012-11-14,84.99,85.42,83.61,83.84,3058900,83.51
2012-11-13,85.29,86.46,84.32,85.19,3085600,84.85
2012-11-12,86.76,87.54,85.50,85.60,1140600,85.26
