Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,58.90,59.20,58.50,58.87,1324200,58.87
2013-01-31,58.62,58.94,58.36,58.39,1633300,58.39
2013-01-30,58.93,59.09,58.63,58.69,995000,58.69
2013-01-29,59.03,59.03,58.39,58.94,994300,58.94
2013-01-28,58.71,59.24,58.69,59.01,1181900,59.01
2013-01-25,58.81,58.90,58.37,58.60,1714900,58.60
2013-01-24,58.42,59.48,58.42,58.80,2434500,58.80
2013-01-23,58.11,58.75,55.97,58.54,6798900,58.54
2013-01-22,58.90,59.00,57.81,58.29,2416000,58.29
2013-01-18,58.28,59.25,58.28,59.01,3151200,59.01
2013-01-17,58.11,58.16,57.70,58.04,1295000,58.04
2013-01-16,57.35,58.02,57.10,57.95,2037300,57.95
2013-01-15,57.44,57.72,57.11,57.53,985000,57.53
2013-01-14,57.38,57.75,57.36,57.67,1198400,57.67
2013-01-11,57.02,57.63,56.75,57.50,1307100,57.50
2013-01-10,56.45,56.81,56.25,56.78,1260500,56.78
2013-01-09,56.06,56.27,55.98,56.25,691600,56.25
2013-01-08,56.49,56.50,55.67,55.94,1167800,55.94
2013-01-07,56.03,56.71,55.90,56.58,1981600,56.58
2013-01-04,56.01,56.49,55.95,56.28,1140000,56.28
2013-01-03,56.24,56.85,55.83,56.01,1206600,56.01
2013-01-02,56.14,56.65,55.63,56.20,2246200,56.20
2012-12-31,53.93,55.77,53.85,55.68,2133800,55.68
2012-12-28,54.38,54.67,54.06,54.08,1207300,54.08
2012-12-27,54.22,55.00,54.14,54.88,1478800,54.88
2012-12-26,54.72,54.87,54.01,54.34,777000,54.34
2012-12-24,54.08,54.78,54.08,54.78,604900,54.78
2012-12-21,54.68,54.71,54.02,54.58,2525400,54.58
2012-12-20,54.34,54.94,54.15,54.87,1146400,54.87
2012-12-19,54.78,54.82,54.31,54.33,1111200,54.33
2012-12-18,54.29,54.95,54.26,54.87,1089000,54.87
2012-12-17,54.06,54.68,53.90,54.28,1927500,54.28
2012-12-14,54.00,54.35,53.78,54.05,1049400,54.05
2012-12-13,54.42,54.78,54.13,54.25,937900,54.25
