Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,65.28,65.53,64.80,65.13,2726800,65.13
2013-01-31,66.00,66.14,64.95,65.04,3073700,65.04
2013-01-30,66.53,67.25,66.12,66.34,2919900,66.34
2013-01-29,66.68,67.28,66.29,66.77,2858700,66.77
2013-01-28,67.89,67.89,66.26,66.57,2469000,66.57
2013-01-25,68.35,68.35,67.60,67.74,1736000,67.74
2013-01-24,68.79,68.90,68.09,68.23,1862500,68.23
2013-01-23,67.43,68.87,67.00,68.71,2218200,68.71
2013-01-22,67.46,68.59,67.35,68.35,2044700,68.35
2013-01-18,67.39,67.61,66.77,67.49,1868200,67.49
2013-01-17,66.95,67.52,66.76,67.14,2153500,67.14
2013-01-16,67.07,67.15,66.60,66.85,1748700,66.85
2013-01-15,66.83,67.65,66.76,67.48,1756500,67.48
2013-01-14,67.10,67.62,66.80,67.22,1251100,67.22
2013-01-11,67.43,67.60,66.85,67.07,2112400,67.07
2013-01-10,67.39,67.64,67.14,67.40,1842600,67.40
2013-01-09,67.41,67.80,67.01,67.04,1897300,67.04
2013-01-08,68.02,68.64,66.99,67.34,1739400,67.34
2013-01-07,69.09,69.61,68.04,68.67,1547000,68.67
2013-01-04,68.23,68.79,67.78,68.76,1292700,68.76
2013-01-03,68.33,68.71,67.84,67.94,1855400,67.94
2013-01-02,68.79,68.98,67.54,68.17,2154000,68.17
2012-12-31,66.51,67.71,65.87,67.58,1682200,67.58
2012-12-28,67.19,67.70,66.69,66.76,1318600,66.76
2012-12-27,68.09,68.31,67.04,67.74,1285700,67.74
2012-12-26,68.70,68.98,67.93,68.02,1159500,68.02
2012-12-24,68.39,68.93,68.15,68.69,988400,68.69
2012-12-21,68.08,68.91,68.08,68.63,2574500,68.63
2012-12-20,68.50,69.11,68.44,69.00,1355600,69.00
2012-12-19,68.43,69.17,68.04,68.70,1156900,68.70
2012-12-18,67.13,68.54,67.13,68.51,1604200,68.51
2012-12-17,67.04,67.61,66.74,67.13,1873200,67.13
2012-12-14,67.18,67.36,66.39,66.80,1545500,66.80
2012-12-13,68.21,68.36,67.31,67.37,1457900,67.37
2012-12-12,68.19,68.96,67.98,68.15,1223800,68.15
2012-12-11,68.31,68.91,67.89,67.95,1590900,67.95
2012-12-10,67.30,68.24,67.04,68.04,1185500,68.04
2012-12-07,67.36,67.70,66.87,67.53,1063600,67.53
2012-12-06,66.69,67.27,66.28,67.27,1976200,67.27
2012-12-05,66.58,67.15,65.83,66.76,1778400,66.76
2012-12-04,65.78,66.78,65.50,66.65,1892600,66.65
2012-12-03,66.92,67.03,65.77,65.79,1384200,65.79
2012-11-30,67.29,67.29,66.43,66.70,1882800,66.70
2012-11-29,66.24,66.82,66.01,66.65,1331900,66.65
2012-11-28,65.17,66.13,64.82,66.06,1317900,66.06
2012-11-27,65.03,65.93,64.85,65.33,1569800,65.33
2012-11-26,65.04,65.35,64.71,64.99,1760000,64.99
2012-11-23,65.11,65.41,64.91,65.36,766400,65.36
2012-11-21,64.98,65.02,64.48,64.93,1510500,64.93
2012-11-20,64.64,65.16,64.31,65.08,1507800,64.53
2012-11-19,64.22,64.73,64.02,64.72,1450100,64.17
2012-11-16,63.52,63.88,62.80,63.57,2587500,63.03
2012-11-15,63.47,63.71,63.08,63.23,2139600,62.70
2012-11-14,65.29,65.69,63.41,63.59,1639000,63.05
2012-11-13,65.14,65.93,64.98,65.37,1668100,64.82
2012-11-12,65.60,65.96,64.64,65.40,1686200,64.85
2012-11-09,65.29,66.18,64.65,65.60,2043300,65.05
2012-11-08,66.49,66.83,65.41,65.42,2510100,64.87
2012-11-07,68.96,68.96,65.55,66.70,3622100,66.14
2012-11-06,69.02,70.84,68.93,69.88,2647600,69.29
2012-11-05,68.58,69.14,68.10,68.96,1243500,68.38
2012-11-02,69.32,69.71,68.91,68.98,1463400,68.40
2012-11-01,68.83,69.65,68.35,68.92,1709100,68.34
2012-10-31,68.32,69.82,67.88,68.69,1956200,68.11
2012-10-26,69.05,69.69,67.93,68.02,2450500,67.45
2012-10-25,70.00,70.26,68.42,69.04,1448800,68.46
2012-10-24,70.26,70.99,68.88,69.33,1810500,68.74
2012-10-23,69.71,69.99,68.94,69.66,1189000,69.07
2012-10-22,70.26,70.43,69.61,70.20,966200,69.61
2012-10-19,70.65,70.73,69.91,70.27,1285500,69.68
2012-10-18,70.49,71.25,70.32,71.13,822800,70.53
2012-10-17,70.49,70.79,70.10,70.60,1028100,70.00
2012-10-16,69.63,70.58,69.61,70.36,1101100,69.77
2012-10-15,68.81,69.54,68.81,69.46,883800,68.87
2012-10-12,68.72,69.39,68.49,68.82,924800,68.24
2012-10-11,68.68,69.23,68.57,68.64,770700,68.06
2012-10-10,69.01,69.01,68.06,68.21,1378200,67.63
2012-10-09,69.11,69.56,68.69,69.00,1268700,68.42
2012-10-08,69.24,69.56,68.96,69.09,1348300,68.51
2012-10-05,69.23,69.80,68.99,69.41,1622700,68.82
2012-10-04,68.30,68.93,68.19,68.79,2454100,68.21
2012-10-03,67.95,68.25,67.62,68.08,1594400,67.50
2012-10-02,67.80,67.91,67.06,67.86,1516700,67.29
2012-10-01,66.60,67.96,66.40,67.58,1987100,67.01
2012-09-28,66.20,66.65,65.58,66.43,1107700,65.87
2012-09-27,66.56,66.70,65.97,66.47,942900,65.91
2012-09-26,65.84,66.49,65.82,66.19,1441300,65.63
2012-09-25,66.74,66.79,65.66,65.79,1541900,65.23
2012-09-24,66.50,66.81,65.75,66.56,1382900,66.00
2012-09-21,66.90,67.26,66.80,66.89,2174500,66.32
2012-09-20,66.67,67.00,66.27,66.94,1455100,66.37
2012-09-19,66.89,67.06,66.14,66.90,1926300,66.33
2012-09-18,66.39,66.89,66.06,66.89,1615000,66.32
