Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,73.85,74.70,73.52,74.08,16000,74.08
2013-01-31,73.48,74.00,73.11,73.35,26600,73.35
2013-01-30,74.43,74.43,73.39,73.58,29600,73.58
2013-01-29,73.16,74.21,73.01,74.19,19100,74.19
2013-01-28,72.93,73.65,72.20,72.99,30000,72.99
2013-01-25,73.48,73.49,72.72,73.37,23800,73.37
2013-01-24,73.00,73.68,72.75,73.42,8100,73.42
2013-01-23,72.44,73.28,71.91,72.82,20800,72.82
2013-01-22,72.05,72.47,71.37,72.25,33800,72.25
2013-01-18,72.19,72.67,71.01,72.40,28300,72.40
2013-01-17,71.08,72.59,70.82,72.01,17500,72.01
2013-01-16,70.31,72.11,70.06,70.79,29500,70.79
2013-01-15,70.05,71.18,69.91,71.18,19600,71.18
2013-01-14,69.85,70.28,69.82,70.19,14900,70.19
2013-01-11,69.61,70.00,69.00,69.89,21500,69.89
2013-01-10,70.00,70.00,69.00,69.33,11100,69.33
2013-01-09,69.76,70.46,69.33,69.74,19200,69.74
2013-01-08,69.60,70.42,69.11,69.97,39100,69.97
2013-01-07,69.99,70.48,68.64,69.41,44400,69.41
2013-01-04,71.05,71.35,70.29,70.69,13800,70.69
2013-01-03,71.97,72.72,70.47,70.58,22900,70.58
2013-01-02,69.84,71.66,69.70,71.40,42500,71.40
2012-12-31,67.80,69.29,67.33,69.10,47100,69.10
2012-12-28,69.52,69.52,67.68,67.85,28800,67.85
2012-12-27,68.64,69.03,67.70,68.83,34700,68.83
2012-12-26,69.58,69.85,68.53,68.78,33500,68.78
2012-12-24,69.12,71.02,68.60,70.12,30700,70.12
2012-12-21,68.64,70.04,67.51,69.67,103500,69.67
2012-12-20,70.17,70.48,68.07,68.99,49400,68.99
2012-12-19,72.49,72.49,70.13,70.14,28200,70.14
2012-12-18,72.34,72.79,72.12,72.51,17700,72.51
2012-12-17,72.19,72.42,71.79,72.34,23100,72.34
2012-12-14,71.14,72.64,71.12,72.17,33900,72.17
2012-12-13,71.80,72.68,70.93,71.65,31800,71.65
2012-12-12,80.00,80.83,78.03,78.03,36700,71.53
2012-12-11,78.25,79.55,77.72,78.86,29300,72.29
2012-12-10,78.64,79.11,77.77,78.29,27000,71.77
2012-12-07,77.68,77.79,77.20,77.50,27000,71.04
2012-12-06,76.77,77.67,76.77,77.66,29100,71.19
2012-12-05,77.42,77.89,76.10,77.17,30700,70.74
2012-12-04,77.01,77.55,76.48,77.30,28300,70.86
2012-12-03,77.40,78.46,76.50,77.18,42100,70.75
2012-11-30,75.98,76.99,75.41,76.76,47500,70.37
2012-11-29,74.23,76.16,73.90,75.67,35200,69.37
2012-11-28,72.87,73.71,72.02,73.65,26500,67.51
2012-11-27,73.22,74.64,72.35,73.44,22600,67.32
2012-11-26,73.15,73.94,72.00,73.22,21200,67.12
2012-11-23,74.24,74.25,72.60,73.15,6900,67.06
2012-11-21,74.21,74.33,73.30,73.91,11400,67.75
2012-11-20,73.09,74.97,72.87,73.82,27000,67.67
2012-11-19,72.30,73.61,72.20,73.47,27600,67.35
2012-11-16,71.24,72.30,71.09,71.88,22700,65.89
2012-11-15,70.21,72.27,70.21,71.68,23800,65.71
2012-11-14,71.55,72.04,70.29,70.51,24600,64.64
2012-11-13,71.56,72.72,71.50,71.64,12100,65.67
2012-11-12,73.44,73.63,71.46,72.16,9400,66.15
2012-11-09,71.89,74.02,71.52,73.43,38400,67.31
2012-11-08,74.85,74.85,71.96,72.30,19000,66.28
2012-11-07,75.41,75.94,73.76,73.76,33300,67.62
2012-11-06,76.66,77.48,75.71,76.30,12700,69.94
2012-11-05,75.24,77.72,75.11,75.81,19700,69.49
2012-11-02,76.48,76.95,74.01,74.95,15600,68.71
2012-11-01,74.23,76.98,73.90,76.88,23400,70.48
2012-10-31,73.48,74.91,73.48,74.35,13900,68.16
2012-10-26,73.54,74.50,73.10,74.50,10200,68.29
2012-10-25,74.05,75.09,73.23,73.60,11800,67.47
2012-10-24,74.60,74.60,73.11,74.04,37300,67.87
2012-10-23,77.62,77.62,74.21,74.58,44300,68.37
2012-10-22,80.40,80.40,77.11,77.62,29200,71.15
2012-10-19,80.58,80.58,78.95,80.02,25100,73.35
2012-10-18,81.70,82.06,80.70,81.25,23700,74.48
2012-10-17,81.03,82.16,80.65,82.00,19900,75.17
2012-10-16,80.52,81.26,79.98,80.79,20800,74.06
2012-10-15,82.65,82.65,79.81,80.53,28300,73.82
2012-10-12,82.18,82.60,80.36,80.69,14000,73.97
2012-10-11,83.37,83.55,81.48,81.72,14600,74.91
2012-10-10,82.11,82.11,80.90,82.00,21500,75.17
2012-10-09,81.00,81.44,79.85,81.37,25300,74.59
2012-10-08,78.74,81.08,78.74,80.71,35000,73.99
2012-10-05,78.01,78.96,76.51,77.00,19600,70.59
2012-10-04,76.39,78.28,75.19,78.01,18000,71.51
2012-10-03,75.03,76.75,73.85,76.24,17600,69.89
2012-10-02,75.00,75.05,73.46,74.70,12500,68.48
2012-10-01,73.00,74.88,73.00,74.61,14400,68.39
2012-09-28,74.27,74.28,72.68,72.88,20800,66.81
2012-09-27,76.17,77.00,74.13,74.52,27100,68.31
2012-09-26,74.74,76.34,73.82,75.90,16500,69.58
2012-09-25,75.61,76.98,74.36,74.79,23400,68.56
2012-09-24,74.97,75.90,74.44,75.13,31700,68.87
2012-09-21,73.94,75.29,73.20,74.97,38400,68.72
2012-09-20,72.81,73.12,71.99,72.76,19000,66.70
2012-09-19,72.89,73.71,72.22,72.98,55300,66.90
2012-09-18,72.50,73.70,71.90,72.93,33700,66.85
2012-09-17,72.75,73.61,72.05,72.40,20900,66.37
2012-09-14,73.27,74.15,72.49,72.74,28600,66.68
2012-09-13,73.09,73.95,72.02,73.00,20000,66.92
2012-09-12,73.22,73.22,72.23,72.67,11400,66.62
2012-09-11,73.93,75.26,72.82,73.26,20200,67.16
2012-09-10,72.52,74.00,72.52,73.59,29600,67.46
2012-09-07,75.21,77.38,73.69,74.00,46400,67.84
2012-09-06,71.98,74.85,71.98,74.85,68100,68.61
2012-09-05,72.57,73.84,71.00,72.00,32100,66.00
2012-09-04,73.09,73.12,70.28,72.24,35800,66.22
