Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,37.15,37.74,37.02,37.58,256000,37.58
2013-01-31,36.73,37.03,36.67,36.99,227000,36.99
2013-01-30,36.72,36.85,36.61,36.72,79200,36.72
2013-01-29,36.54,36.92,36.53,36.81,155300,36.81
2013-01-28,36.62,36.79,36.39,36.55,151800,36.55
2013-01-25,36.63,36.69,36.30,36.67,118100,36.67
2013-01-24,36.57,36.73,36.36,36.58,183400,36.58
2013-01-23,36.22,36.55,35.92,36.45,145500,36.45
2013-01-22,35.83,36.37,35.83,36.31,132400,36.31
2013-01-18,35.95,35.98,35.69,35.87,123700,35.87
2013-01-17,35.67,36.00,35.63,35.85,79300,35.85
2013-01-16,35.66,35.77,35.53,35.60,123700,35.60
2013-01-15,35.68,35.88,35.59,35.82,120700,35.82
2013-01-14,35.68,35.88,35.67,35.79,111000,35.79
2013-01-11,35.66,35.76,35.55,35.75,148900,35.75
2013-01-10,35.39,35.60,35.29,35.60,166900,35.60
2013-01-09,35.49,35.49,35.25,35.32,131200,35.32
2013-01-08,35.32,35.48,35.16,35.34,119800,35.34
2013-01-07,35.60,35.60,35.26,35.28,75300,35.28
2013-01-04,35.78,35.86,35.60,35.79,132400,35.79
2013-01-03,35.76,35.97,35.54,35.61,182500,35.61
2013-01-02,35.30,35.80,35.06,35.78,282400,35.78
2012-12-31,34.26,34.76,33.98,34.73,213900,34.73
2012-12-28,34.50,34.74,34.22,34.22,129600,34.22
2012-12-27,34.69,34.81,34.32,34.64,137500,34.64
2012-12-26,35.25,35.27,34.72,34.77,94000,34.77
2012-12-24,35.58,35.58,35.00,35.21,79000,35.21
2012-12-21,35.17,35.73,35.07,35.73,633300,35.73
2012-12-20,35.14,35.44,35.01,35.31,132100,35.31
2012-12-19,35.49,35.53,35.01,35.10,148500,35.10
2012-12-18,35.09,35.53,34.93,35.53,150100,35.53
2012-12-17,34.46,35.13,34.43,35.13,160500,35.13
2012-12-14,34.36,34.56,34.20,34.47,91000,34.47
2012-12-13,34.79,34.83,34.32,34.46,68200,34.46
2012-12-12,35.09,35.18,34.67,34.69,43400,34.69
2012-12-11,35.29,35.38,35.06,35.34,187900,34.97
2012-12-10,34.97,35.23,34.92,35.18,109000,34.81
2012-12-07,35.03,35.09,34.90,35.03,125700,34.66
2012-12-06,35.10,35.38,34.83,34.99,102200,34.62
2012-12-05,34.50,35.29,34.37,35.04,203600,34.67
2012-12-04,34.41,34.59,34.26,34.46,131100,34.10
2012-12-03,34.73,34.89,34.19,34.42,191300,34.06
2012-11-30,34.35,34.69,34.24,34.69,412500,34.33
2012-11-29,34.54,34.68,34.08,34.39,272000,34.03
2012-11-28,33.75,34.36,33.62,34.36,338800,34.00
2012-11-27,34.00,34.09,33.69,33.75,291000,33.40
2012-11-26,33.75,34.32,33.70,33.92,159500,33.56
2012-11-23,33.86,34.00,33.50,33.70,72300,33.35
2012-11-21,33.86,34.49,33.41,33.72,136400,33.37
2012-11-20,33.95,33.98,33.71,33.84,253700,33.49
2012-11-19,34.04,34.11,33.79,33.94,251200,33.58
2012-11-16,33.32,33.77,32.98,33.76,172600,33.41
2012-11-15,33.97,34.19,33.31,33.43,216100,33.08
2012-11-14,34.36,34.36,33.84,34.01,219600,33.65
2012-11-13,33.95,34.40,33.82,34.23,169100,33.87
2012-11-12,34.26,34.54,34.05,34.08,159600,33.72
2012-11-09,34.15,34.32,33.97,34.30,212700,33.94
2012-11-08,34.15,34.38,34.06,34.12,186600,33.76
2012-11-07,34.86,34.86,34.06,34.08,126000,33.72
2012-11-06,34.95,35.21,34.86,35.13,106100,34.76
2012-11-05,35.17,35.17,34.71,34.81,102300,34.45
2012-11-02,36.09,36.09,35.10,35.14,155500,34.77
2012-11-01,35.95,36.00,35.59,35.72,129400,35.35
2012-10-31,35.44,35.81,35.32,35.81,157400,35.44
2012-10-26,35.28,35.46,35.12,35.33,191200,34.96
2012-10-25,35.19,35.34,34.91,35.33,431100,34.96
2012-10-24,35.49,35.81,35.01,35.14,220700,34.77
2012-10-23,35.67,35.71,35.28,35.60,305000,35.23
2012-10-22,35.99,36.08,35.52,35.70,419300,35.33
2012-10-19,36.37,36.70,35.99,36.12,613300,35.74
2012-10-18,36.49,36.60,36.33,36.60,186500,36.22
2012-10-17,36.30,36.50,36.14,36.50,254800,36.12
2012-10-16,36.04,36.33,36.02,36.18,112100,35.80
2012-10-15,35.41,36.02,35.24,35.99,289000,35.61
2012-10-12,35.55,35.63,35.38,35.46,174400,35.09
2012-10-11,35.79,35.93,35.50,35.58,201400,35.21
2012-10-10,35.72,35.78,35.33,35.65,297100,35.28
2012-10-09,35.70,36.03,35.70,35.72,150600,35.35
2012-10-08,35.83,35.90,35.55,35.79,140300,35.42
2012-10-05,35.69,36.07,35.53,35.91,248100,35.53
2012-10-04,35.34,35.63,35.16,35.63,319200,35.26
2012-10-03,35.45,35.55,35.21,35.31,210700,34.94
2012-10-02,36.01,36.06,35.23,35.40,420600,35.03
2012-10-01,36.29,36.38,35.82,35.87,224700,35.49
2012-09-28,35.92,36.27,35.73,36.23,350200,35.85
2012-09-27,36.31,36.74,35.92,36.06,765900,35.68
2012-09-26,37.24,37.65,37.14,37.41,226900,37.02
2012-09-25,37.38,37.50,37.03,37.20,263100,36.81
2012-09-24,36.91,37.41,36.83,37.26,173000,36.87
2012-09-21,36.81,37.00,36.72,36.94,451700,36.55
2012-09-20,36.29,36.68,36.26,36.64,109000,36.26
2012-09-19,36.42,36.55,36.31,36.37,187700,35.99
2012-09-18,36.16,36.44,36.15,36.34,193700,35.96
2012-09-17,36.15,36.48,36.13,36.32,182400,35.94
2012-09-14,35.64,36.41,35.46,36.29,742300,35.91
2012-09-13,35.56,35.76,35.44,35.67,357200,35.30
2012-09-12,36.05,36.05,35.44,35.53,213300,35.16
2012-09-11,36.68,36.68,36.25,36.37,155200,35.62
2012-09-10,36.51,36.74,36.44,36.60,156400,35.85
2012-09-07,36.82,36.89,36.36,36.47,191500,35.72
2012-09-06,36.46,36.84,36.33,36.62,230300,35.87
2012-09-05,36.81,36.81,36.37,36.39,504900,35.64
2012-09-04,35.81,36.73,35.81,36.62,297400,35.87
2012-08-31,36.86,36.95,36.45,36.60,163600,35.85
2012-08-30,36.52,36.72,36.40,36.67,136500,35.92
2012-08-29,36.30,36.97,36.30,36.60,217400,35.85
2012-08-28,36.28,36.35,36.10,36.34,153200,35.59
2012-08-27,36.16,36.36,36.00,36.23,87300,35.49
2012-08-24,35.90,36.12,35.88,36.10,125100,35.36
2012-08-23,36.29,36.29,35.80,35.84,88400,35.10
2012-08-22,36.36,36.43,36.15,36.22,204600,35.48
2012-08-21,36.51,36.81,36.35,36.37,139400,35.62
2012-08-20,36.46,36.53,36.25,36.53,113700,35.78
2012-08-17,36.05,36.49,36.02,36.49,201100,35.74
2012-08-16,36.50,36.52,35.91,36.15,321400,35.41
2012-08-15,35.96,36.06,35.75,35.85,135600,35.11
2012-08-14,35.98,36.00,35.81,35.89,156200,35.15
2012-08-13,36.02,36.02,35.66,35.89,117300,35.15
2012-08-10,36.20,36.20,35.78,36.01,160400,35.27
2012-08-09,36.40,36.43,36.15,36.19,121800,35.45
2012-08-08,36.36,36.53,36.19,36.39,162300,35.64
2012-08-07,36.68,36.82,36.30,36.33,184100,35.58
2012-08-06,36.69,36.73,36.50,36.55,145300,35.80
2012-08-03,36.48,36.72,36.32,36.58,221800,35.83
2012-08-02,36.16,36.52,35.89,36.16,200300,35.42
2012-08-01,37.00,37.35,36.32,36.32,250700,35.57
2012-07-31,37.13,37.29,36.89,36.93,291900,36.17
2012-07-30,36.88,37.34,36.88,37.24,193500,36.48
2012-07-27,36.73,37.09,36.67,36.94,208400,36.18
2012-07-26,36.50,36.64,36.35,36.54,190400,35.79
2012-07-25,36.48,36.68,36.08,36.14,204100,35.40
2012-07-24,37.52,37.71,36.48,36.50,325400,35.75
2012-07-23,37.29,37.56,37.22,37.22,177300,36.46
2012-07-20,37.49,37.80,37.49,37.61,147100,36.84
2012-07-19,37.90,37.90,37.44,37.65,67900,36.88
2012-07-18,37.67,37.88,37.53,37.73,96700,36.96
2012-07-17,37.63,37.77,37.39,37.67,126700,36.90
2012-07-16,37.80,37.80,37.49,37.53,95100,36.76
2012-07-13,37.43,37.96,37.41,37.79,147900,37.01
2012-07-12,37.25,37.48,37.09,37.45,130800,36.68
2012-07-11,37.40,37.54,37.10,37.31,128000,36.54
2012-07-10,37.60,37.86,37.29,37.34,134000,36.57
2012-07-09,37.25,37.50,37.12,37.46,255400,36.69
2012-07-06,36.92,37.38,36.92,37.29,161000,36.52
2012-07-05,37.20,37.34,37.09,37.18,138400,36.42
2012-07-03,37.20,37.29,37.06,37.27,72800,36.50
2012-07-02,36.73,37.52,36.73,37.20,430700,36.44
2012-06-29,37.02,37.05,36.56,36.70,185400,35.95
2012-06-28,36.30,36.62,36.12,36.62,158700,35.87
2012-06-27,36.18,36.48,35.75,36.46,430300,35.71
2012-06-26,35.85,36.09,35.85,35.98,284300,35.24
2012-06-25,35.61,36.01,35.51,35.89,236800,35.15
2012-06-22,35.87,35.97,35.78,35.92,241800,35.18
2012-06-21,35.77,35.89,35.55,35.69,242100,34.96
2012-06-20,35.90,35.99,35.67,35.76,152200,35.03
2012-06-19,36.15,36.21,35.93,35.98,200300,35.24
2012-06-18,35.65,36.00,35.65,35.96,136500,35.22
2012-06-15,35.95,36.04,35.79,35.80,314900,35.06
2012-06-14,35.87,35.99,35.75,35.93,129800,35.19
2012-06-13,35.60,35.98,35.36,35.73,257600,35.00
2012-06-12,36.04,36.04,35.63,35.92,221400,34.82
2012-06-11,36.22,36.27,35.90,35.92,310800,34.82
2012-06-08,35.86,36.01,35.74,36.00,231100,34.90
2012-06-07,36.24,36.24,35.89,35.95,295100,34.85
2012-06-06,35.94,36.05,35.80,36.00,254800,34.90
2012-06-05,35.29,35.84,35.27,35.83,165400,34.73
2012-06-04,35.34,35.50,35.21,35.50,203100,34.41
2012-06-01,35.09,35.60,34.80,35.34,224300,34.26
2012-05-31,35.17,35.70,35.04,35.51,305600,34.42
2012-05-30,35.07,35.44,35.02,35.05,155500,33.98
2012-05-29,35.27,35.33,34.94,35.29,116500,34.21
2012-05-25,35.07,35.18,34.72,35.02,98500,33.95
2012-05-24,34.77,35.00,34.56,35.00,108100,33.93
2012-05-23,34.89,35.07,34.52,34.72,164000,33.66
2012-05-22,35.08,35.22,34.90,34.99,181000,33.92
2012-05-21,34.92,35.47,34.62,35.01,155500,33.94
2012-05-18,34.87,35.08,34.69,34.79,142400,33.72
2012-05-17,35.32,35.49,34.85,34.98,185800,33.91
2012-05-16,35.15,35.45,35.09,35.31,204200,34.23
2012-05-15,35.21,35.31,34.90,35.12,227000,34.04
2012-05-14,35.00,35.33,34.84,35.13,235000,34.05
2012-05-11,34.85,35.23,34.84,35.22,274000,34.14
2012-05-10,34.95,35.14,34.73,35.05,180700,33.98
2012-05-09,34.65,34.87,34.50,34.76,194300,33.70
2012-05-08,34.52,35.07,34.52,34.94,277600,33.87
2012-05-07,34.80,34.86,34.47,34.69,231000,33.63
2012-05-04,34.70,34.95,34.53,34.80,212400,33.73
2012-05-03,35.22,35.36,34.73,34.84,204000,33.77
2012-05-02,35.30,35.30,35.06,35.29,184000,34.21
2012-05-01,35.48,35.85,35.37,35.40,231100,34.32
2012-04-30,35.41,35.54,35.13,35.52,149000,34.43
