Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,25.71,25.95,25.60,25.87,1192900,25.87
2013-01-31,25.43,25.62,25.29,25.56,1034900,25.56
2013-01-30,25.95,26.02,25.47,25.52,1202800,25.52
2013-01-29,26.03,26.27,25.89,25.94,1351600,25.94
2013-01-28,26.17,26.49,26.12,26.42,1121900,25.97
2013-01-25,25.99,26.09,25.88,26.09,786900,25.65
2013-01-24,25.85,26.00,25.75,25.90,809900,25.46
2013-01-23,25.85,25.91,25.71,25.75,1244400,25.31
2013-01-22,25.52,25.89,25.43,25.85,1617400,25.41
2013-01-18,25.23,25.51,25.06,25.47,2328200,25.04
2013-01-17,24.93,25.25,24.90,25.18,1137000,24.75
2013-01-16,24.82,24.87,24.73,24.80,876800,24.38
2013-01-15,24.77,24.90,24.72,24.82,918800,24.40
2013-01-14,24.80,24.99,24.72,24.78,737200,24.36
2013-01-11,24.75,24.77,24.58,24.75,692100,24.33
2013-01-10,24.87,24.91,24.66,24.71,699400,24.29
2013-01-09,24.83,24.87,24.62,24.74,744800,24.32
2013-01-08,24.71,24.75,24.56,24.72,579600,24.30
2013-01-07,24.65,24.81,24.59,24.67,798200,24.25
2013-01-04,24.59,24.69,24.37,24.66,868000,24.24
2013-01-03,24.36,24.55,24.22,24.48,960200,24.06
2013-01-02,24.59,24.59,24.13,24.30,1440300,23.89
2012-12-31,23.53,23.93,23.41,23.85,993500,23.44
2012-12-28,23.67,23.82,23.51,23.59,1069900,23.19
2012-12-27,23.79,23.85,23.56,23.80,942500,23.39
2012-12-26,23.62,23.80,23.50,23.70,865800,23.30
2012-12-24,23.55,23.64,23.44,23.62,596300,23.22
2012-12-21,23.21,23.68,23.21,23.60,3541800,23.20
2012-12-20,22.96,23.44,22.92,23.33,1325000,22.93
2012-12-19,22.89,23.13,22.80,22.90,1240300,22.51
2012-12-18,22.80,22.87,22.61,22.81,2140200,22.42
2012-12-17,22.79,22.95,22.65,22.81,1120400,22.42
2012-12-14,23.08,23.08,22.63,22.75,622200,22.36
2012-12-13,23.00,23.07,22.70,22.83,609500,22.44
2012-12-12,23.31,23.40,22.96,23.00,780400,22.61
2012-12-11,23.35,23.44,23.25,23.32,655900,22.92
2012-12-10,23.23,23.48,23.18,23.30,743100,22.90
2012-12-07,23.16,23.23,23.00,23.18,544800,22.79
2012-12-06,22.92,23.12,22.92,23.10,572200,22.71
2012-12-05,23.11,23.13,22.80,22.96,791300,22.57
2012-12-04,22.98,23.17,22.96,23.07,860300,22.68
2012-12-03,22.95,23.04,22.81,23.03,1165500,22.64
2012-11-30,22.84,22.93,22.72,22.92,1239000,22.53
