Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,10.82,10.85,10.69,10.77,1345300,10.77
2013-01-31,10.50,10.82,10.46,10.78,1226000,10.78
2013-01-30,10.77,10.78,10.50,10.51,841700,10.51
2013-01-29,10.95,10.97,10.62,10.76,931300,10.76
2013-01-28,10.63,10.99,10.62,10.92,1198300,10.92
2013-01-25,10.75,10.81,10.47,10.61,1042600,10.61
2013-01-24,10.62,11.17,10.62,10.75,1670500,10.75
2013-01-23,11.13,11.17,10.94,11.04,1205800,11.04
2013-01-22,11.10,11.19,10.97,11.14,1330400,11.14
2013-01-18,10.61,11.15,10.61,11.07,1804000,11.07
2013-01-17,10.89,10.98,10.60,10.62,1798800,10.62
2013-01-16,10.55,10.91,10.50,10.87,2488500,10.87
2013-01-15,9.78,10.62,9.75,10.56,1406100,10.56
2013-01-14,9.85,9.94,9.58,9.92,1420600,9.92
2013-01-11,9.88,9.95,9.78,9.86,780100,9.86
2013-01-10,10.01,10.13,9.76,9.90,1247800,9.90
2013-01-09,10.22,10.34,9.98,9.98,1229900,9.98
2013-01-08,9.77,10.44,9.73,10.18,2472000,10.18
2013-01-07,9.97,9.97,9.67,9.70,1080600,9.70
2013-01-04,9.64,10.04,9.52,10.02,1266600,10.02
2013-01-03,9.72,9.91,9.50,9.60,1558200,9.60
2013-01-02,10.05,10.18,9.65,9.69,1481900,9.69
2012-12-31,9.26,9.79,9.23,9.76,1023700,9.76
2012-12-28,9.40,9.48,9.20,9.29,874000,9.29
2012-12-27,9.41,9.53,9.15,9.50,1091500,9.50
2012-12-26,9.68,9.73,9.21,9.41,1098200,9.41
2012-12-24,9.74,9.90,9.67,9.68,335600,9.68
2012-12-21,9.78,9.88,9.43,9.73,2135600,9.73
2012-12-20,9.93,9.94,9.77,9.92,1074900,9.92
2012-12-19,10.02,10.13,9.88,9.92,890300,9.92
2012-12-18,9.84,10.22,9.82,10.03,1350500,10.03
2012-12-17,9.66,9.90,9.61,9.83,1190500,9.83
2012-12-14,9.84,9.85,9.56,9.65,773000,9.65
2012-12-13,9.60,9.74,9.53,9.65,1040800,9.65
2012-12-12,9.77,9.80,9.56,9.57,1371500,9.57
2012-12-11,9.65,9.81,9.63,9.70,959100,9.70
2012-12-10,9.70,9.72,9.50,9.53,934800,9.53
2012-12-07,9.81,9.88,9.62,9.70,790500,9.70
2012-12-06,9.65,9.86,9.64,9.75,1165000,9.75
2012-12-05,9.97,10.00,9.67,9.69,967600,9.69
2012-12-04,9.96,9.97,9.81,9.92,1719000,9.92
2012-12-03,10.10,10.13,9.84,9.94,1261000,9.94
2012-11-30,10.08,10.10,9.90,10.00,1859700,10.00
2012-11-29,10.20,10.28,9.96,10.07,1753700,10.07
2012-11-28,9.93,10.21,9.80,10.16,1986200,10.16
2012-11-27,9.63,10.19,9.61,10.03,2562200,10.03
2012-11-26,9.53,9.61,9.36,9.61,1863500,9.61
2012-11-23,9.54,9.59,9.36,9.55,735100,9.55
2012-11-21,9.43,9.50,9.22,9.49,1466700,9.49
2012-11-20,9.38,9.48,9.20,9.41,2123600,9.41
2012-11-19,9.34,9.50,9.20,9.39,2867100,9.39
2012-11-16,10.00,10.62,9.07,9.22,9665700,9.22
2012-11-15,8.23,8.32,8.10,8.23,1336300,8.23
2012-11-14,8.53,8.65,8.21,8.23,2553400,8.23
2012-11-13,7.99,8.53,7.93,8.41,1743200,8.41
2012-11-12,8.00,8.16,7.90,8.05,1512600,8.03
2012-11-09,7.92,8.01,7.67,7.97,1350400,7.95
2012-11-08,8.21,8.35,7.92,8.00,1032400,7.98
2012-11-07,8.16,8.44,8.05,8.17,2543900,8.15
2012-11-06,7.54,8.77,7.46,8.33,5723100,8.31
2012-11-05,7.47,7.59,7.42,7.44,1194400,7.42
2012-11-02,7.69,7.70,7.43,7.51,944900,7.49
2012-11-01,7.35,7.70,7.34,7.63,1073700,7.61
2012-10-31,7.33,7.38,7.22,7.35,673500,7.33
2012-10-26,7.24,7.40,7.17,7.35,1148800,7.33
2012-10-25,7.30,7.32,7.04,7.22,1123300,7.20
2012-10-24,7.35,7.42,7.18,7.19,1107000,7.17
2012-10-23,7.32,7.37,7.15,7.31,1427500,7.29
2012-10-22,7.33,7.49,7.25,7.45,959700,7.43
2012-10-19,7.49,7.52,7.22,7.34,1116800,7.32
2012-10-18,7.51,7.64,7.42,7.58,970000,7.56
2012-10-17,7.51,7.60,7.41,7.52,1076800,7.50
2012-10-16,7.32,7.59,7.32,7.51,1297700,7.49
2012-10-15,7.45,7.48,7.18,7.28,1617800,7.26
2012-10-12,7.51,7.55,7.33,7.41,719700,7.39
2012-10-11,7.55,7.60,7.37,7.51,1147700,7.49
2012-10-10,7.48,7.60,7.39,7.43,1341900,7.41
2012-10-09,7.56,7.66,7.36,7.45,1286500,7.43
2012-10-08,7.68,7.70,7.42,7.54,2559200,7.52
2012-10-05,7.90,7.98,7.68,7.71,1392700,7.69
2012-10-04,7.70,7.90,7.59,7.83,1479600,7.81
2012-10-03,7.69,8.00,7.41,7.69,2672300,7.67
2012-10-02,7.88,7.94,7.54,7.64,1547700,7.62
2012-10-01,7.90,8.01,7.76,7.85,1491700,7.83
2012-09-28,7.87,7.98,7.74,7.81,844800,7.79
2012-09-27,7.92,8.06,7.81,7.95,1630600,7.93
2012-09-26,7.89,7.93,7.58,7.86,2122200,7.84
2012-09-25,8.16,8.20,7.85,7.87,1807100,7.85
2012-09-24,8.12,8.21,8.05,8.11,1227900,8.09
2012-09-21,8.20,8.26,8.10,8.16,4287900,8.14
2012-09-20,7.99,8.10,7.82,8.03,1526100,8.01
2012-09-19,7.63,8.00,7.55,7.97,2045400,7.95
