Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,14.39,14.59,13.69,13.82,9427800,13.82
2013-01-31,12.76,14.49,12.76,14.41,18397200,14.41
2013-01-30,12.15,12.26,11.89,11.98,5091700,11.98
2013-01-29,12.30,12.32,12.15,12.15,2326500,12.15
2013-01-28,12.19,12.30,12.10,12.30,2599900,12.30
2013-01-25,12.17,12.29,12.07,12.15,2434200,12.15
2013-01-24,12.03,12.20,12.00,12.15,3248700,12.15
2013-01-23,12.06,12.24,11.92,11.99,3724200,11.99
2013-01-22,11.70,12.05,11.70,12.05,4756600,12.05
2013-01-18,11.77,11.79,11.56,11.62,12441400,11.62
2013-01-17,11.78,11.88,11.71,11.73,2809000,11.73
2013-01-16,11.69,11.90,11.60,11.71,3736300,11.71
2013-01-15,11.78,11.86,11.65,11.70,3268800,11.70
2013-01-14,11.93,12.00,11.45,11.74,4680900,11.74
2013-01-11,12.00,12.00,11.75,11.91,3654600,11.91
2013-01-10,11.98,12.01,11.80,11.90,3557200,11.90
2013-01-09,11.90,12.00,11.71,11.88,4052800,11.88
2013-01-08,11.73,11.83,11.56,11.78,5971300,11.78
2013-01-07,11.38,11.69,11.31,11.65,4740300,11.65
2013-01-04,11.13,11.45,11.10,11.37,4001200,11.37
2013-01-03,10.81,11.14,10.71,11.09,4030100,11.09
2013-01-02,10.98,11.08,10.73,10.79,4179600,10.79
2012-12-31,10.36,10.70,10.34,10.64,3771800,10.64
2012-12-28,10.43,10.54,10.36,10.41,3038100,10.41
2012-12-27,10.55,10.59,10.38,10.52,4016100,10.52
2012-12-26,10.70,10.79,10.53,10.57,3443900,10.57
2012-12-24,10.81,10.89,10.65,10.69,1739300,10.69
2012-12-21,10.96,10.96,10.71,10.78,14386400,10.78
2012-12-20,10.97,11.12,10.90,11.09,3757100,11.09
2012-12-19,11.18,11.29,10.87,10.95,4504800,10.95
2012-12-18,10.86,11.18,10.83,11.16,6588600,11.16
2012-12-17,10.73,10.98,10.70,10.86,5830400,10.86
2012-12-14,10.78,10.97,10.65,10.68,3720900,10.68
2012-12-13,10.80,10.89,10.73,10.79,3021200,10.79
2012-12-12,11.08,11.13,10.76,10.82,4624200,10.82
2012-12-11,10.97,11.05,10.94,11.01,2932900,11.01
2012-12-10,10.88,11.04,10.86,10.94,3373900,10.94
2012-12-07,10.93,11.03,10.89,10.93,3488600,10.93
2012-12-06,10.88,11.07,10.75,10.89,4966200,10.89
2012-12-05,11.04,11.19,10.65,10.88,7116200,10.88
2012-12-04,11.63,11.64,11.01,11.03,7431800,11.03
2012-12-03,11.25,11.69,11.25,11.64,9308400,11.64
2012-11-30,11.11,11.24,11.02,11.19,5250500,11.19
2012-11-29,11.25,11.39,11.06,11.09,4590300,11.09
2012-11-28,10.96,11.22,10.92,11.22,2567400,11.22
2012-11-27,11.08,11.21,10.93,11.00,4362300,11.00
2012-11-26,11.12,11.24,11.05,11.11,3978400,11.11
2012-11-23,11.01,11.17,10.96,11.17,1641600,11.17
2012-11-21,10.96,11.00,10.87,10.91,3455300,10.91
2012-11-20,11.07,11.10,10.80,11.00,4521100,11.00
2012-11-19,11.11,11.15,10.96,11.10,4780800,11.10
2012-11-16,10.96,11.03,10.88,11.02,6118000,11.02
2012-11-15,11.00,11.33,10.79,10.99,6088600,10.99
2012-11-14,11.42,11.44,10.81,10.85,5477100,10.85
2012-11-13,11.83,11.90,11.63,11.67,4381500,11.29
2012-11-12,11.97,12.06,11.78,11.92,3255400,11.54
2012-11-09,12.02,12.13,11.84,11.90,3683000,11.52
2012-11-08,12.26,12.50,12.01,12.02,3859400,11.63
2012-11-07,12.73,12.78,12.07,12.20,6398100,11.81
2012-11-06,12.76,12.99,12.71,12.75,4982700,12.34
2012-11-05,12.71,13.20,12.65,12.70,6379100,12.29
2012-11-02,14.05,14.05,12.57,12.73,16953300,12.32
2012-11-01,14.45,14.67,14.36,14.64,4820300,14.17
2012-10-31,14.42,14.45,14.16,14.36,2374400,13.90
2012-10-26,14.25,14.42,14.25,14.33,2872500,13.87
2012-10-25,14.14,14.38,14.10,14.35,2743900,13.89
2012-10-24,14.00,14.20,13.92,14.06,2239400,13.61
2012-10-23,14.02,14.06,13.75,13.98,3731300,13.53
2012-10-22,14.35,14.73,14.08,14.17,2592300,13.71
2012-10-19,14.45,14.47,13.65,14.27,9111300,13.81
2012-10-18,14.10,14.56,14.10,14.49,4148700,14.02
2012-10-17,13.97,14.11,13.85,14.10,2481900,13.65
2012-10-16,13.51,13.98,13.50,13.96,3016000,13.51
2012-10-15,13.39,13.45,13.30,13.43,3178400,13.00
2012-10-12,13.56,13.69,13.33,13.36,2346800,12.93
2012-10-11,13.52,13.66,13.49,13.53,2471200,13.10
2012-10-10,13.71,13.75,13.35,13.40,3016700,12.97
2012-10-09,13.68,13.73,13.57,13.57,2352800,13.13
2012-10-08,13.75,13.78,13.63,13.69,1656100,13.25
2012-10-05,13.82,13.89,13.71,13.81,2047200,13.37
2012-10-04,13.75,13.81,13.55,13.73,2652900,13.29
2012-10-03,13.66,13.75,13.53,13.69,3625700,13.25
2012-10-02,13.82,13.87,13.50,13.60,3624200,13.16
2012-10-01,13.89,14.00,13.75,13.78,4210400,13.34
2012-09-28,14.00,14.00,13.77,13.82,2781200,13.38
2012-09-27,14.00,14.07,13.86,14.02,3128000,13.57
2012-09-26,13.98,14.07,13.79,13.94,2534900,13.49
2012-09-25,14.27,14.34,13.94,13.96,3164500,13.51
2012-09-24,14.32,14.41,14.13,14.25,2555600,13.79
2012-09-21,14.51,14.54,14.26,14.29,3007400,13.83
2012-09-20,14.44,14.52,14.20,14.37,2741400,13.91
2012-09-19,14.64,14.68,14.36,14.45,3314400,13.99
2012-09-18,14.89,14.91,14.61,14.61,2653900,14.14
2012-09-17,15.25,15.25,14.73,14.88,2932100,14.40
2012-09-14,14.75,15.27,14.75,15.27,4194200,14.78
2012-09-13,14.47,14.82,14.35,14.73,3487900,14.26
2012-09-12,14.49,14.67,14.42,14.66,2872400,14.19
2012-09-11,14.25,14.45,14.17,14.42,2452100,13.96
2012-09-10,13.97,14.23,13.85,14.16,2852900,13.70
2012-09-07,13.77,14.02,13.71,13.97,2705600,13.52
2012-09-06,13.42,13.83,13.41,13.76,2847700,13.32
2012-09-05,13.23,13.36,13.17,13.35,1742400,12.92
2012-09-04,13.37,13.48,13.10,13.19,2511000,12.77
2012-08-31,13.38,13.50,13.32,13.36,1832100,12.93
2012-08-30,13.34,13.41,13.26,13.32,1324100,12.89
2012-08-29,13.40,13.42,13.32,13.35,1273200,12.92
2012-08-28,13.34,13.55,13.33,13.35,1566500,12.92
2012-08-27,13.61,13.65,13.33,13.34,2038300,12.91
2012-08-24,13.56,13.67,13.48,13.61,1789500,13.17
2012-08-23,13.55,13.65,13.45,13.61,2323400,13.17
2012-08-22,13.64,13.70,13.50,13.53,1837400,13.10
2012-08-21,13.70,13.88,13.61,13.65,2413300,13.21
2012-08-20,13.49,13.69,13.40,13.68,2458900,13.24
2012-08-17,13.46,13.57,13.35,13.53,3524200,13.10
2012-08-16,13.38,13.47,13.27,13.45,2738400,13.02
2012-08-15,13.43,13.53,13.28,13.36,2324200,12.93
2012-08-14,13.57,13.59,13.38,13.46,2322800,13.03
2012-08-13,13.50,13.60,13.46,13.55,2709500,13.11
2012-08-10,13.68,13.71,13.50,13.58,3552800,13.14
2012-08-09,13.87,13.95,13.54,13.68,3519300,13.24
2012-08-08,13.90,14.02,13.65,13.94,4644800,13.49
2012-08-07,14.14,14.34,14.11,14.25,6623100,13.43
2012-08-06,13.92,14.11,13.85,14.01,7435700,13.20
2012-08-03,13.11,14.24,13.11,13.86,9654900,13.06
2012-08-02,13.20,13.25,12.64,12.94,5461300,12.19
2012-08-01,13.37,13.45,13.22,13.25,4928000,12.49
2012-07-31,13.23,13.45,13.16,13.36,7096600,12.59
2012-07-30,13.01,13.34,13.00,13.24,3599700,12.48
2012-07-27,13.14,13.23,13.00,13.03,5317400,12.28
2012-07-26,13.32,13.32,13.01,13.06,4000600,12.31
2012-07-25,13.42,13.44,13.15,13.18,2479000,12.42
2012-07-24,13.49,13.51,13.21,13.30,3292600,12.53
2012-07-23,13.36,13.51,13.28,13.37,3813000,12.60
2012-07-20,13.46,13.63,13.28,13.46,12806000,12.68
2012-07-19,13.57,13.57,13.40,13.48,4277100,12.70
2012-07-18,13.56,13.59,13.40,13.45,4300900,12.68
2012-07-17,13.94,13.95,13.42,13.60,6202600,12.82
2012-07-16,13.84,14.05,13.66,13.93,3618000,13.13
2012-07-13,13.85,14.11,13.82,13.90,3439600,13.10
2012-07-12,14.19,14.23,13.80,13.84,3938200,13.04
2012-07-11,14.22,14.37,14.15,14.33,2052600,13.50
2012-07-10,14.31,14.53,14.17,14.25,3044900,13.43
2012-07-09,14.54,14.54,13.86,14.25,4877500,13.43
2012-07-06,14.40,14.53,14.21,14.47,2400300,13.64
2012-07-05,14.61,14.65,14.21,14.51,2959800,13.67
2012-07-03,14.76,14.83,14.53,14.61,2124000,13.77
2012-07-02,15.11,15.13,14.58,14.69,3710600,13.84
2012-06-29,15.27,15.40,14.94,14.97,4205900,14.11
2012-06-28,14.89,15.10,14.71,15.05,2953700,14.18
2012-06-27,14.50,14.97,14.45,14.80,2433500,13.95
2012-06-26,14.86,15.09,14.41,14.46,3228700,13.63
2012-06-25,14.69,14.76,14.32,14.47,2577100,13.64
2012-06-22,14.87,14.96,14.71,14.90,3983800,14.04
2012-06-21,15.03,15.10,14.65,14.67,3077500,13.82
2012-06-20,14.86,15.06,14.75,15.04,3405000,14.17
2012-06-19,14.94,15.00,14.80,14.88,2800700,14.02
2012-06-18,14.90,15.10,14.72,14.85,3041400,13.99
2012-06-15,14.79,15.05,14.61,15.04,4626800,14.17
2012-06-14,14.07,14.71,14.02,14.64,4764800,13.80
2012-06-13,14.08,14.19,13.98,14.04,2982900,13.23
2012-06-12,14.14,14.18,13.80,14.08,3900900,13.27
2012-06-11,14.39,14.45,14.02,14.06,2888600,13.25
2012-06-08,13.95,14.29,13.90,14.28,3030100,13.46
2012-06-07,14.20,14.49,13.92,14.00,13184500,13.19
2012-06-06,13.51,14.07,13.51,14.06,3807000,13.25
2012-06-05,13.24,13.70,13.22,13.42,3576100,12.65
2012-06-04,13.53,13.53,13.05,13.24,4570900,12.48
2012-06-01,13.37,13.75,13.20,13.50,4463000,12.72
2012-05-31,13.41,13.74,13.21,13.64,4246000,12.85
2012-05-30,13.87,13.94,13.37,13.42,4826700,12.65
2012-05-29,14.04,14.07,13.86,14.01,2573300,13.20
2012-05-25,13.83,14.10,13.82,13.93,2885700,13.13
2012-05-24,13.92,13.95,13.62,13.82,3544000,13.02
2012-05-23,13.52,13.92,13.40,13.84,6281800,13.04
