Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,50.26,50.49,49.84,50.41,563800,50.41
2013-01-31,50.05,50.08,49.31,49.83,634000,49.83
2013-01-30,50.57,50.57,49.90,50.00,473200,50.00
2013-01-29,50.28,50.65,50.17,50.44,508700,50.44
2013-01-28,50.27,50.48,49.91,50.29,720000,50.29
2013-01-25,49.90,50.29,49.72,50.26,529500,50.26
2013-01-24,49.69,50.18,48.84,49.63,370700,49.63
2013-01-23,49.63,50.07,49.63,50.00,455800,50.00
2013-01-22,49.33,49.91,49.33,49.87,360000,49.87
2013-01-18,49.17,49.51,49.09,49.46,408200,49.46
2013-01-17,49.36,49.44,49.02,49.07,274900,49.07
2013-01-16,49.13,49.36,48.98,49.21,385500,49.21
2013-01-15,48.89,49.26,48.89,49.23,235200,49.23
2013-01-14,48.83,49.10,48.83,49.10,359800,49.10
2013-01-11,48.44,48.83,48.38,48.83,576500,48.83
2013-01-10,48.64,48.79,48.17,48.52,381900,48.52
2013-01-09,48.14,48.57,48.04,48.56,568400,48.56
2013-01-08,47.54,48.08,47.52,48.08,550100,48.08
2013-01-07,47.54,48.30,47.54,48.28,455800,48.28
2013-01-04,47.76,47.85,47.47,47.72,504300,47.72
2013-01-03,47.67,48.08,47.53,47.76,650400,47.76
2013-01-02,47.86,47.89,47.19,47.53,446000,47.53
2012-12-31,46.37,47.12,46.31,47.12,415500,47.12
2012-12-28,46.56,46.93,46.26,46.46,397300,46.46
2012-12-27,46.32,46.93,46.19,46.83,385000,46.83
2012-12-26,46.67,46.75,46.06,46.26,427700,46.26
2012-12-24,47.09,47.34,46.43,46.65,193800,46.65
2012-12-21,46.64,47.63,46.63,46.85,1315200,46.85
2012-12-20,46.50,47.13,46.47,47.12,681900,47.12
2012-12-19,46.69,46.78,46.41,46.42,582300,46.42
2012-12-18,46.19,46.75,46.09,46.75,1171500,46.75
2012-12-17,46.01,46.22,45.45,46.04,819500,46.04
2012-12-14,45.86,46.47,45.86,46.11,529100,46.11
2012-12-13,46.26,46.44,46.03,46.05,499700,46.05
2012-12-12,46.74,46.95,46.29,46.38,519600,46.38
2012-12-11,46.84,46.98,46.66,46.83,371900,46.83
2012-12-10,46.94,46.99,46.59,46.68,605000,46.68
2012-12-07,46.86,47.11,46.19,46.97,384700,46.97
2012-12-06,46.96,47.26,46.65,46.69,480900,46.69
2012-12-05,46.82,47.00,46.52,46.92,905000,46.92
2012-12-04,46.90,47.11,46.68,46.80,636600,46.80
2012-12-03,47.07,47.24,46.72,46.98,724500,46.98
2012-11-30,46.75,47.07,46.52,46.85,1156500,46.85
2012-11-29,46.72,46.82,46.16,46.67,908600,46.67
2012-11-28,46.48,46.72,46.09,46.55,831400,46.55
2012-11-27,46.49,46.85,46.08,46.68,607000,46.68
2012-11-26,46.34,46.98,46.26,46.72,624100,46.72
2012-11-23,46.26,46.70,46.19,46.56,150400,46.56
2012-11-21,46.11,46.20,45.23,46.05,329400,46.05
2012-11-20,45.71,46.17,45.52,46.08,1005100,46.08
2012-11-19,45.89,46.25,45.45,45.67,686600,45.67
2012-11-16,45.39,45.64,44.97,45.43,677800,45.43
2012-11-15,45.53,45.82,44.80,45.29,635100,45.29
2012-11-14,46.41,46.52,45.31,45.45,636200,45.45
2012-11-13,46.06,46.62,45.81,46.36,681400,46.36
2012-11-12,46.63,46.73,46.22,46.29,505000,46.29
2012-11-09,47.26,47.29,46.48,46.61,989700,46.61
2012-11-08,48.39,48.87,47.56,47.61,917300,47.15
2012-11-07,48.79,49.08,48.22,48.60,518300,48.13
2012-11-06,49.05,49.34,48.63,49.06,817300,48.58
2012-11-05,48.99,49.41,48.14,49.05,768100,48.57
2012-11-02,48.62,49.18,48.53,49.08,884800,48.60
2012-11-01,48.04,48.93,47.77,48.33,757900,47.86
2012-10-31,47.27,48.12,46.98,48.02,950100,47.55
2012-10-26,47.85,47.85,46.88,47.20,686000,46.74
2012-10-25,48.40,48.83,47.22,47.80,486000,47.34
2012-10-24,48.48,48.74,47.98,48.22,368000,47.75
2012-10-23,48.80,48.90,48.09,48.46,444400,47.99
2012-10-22,49.60,49.61,48.69,49.14,460200,48.66
2012-10-19,49.93,50.40,49.38,49.58,359600,49.10
2012-10-18,49.43,50.09,49.42,50.02,481400,49.53
2012-10-17,49.33,49.75,49.04,49.55,584600,49.07
2012-10-16,49.05,49.75,49.01,49.42,579700,48.94
2012-10-15,48.93,49.08,48.56,48.86,629800,48.38
2012-10-12,49.00,49.42,48.83,48.90,466400,48.42
2012-10-11,48.99,49.24,48.84,49.01,703300,48.53
2012-10-10,48.38,48.76,48.13,48.72,597800,48.25
2012-10-09,48.53,48.84,48.26,48.27,571500,47.80
2012-10-08,48.34,48.55,48.24,48.52,532300,48.05
2012-10-05,48.64,48.94,48.32,48.51,219200,48.04
2012-10-04,48.66,48.89,48.17,48.51,776700,48.04
2012-10-03,48.62,49.14,48.42,48.50,778000,48.03
2012-10-02,48.55,48.87,48.02,48.61,825400,48.14
2012-10-01,48.92,48.99,47.67,48.44,778900,47.97
2012-09-28,48.48,49.01,48.22,48.73,625400,48.26
2012-09-27,48.45,49.02,48.31,48.69,865700,48.22
2012-09-26,48.64,49.04,48.14,48.33,558800,47.86
2012-09-25,49.09,49.21,48.50,48.62,1094900,48.15
2012-09-24,48.50,49.25,48.50,48.86,622900,48.38
2012-09-21,49.18,49.33,48.71,48.81,1155800,48.34
2012-09-20,49.25,49.30,48.49,48.85,888400,48.37
2012-09-19,49.98,50.09,49.62,49.62,542900,49.14
2012-09-18,50.10,50.23,49.67,49.91,643200,49.42
2012-09-17,50.48,50.91,50.06,50.08,399700,49.59
2012-09-14,50.63,51.11,50.40,50.52,645300,50.03
2012-09-13,49.84,51.38,49.71,50.39,502900,49.90
2012-09-12,49.50,49.94,49.20,49.91,485000,49.42
2012-09-11,49.41,49.75,49.07,49.35,704400,48.87
2012-09-10,49.40,49.48,49.19,49.35,506400,48.87
2012-09-07,49.71,49.81,49.44,49.57,394300,49.09
2012-09-06,49.64,49.90,49.56,49.71,442000,49.23
2012-09-05,49.82,49.82,49.09,49.38,552100,48.90
2012-09-04,48.98,49.54,48.66,49.54,615500,49.06
2012-08-31,49.39,49.40,48.72,49.00,710600,48.52
2012-08-30,49.02,49.22,48.88,49.11,309000,48.63
2012-08-29,49.25,49.39,49.16,49.16,336600,48.68
2012-08-28,49.37,49.62,49.07,49.30,393000,48.82
2012-08-27,49.64,49.81,49.32,49.45,1002300,48.97
2012-08-24,48.86,49.61,48.68,49.42,778900,48.94
2012-08-23,49.00,49.10,48.70,48.80,461200,48.33
2012-08-22,48.96,49.17,48.55,49.17,303600,48.69
2012-08-21,48.86,49.14,48.65,49.13,710400,48.65
2012-08-20,48.84,48.88,48.41,48.61,373600,48.14
2012-08-17,48.50,49.02,48.39,48.96,466700,48.48
2012-08-16,48.05,48.65,47.79,48.42,1035600,47.95
2012-08-15,47.87,48.05,47.70,47.95,583300,47.48
2012-08-14,48.29,48.33,47.66,47.81,306000,47.35
2012-08-13,48.01,48.46,47.81,47.99,337800,47.52
2012-08-10,47.09,48.57,47.09,48.49,602000,47.56
2012-08-09,48.22,48.57,48.02,48.23,656200,47.30
2012-08-08,48.31,48.35,47.82,48.19,844300,47.27
2012-08-07,48.66,48.80,48.14,48.40,534100,47.47
2012-08-06,49.00,49.00,48.32,48.59,624800,47.66
2012-08-03,49.04,49.25,48.71,48.89,386000,47.95
2012-08-02,48.33,48.67,48.10,48.65,620300,47.72
2012-08-01,47.97,49.20,47.77,48.64,1066500,47.71
2012-07-31,47.73,47.92,47.41,47.85,468600,46.93
2012-07-30,47.35,47.86,47.17,47.76,301400,46.84
2012-07-27,46.76,47.62,46.68,47.31,409700,46.40
2012-07-26,46.72,47.07,46.18,46.61,1232500,45.72
2012-07-25,46.49,46.49,45.85,46.19,805600,45.30
2012-07-24,46.65,46.70,45.81,46.15,1025800,45.26
2012-07-23,46.63,46.99,46.38,46.83,404300,45.93
2012-07-20,47.28,47.64,47.09,47.35,673000,46.44
2012-07-19,48.18,48.24,47.28,47.67,1283500,46.76
2012-07-18,48.20,48.41,48.03,48.11,825800,47.19
2012-07-17,48.00,48.60,47.56,48.36,742600,47.43
2012-07-16,47.54,48.04,47.41,47.99,1193400,47.07
2012-07-13,47.45,47.84,47.22,47.75,404500,46.83
2012-07-12,47.11,47.59,46.73,47.34,646500,46.43
2012-07-11,47.26,47.49,46.73,47.33,664900,46.42
2012-07-10,47.95,47.95,46.87,47.17,521100,46.27
2012-07-09,47.50,47.73,47.28,47.67,400900,46.76
2012-07-06,47.28,47.63,47.23,47.50,443900,46.59
2012-07-05,47.82,47.94,47.37,47.70,442500,46.79
2012-07-03,47.75,47.94,47.51,47.75,319000,46.83
2012-07-02,47.86,47.86,47.07,47.81,453100,46.89
2012-06-29,47.46,47.58,47.06,47.57,589600,46.66
2012-06-28,45.43,46.53,45.26,46.52,1426800,45.63
2012-06-27,45.92,45.94,45.36,45.60,878200,44.73
2012-06-26,45.80,46.10,45.46,45.84,825500,44.96
2012-06-25,45.85,46.04,45.37,45.81,570600,44.93
2012-06-22,46.10,46.43,45.53,46.43,1389600,45.54
2012-06-21,46.47,46.58,45.81,46.00,720000,45.12
2012-06-20,46.23,46.48,46.00,46.36,784800,45.47
2012-06-19,46.46,46.64,46.04,46.17,713300,45.28
2012-06-18,45.63,46.53,45.52,46.34,1133300,45.45
2012-06-15,45.27,45.93,45.04,45.78,886100,44.90
2012-06-14,44.34,45.16,44.23,44.97,502700,44.11
2012-06-13,44.22,44.99,43.94,44.27,822800,43.42
2012-06-12,43.86,44.47,43.74,44.47,454600,43.62
2012-06-11,45.04,45.11,43.65,43.69,643100,42.85
2012-06-08,43.90,44.80,43.81,44.74,345500,43.88
2012-06-07,44.63,44.71,43.85,43.89,359000,43.05
2012-06-06,43.66,44.31,43.24,44.21,474900,43.36
2012-06-05,42.06,43.26,42.00,43.19,443500,42.36
2012-06-04,42.30,42.35,41.65,42.23,664400,41.42
2012-06-01,42.81,43.50,42.05,42.14,841500,41.33
2012-05-31,43.45,44.14,43.05,43.81,897500,42.97
2012-05-30,44.02,44.02,43.28,43.34,699000,42.51
2012-05-29,44.14,44.53,44.01,44.35,557400,43.50
2012-05-25,44.10,44.35,43.65,43.82,371100,42.98
2012-05-24,44.15,44.60,43.63,44.19,383600,43.34
2012-05-23,43.99,44.20,43.41,44.11,599000,43.26
2012-05-22,44.19,44.55,43.99,44.29,673300,43.44
2012-05-21,43.18,44.15,42.84,44.07,606000,43.22
2012-05-18,43.92,43.96,42.86,42.95,812400,42.13
2012-05-17,45.39,45.39,43.85,43.85,644400,43.01
2012-05-16,46.45,46.45,45.22,45.29,538400,44.42
2012-05-15,46.89,46.89,45.96,46.15,689200,45.26
2012-05-14,47.20,47.41,46.71,46.75,1093200,45.85
2012-05-11,47.03,47.99,46.85,47.83,1208700,46.46
2012-05-10,47.65,47.68,46.88,47.31,727200,45.95
