Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,25.25,25.46,25.09,25.38,154500,25.38
2013-01-31,24.64,25.14,24.54,25.09,204200,25.09
2013-01-30,25.24,25.35,24.40,24.63,206400,24.63
2013-01-29,25.06,25.75,24.93,25.31,301100,25.31
2013-01-28,24.65,25.27,24.43,25.13,280600,25.13
2013-01-25,24.34,24.69,24.28,24.63,200300,24.63
2013-01-24,23.89,24.22,23.89,24.22,197000,24.22
2013-01-23,24.01,24.04,23.77,23.90,140200,23.90
2013-01-22,23.80,24.10,23.70,23.97,343100,23.97
2013-01-18,23.95,23.95,23.66,23.80,187000,23.80
2013-01-17,23.92,24.00,23.64,23.98,90800,23.98
2013-01-16,23.84,24.00,23.63,23.85,123600,23.85
2013-01-15,24.01,24.08,23.66,23.92,97400,23.92
2013-01-14,23.81,24.25,23.81,24.01,195300,24.01
2013-01-11,23.71,23.98,23.56,23.83,224800,23.83
2013-01-10,23.63,23.87,23.51,23.66,227700,23.66
2013-01-09,23.49,23.78,23.40,23.60,228000,23.60
2013-01-08,23.78,24.25,23.27,23.48,266900,23.48
2013-01-07,23.04,23.81,22.55,23.73,320300,23.73
2013-01-04,22.51,23.02,22.45,22.82,145200,22.82
2013-01-03,22.62,22.77,22.36,22.40,203600,22.40
2013-01-02,22.08,22.56,22.08,22.46,297900,22.46
2012-12-31,21.30,21.74,21.30,21.72,185100,21.72
2012-12-28,21.44,21.65,21.30,21.35,88800,21.35
2012-12-27,21.52,21.77,21.13,21.45,164000,21.45
2012-12-26,21.35,21.57,21.04,21.40,207800,21.40
2012-12-24,21.83,22.19,21.19,21.30,217200,21.30
2012-12-21,21.89,22.13,21.65,21.74,1109900,21.74
2012-12-20,21.82,22.05,21.60,22.02,317500,22.02
2012-12-19,21.58,21.79,21.47,21.74,167600,21.74
2012-12-18,21.50,21.74,21.39,21.47,225200,21.47
2012-12-17,21.29,21.44,20.61,21.43,291200,21.43
2012-12-14,21.11,21.42,21.01,21.27,139200,21.27
2012-12-13,21.33,21.59,20.85,21.16,266000,21.16
2012-12-12,21.89,21.92,21.32,21.38,185500,21.38
2012-12-11,21.97,22.06,21.71,21.79,163300,21.79
2012-12-10,22.06,22.28,21.76,21.88,100000,21.88
2012-12-07,22.53,22.86,22.02,22.09,200200,22.09
2012-12-06,22.34,22.55,22.29,22.37,215400,22.37
2012-12-05,22.13,22.64,22.00,22.42,391700,22.42
2012-12-04,21.75,22.44,21.70,22.06,312600,22.06
2012-12-03,21.75,21.95,21.55,21.79,269300,21.79
2012-11-30,21.75,21.87,21.50,21.70,222800,21.70
2012-11-29,21.75,21.80,21.46,21.70,232500,21.70
2012-11-28,21.46,21.66,21.07,21.63,102600,21.63
2012-11-27,21.65,21.80,21.46,21.48,112300,21.48
2012-11-26,21.87,22.08,21.60,21.73,181300,21.73
2012-11-23,21.69,21.92,21.59,21.85,44800,21.85
2012-11-21,21.45,21.80,21.38,21.57,83600,21.57
2012-11-20,21.30,21.60,21.18,21.41,115600,21.41
2012-11-19,21.08,21.40,21.02,21.34,109500,21.34
2012-11-16,20.32,21.04,20.17,20.85,169700,20.85
2012-11-15,20.43,20.72,20.19,20.39,203700,20.39
2012-11-14,21.48,21.60,20.55,20.59,256900,20.59
2012-11-13,21.30,21.68,21.06,21.50,235700,21.50
2012-11-12,21.28,21.84,21.28,21.69,272900,21.36
2012-11-09,21.40,21.40,20.61,21.20,397800,20.88
2012-11-08,22.46,22.55,21.37,21.43,565200,21.10
2012-11-07,22.14,22.66,22.11,22.39,355100,22.05
2012-11-06,22.58,22.63,22.20,22.35,165800,22.01
2012-11-05,22.19,22.60,22.00,22.46,206900,22.12
2012-11-02,22.36,22.49,22.09,22.19,299000,21.85
2012-11-01,22.21,22.38,21.98,22.24,237300,21.90
2012-10-31,21.77,22.24,21.65,22.22,266800,21.88
2012-10-26,21.38,21.86,21.26,21.65,232200,21.32
2012-10-25,21.75,21.80,21.34,21.55,490500,21.22
2012-10-24,22.07,22.07,21.49,21.62,251500,21.29
2012-10-23,21.60,21.68,21.19,21.61,245100,21.28
2012-10-22,21.66,21.86,21.48,21.72,158900,21.39
2012-10-19,21.76,22.13,21.44,21.64,164400,21.31
2012-10-18,21.68,22.12,21.66,21.80,278300,21.47
2012-10-17,21.54,21.72,21.46,21.63,252200,21.30
2012-10-16,21.23,21.52,20.98,21.50,200000,21.17
2012-10-15,20.92,21.14,20.68,21.06,163600,20.74
2012-10-12,20.82,21.09,20.76,20.83,104400,20.51
2012-10-11,20.71,20.95,20.47,20.75,231100,20.43
2012-10-10,20.50,20.65,20.27,20.54,92500,20.23
2012-10-09,20.29,20.69,20.05,20.38,149600,20.07
2012-10-08,20.54,20.54,20.28,20.32,95000,20.01
2012-10-05,20.55,20.84,20.30,20.55,173200,20.24
2012-10-04,20.29,20.51,20.15,20.45,181900,20.14
2012-10-03,20.31,20.45,20.12,20.22,176200,19.91
2012-10-02,20.42,20.53,20.11,20.23,148200,19.92
2012-10-01,20.05,20.36,19.89,20.29,169500,19.98
2012-09-28,20.02,20.12,19.78,20.01,194700,19.71
2012-09-27,20.47,20.55,20.09,20.14,207500,19.83
2012-09-26,20.37,20.61,20.25,20.33,395600,20.02
2012-09-25,20.61,20.90,20.35,20.37,333400,20.06
2012-09-24,20.30,20.70,20.08,20.42,337400,20.11
2012-09-21,20.06,20.45,19.89,20.37,916100,20.06
2012-09-20,19.77,19.89,19.54,19.54,153900,19.24
2012-09-19,19.87,20.04,19.80,19.81,191700,19.51
2012-09-18,19.86,20.04,19.71,19.86,181300,19.56
2012-09-17,19.77,20.15,19.77,19.93,147500,19.63
2012-09-14,19.84,19.99,19.73,19.74,278800,19.44
2012-09-13,19.50,19.83,19.35,19.71,219500,19.41
2012-09-12,19.54,19.56,19.37,19.51,481100,19.21
2012-09-11,19.34,19.89,19.28,19.48,317500,19.18
2012-09-10,19.48,19.53,19.15,19.36,273700,19.07
2012-09-07,19.69,19.69,19.39,19.49,236000,19.19
2012-09-06,19.68,19.79,19.43,19.60,251200,19.30
2012-09-05,19.75,19.79,19.58,19.60,155000,19.30
2012-09-04,19.22,19.69,19.08,19.66,193000,19.36
2012-08-31,19.37,19.37,19.00,19.17,225700,18.88
2012-08-30,19.25,19.39,18.97,19.18,131800,18.89
2012-08-29,19.62,19.73,19.39,19.42,133600,19.12
2012-08-28,19.16,19.73,18.95,19.60,240400,19.30
2012-08-27,19.20,19.21,18.96,19.15,144600,18.86
2012-08-24,18.95,19.20,18.75,19.16,137800,18.87
2012-08-23,19.16,19.19,18.83,19.02,113600,18.73
2012-08-22,19.06,19.20,18.81,19.20,196700,18.91
2012-08-21,19.05,19.14,18.87,19.06,250500,18.77
2012-08-20,19.19,19.23,19.01,19.02,262300,18.73
2012-08-17,18.85,19.20,18.85,19.17,229300,18.88
2012-08-16,18.71,18.98,18.43,18.87,176900,18.58
2012-08-15,18.72,18.93,18.59,18.79,189600,18.50
2012-08-14,18.48,18.79,18.41,18.69,248600,18.41
2012-08-13,18.42,18.54,18.03,18.40,173000,18.12
2012-08-10,18.83,18.88,18.62,18.83,233100,18.22
2012-08-09,19.02,19.07,18.81,18.91,195700,18.30
2012-08-08,18.91,19.08,18.75,19.02,307800,18.40
2012-08-07,19.13,19.31,18.94,18.99,371900,18.37
2012-08-06,18.80,19.15,18.80,18.97,334400,18.35
2012-08-03,18.71,19.04,18.50,18.83,408500,18.22
2012-08-02,17.66,18.73,17.66,18.54,618400,17.94
2012-08-01,18.64,18.89,18.09,18.28,319900,17.69
2012-07-31,18.32,18.57,18.32,18.52,224000,17.92
2012-07-30,18.45,18.64,18.37,18.44,390300,17.84
2012-07-27,17.99,18.58,17.99,18.51,317100,17.91
2012-07-26,17.60,18.00,17.58,17.88,301000,17.30
2012-07-25,17.55,17.64,17.26,17.43,417100,16.86
2012-07-24,17.99,18.03,17.35,17.52,335500,16.95
2012-07-23,18.07,18.22,17.50,17.95,545500,17.37
2012-07-20,18.28,18.48,18.11,18.37,173300,17.77
2012-07-19,18.52,18.59,18.23,18.43,336000,17.83
2012-07-18,18.52,18.63,18.19,18.53,301400,17.93
2012-07-17,18.21,18.62,17.92,18.52,356100,17.92
2012-07-16,17.95,18.14,17.86,18.11,506200,17.52
2012-07-13,17.67,18.02,17.64,17.89,236700,17.31
2012-07-12,17.49,17.80,17.32,17.67,216100,17.10
2012-07-11,17.63,17.71,17.47,17.57,216100,17.00
2012-07-10,17.89,17.93,17.49,17.60,319300,17.03
2012-07-09,17.47,17.84,17.45,17.75,383100,17.17
2012-07-06,17.33,17.63,17.17,17.55,317400,16.98
2012-07-05,17.52,17.59,17.10,17.43,328600,16.86
2012-07-03,17.50,17.56,17.45,17.51,261100,16.94
2012-07-02,17.27,17.47,17.07,17.44,416500,16.87
2012-06-29,17.00,17.24,16.90,17.11,429000,16.55
2012-06-28,16.63,16.99,16.61,16.96,439100,16.41
2012-06-27,16.65,16.82,16.54,16.72,394900,16.18
2012-06-26,16.59,16.74,16.47,16.54,279700,16.00
2012-06-25,16.52,16.75,16.45,16.55,275400,16.01
