Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,8.61,8.69,7.90,7.93,9952700,7.93
2013-01-31,8.40,8.51,8.23,8.30,5412900,8.30
2013-01-30,8.50,8.68,8.35,8.46,6687500,8.46
2013-01-29,8.33,8.50,8.27,8.48,6375100,8.48
2013-01-28,8.47,8.50,8.19,8.29,3932600,8.29
2013-01-25,8.23,8.48,8.06,8.44,3904200,8.44
2013-01-24,8.20,8.37,8.08,8.15,4906900,8.15
2013-01-23,7.88,8.24,7.83,8.23,5902600,8.23
2013-01-22,7.92,7.96,7.73,7.92,2051100,7.92
2013-01-18,8.00,8.10,7.90,7.91,2451900,7.91
2013-01-17,7.87,8.10,7.79,8.00,6042800,8.00
2013-01-16,7.82,7.93,7.76,7.80,1898700,7.80
2013-01-15,7.56,7.84,7.50,7.83,3404400,7.83
2013-01-14,7.70,7.84,7.58,7.62,3167000,7.62
2013-01-11,7.61,7.77,7.55,7.74,3072800,7.74
2013-01-10,7.94,7.94,7.66,7.70,2591700,7.70
2013-01-09,7.75,8.08,7.71,7.88,3604100,7.88
2013-01-08,7.63,7.74,7.51,7.71,2550600,7.71
2013-01-07,7.62,7.77,7.55,7.66,2935700,7.66
2013-01-04,7.57,7.72,7.56,7.66,2837800,7.66
2013-01-03,7.54,7.75,7.33,7.56,3569800,7.56
2013-01-02,7.55,7.68,7.44,7.52,3116700,7.52
2012-12-31,7.11,7.39,7.05,7.35,2883900,7.35
2012-12-28,7.04,7.19,7.01,7.11,1577400,7.11
2012-12-27,7.18,7.21,6.95,7.14,2643900,7.14
2012-12-26,7.16,7.27,7.11,7.13,1744000,7.13
2012-12-24,7.11,7.21,7.05,7.16,1014200,7.16
2012-12-21,7.18,7.19,7.01,7.15,5072200,7.15
2012-12-20,7.16,7.32,7.02,7.29,3070200,7.29
2012-12-19,7.26,7.31,6.99,7.20,4676400,7.20
2012-12-18,7.12,7.38,7.11,7.23,6808600,7.23
2012-12-17,6.57,7.10,6.56,7.08,6672900,7.08
2012-12-14,6.65,6.69,6.52,6.55,2838600,6.55
2012-12-13,6.80,6.87,6.61,6.65,1926500,6.65
2012-12-12,6.67,6.95,6.62,6.81,5092200,6.81
2012-12-11,6.67,6.67,6.51,6.62,5308600,6.62
2012-12-10,6.59,6.66,6.50,6.57,2840700,6.57
2012-12-07,6.65,6.74,6.42,6.54,3648700,6.54
2012-12-06,6.50,6.61,6.35,6.60,5329700,6.60
2012-12-05,6.86,6.86,6.46,6.48,4423700,6.48
2012-12-04,6.95,7.00,6.73,6.84,3621000,6.84
2012-12-03,6.75,6.94,6.69,6.87,2460300,6.87
2012-11-30,6.88,6.88,6.63,6.70,5977500,6.70
2012-11-29,6.92,6.98,6.75,6.86,2660900,6.86
2012-11-28,6.88,6.91,6.63,6.86,2799600,6.86
2012-11-27,6.88,6.97,6.82,6.90,3147600,6.90
2012-11-26,6.95,6.96,6.75,6.85,2747000,6.85
2012-11-23,7.00,7.02,6.83,6.96,2395900,6.96
2012-11-21,6.98,7.06,6.77,6.84,6823800,6.84
2012-11-20,6.58,6.91,6.50,6.90,4920000,6.90
2012-11-19,6.54,6.80,6.37,6.45,5635000,6.45
2012-11-16,6.08,6.46,6.05,6.45,4586300,6.45
2012-11-15,6.01,6.33,5.71,6.10,8905700,6.10
2012-11-14,6.52,6.55,5.96,6.04,7175000,6.04
2012-11-13,6.25,6.48,6.19,6.31,3099700,6.31
2012-11-12,6.69,6.85,6.31,6.33,4489400,6.33
2012-11-09,6.73,6.81,6.47,6.67,4243700,6.67
2012-11-08,6.87,6.92,6.65,6.75,4409400,6.75
2012-11-07,6.98,7.09,6.77,6.84,4465600,6.84
2012-11-06,7.07,7.16,7.04,7.05,3921600,7.05
2012-11-05,6.74,7.06,6.71,7.01,4297500,7.01
2012-11-02,7.01,7.03,6.70,6.76,6363800,6.76
2012-11-01,6.95,7.03,6.85,6.96,5074000,6.96
2012-10-31,6.92,7.05,6.85,6.90,3528100,6.90
2012-10-26,7.30,7.35,6.65,6.90,15032500,6.90
2012-10-25,7.89,7.91,7.46,7.75,6128400,7.75
2012-10-24,7.70,7.86,7.60,7.79,5600700,7.79
2012-10-23,7.56,7.75,7.50,7.66,5244400,7.66
2012-10-22,7.71,7.80,7.63,7.74,4109900,7.74
2012-10-19,7.61,7.85,7.58,7.70,3846700,7.70
2012-10-18,7.63,7.74,7.57,7.65,4041600,7.65
2012-10-17,7.53,7.90,7.48,7.59,6539300,7.59
2012-10-16,7.39,7.46,7.24,7.32,2553900,7.32
2012-10-15,6.97,7.37,6.92,7.34,4354600,7.34
2012-10-12,7.00,7.06,6.86,6.97,5113700,6.97
2012-10-11,7.17,7.22,6.92,7.05,4233100,7.05
2012-10-10,6.95,7.19,6.92,7.08,3890400,7.08
2012-10-09,7.17,7.17,6.86,6.96,4080700,6.96
2012-10-08,7.36,7.46,7.15,7.15,3615600,7.15
2012-10-05,7.29,7.50,7.26,7.39,5133500,7.39
2012-10-04,7.27,7.28,7.02,7.20,3283200,7.20
2012-10-03,6.62,7.21,6.61,7.17,7777400,7.17
2012-10-02,6.58,6.62,6.39,6.57,4929700,6.57
2012-10-01,6.84,6.87,6.50,6.53,6805800,6.53
2012-09-28,6.90,6.93,6.75,6.76,2961000,6.76
2012-09-27,6.83,7.01,6.70,6.95,4471800,6.95
2012-09-26,7.17,7.19,6.51,6.80,9741700,6.80
2012-09-25,7.45,7.48,7.13,7.15,4830300,7.15
2012-09-24,7.75,7.80,7.26,7.43,8046100,7.43
2012-09-21,7.55,7.92,7.51,7.67,14268100,7.67
2012-09-20,7.36,7.49,7.22,7.46,2507200,7.46
2012-09-19,7.15,7.48,7.08,7.39,4123700,7.39
2012-09-18,7.32,7.40,7.04,7.12,4720600,7.12
2012-09-17,7.46,7.47,7.28,7.34,2200000,7.34
2012-09-14,7.35,7.57,7.31,7.46,6423000,7.46
2012-09-13,6.97,7.35,6.89,7.27,5955100,7.27
2012-09-12,6.88,7.03,6.80,7.01,5678000,7.01
2012-09-11,6.84,6.98,6.78,6.91,3350100,6.91
2012-09-10,6.86,6.89,6.75,6.78,2186300,6.78
2012-09-07,6.93,7.04,6.80,6.86,3323300,6.86
