Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,34.38,34.40,33.23,33.67,7864900,33.67
2013-01-31,33.21,34.84,32.96,33.98,13520900,33.98
2013-01-30,33.91,34.44,33.85,33.89,5940000,33.89
2013-01-29,35.14,35.15,33.60,33.91,16672000,33.91
2013-01-28,37.70,37.83,37.25,37.41,8838300,37.41
2013-01-25,37.13,37.56,36.92,37.25,8976200,37.25
2013-01-24,36.39,37.37,36.27,36.87,8484500,36.87
2013-01-23,37.90,37.94,36.15,36.62,11841400,36.62
2013-01-22,35.46,37.92,35.34,37.89,15325700,37.89
2013-01-18,34.94,35.41,34.60,35.38,8398000,35.38
2013-01-17,34.41,35.08,34.36,35.02,7421800,35.02
2013-01-16,34.22,34.70,34.06,34.30,4906500,34.30
2013-01-15,33.93,34.69,33.55,34.46,8044400,34.46
2013-01-14,33.55,34.45,32.80,33.97,11264200,33.97
2013-01-11,33.75,33.78,33.05,33.29,7241600,33.29
2013-01-10,33.66,33.72,32.98,33.68,9940800,33.68
2013-01-09,32.00,33.50,31.95,33.48,17973600,33.48
2013-01-08,31.32,31.92,30.82,31.39,8464200,31.39
2013-01-07,31.39,31.91,31.17,31.48,5594000,31.48
2013-01-04,31.47,31.63,31.11,31.45,4520900,31.45
2013-01-03,31.93,32.00,31.32,31.38,4948400,31.38
2013-01-02,31.59,32.00,31.27,31.95,7445700,31.95
2012-12-31,29.91,30.77,29.80,30.42,6504500,30.42
2012-12-28,30.01,30.27,29.89,29.95,4348600,29.95
2012-12-27,30.22,30.40,29.75,30.21,4120500,30.21
2012-12-26,30.41,30.89,30.22,30.38,4660800,30.38
2012-12-24,30.51,30.59,29.94,30.29,2795800,30.29
2012-12-21,29.91,30.50,29.15,30.46,17452400,30.46
2012-12-20,30.27,30.53,29.85,30.38,5843000,30.38
2012-12-19,30.00,30.83,29.80,30.32,14140100,30.32
2012-12-18,28.20,29.49,28.15,29.36,12658100,29.36
2012-12-17,27.82,28.29,27.70,28.05,5504000,28.05
2012-12-14,27.70,27.75,27.35,27.65,5682400,27.65
2012-12-13,27.74,28.20,27.52,27.75,7256800,27.75
2012-12-12,27.90,28.17,27.67,27.75,10180100,27.75
2012-12-11,29.16,29.66,28.73,29.03,9494900,28.65
2012-12-10,28.32,29.82,28.30,28.91,12138200,28.53
2012-12-07,28.78,28.87,28.29,28.34,7988400,27.97
2012-12-06,27.44,28.73,27.41,28.53,11358300,28.16
2012-12-05,26.46,28.46,26.40,27.60,17209400,27.24
2012-12-04,25.44,26.47,25.43,26.46,11623500,26.11
2012-12-03,25.35,25.71,25.16,25.36,6603500,25.03
2012-11-30,25.69,25.69,24.90,25.10,11474600,24.77
2012-11-29,25.74,25.86,24.98,25.26,10280500,24.93
2012-11-28,25.87,26.10,25.43,25.69,9984900,25.35
2012-11-27,27.33,27.40,25.90,25.95,13851600,25.61
2012-11-26,27.24,27.43,26.92,27.35,5951900,26.99
2012-11-23,26.97,27.44,26.77,27.29,2963500,26.93
2012-11-21,26.76,27.30,26.53,26.75,9049000,26.40
