Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,41.00,41.19,40.45,40.96,168600,40.96
2013-01-31,40.75,40.98,40.55,40.74,165800,40.74
2013-01-30,41.27,41.35,40.50,40.76,175100,40.76
2013-01-29,41.40,41.55,41.16,41.39,169400,41.39
2013-01-28,42.05,42.05,41.32,41.59,234500,41.59
2013-01-25,42.05,42.17,41.42,42.02,169300,42.02
2013-01-24,40.52,42.38,40.52,41.92,221100,41.92
2013-01-23,42.39,42.50,41.91,42.00,92700,42.00
2013-01-22,41.56,42.33,41.55,42.30,124700,42.30
2013-01-18,41.50,41.94,41.23,41.55,147500,41.55
2013-01-17,41.14,41.64,41.01,41.39,120500,41.39
2013-01-16,41.24,41.24,40.68,40.94,111700,40.94
2013-01-15,40.77,41.38,40.48,41.28,119000,41.28
2013-01-14,40.47,41.20,40.33,41.07,179500,41.07
2013-01-11,40.55,40.67,39.99,40.47,124900,40.47
2013-01-10,41.24,41.24,40.36,40.48,241800,40.48
2013-01-09,40.47,41.04,40.32,41.02,270300,41.02
2013-01-08,40.06,40.52,40.01,40.29,232100,40.29
2013-01-07,40.17,40.22,39.71,40.00,324500,40.00
2013-01-04,40.00,40.42,39.78,40.35,294200,40.35
2013-01-03,40.00,40.00,39.64,39.93,228400,39.93
2013-01-02,39.51,39.99,39.50,39.97,258000,39.97
2012-12-31,38.62,39.25,38.48,39.03,169000,39.03
2012-12-28,38.71,39.15,38.56,38.64,117000,38.64
2012-12-27,39.00,39.16,38.57,38.98,137200,38.98
2012-12-26,39.27,39.31,39.00,39.03,92700,39.03
2012-12-24,39.07,39.39,38.86,39.12,45500,39.12
2012-12-21,39.00,39.40,38.49,39.07,528300,39.07
2012-12-20,38.50,39.11,38.50,39.00,171000,39.00
2012-12-19,38.00,38.53,37.82,38.35,215200,38.35
2012-12-18,37.91,38.06,37.72,38.00,122500,38.00
2012-12-17,37.71,37.86,37.38,37.85,103500,37.85
2012-12-14,37.64,37.82,37.44,37.55,100400,37.55
2012-12-13,37.78,37.80,37.53,37.65,65200,37.65
2012-12-12,38.00,38.00,37.65,37.70,142200,37.70
2012-12-11,38.00,38.00,37.63,37.84,117300,37.84
2012-12-10,37.49,37.86,37.43,37.86,99200,37.86
2012-12-07,37.68,37.89,37.28,37.50,108200,37.50
2012-12-06,37.32,37.60,37.04,37.54,97300,37.54
2012-12-05,37.50,37.57,36.85,37.46,189800,37.46
2012-12-04,37.38,37.70,37.17,37.49,107100,37.49
2012-12-03,37.74,37.80,37.21,37.35,113700,37.35
2012-11-30,37.90,37.90,37.22,37.47,258500,37.47
2012-11-29,37.62,38.19,37.50,37.81,207000,37.81
2012-11-28,36.46,37.50,36.06,37.50,222700,37.50
2012-11-27,36.77,37.00,36.33,36.43,164200,36.43
2012-11-26,36.62,36.76,36.33,36.73,191500,36.73
2012-11-23,36.68,36.95,36.51,36.83,50600,36.68
2012-11-21,36.31,36.54,36.03,36.54,107500,36.39
2012-11-20,36.19,36.43,36.04,36.29,85600,36.14
