Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,16.71,17.03,16.56,17.00,631500,17.00
2013-01-31,16.55,16.74,16.45,16.58,339300,16.58
2013-01-30,16.59,16.83,16.44,16.60,528900,16.60
2013-01-29,16.53,16.79,16.53,16.66,367400,16.66
2013-01-28,16.61,16.66,16.42,16.57,374100,16.57
2013-01-25,16.35,16.65,16.24,16.64,519800,16.64
2013-01-24,16.26,16.54,16.18,16.31,411700,16.31
2013-01-23,16.33,16.41,16.22,16.31,387500,16.31
2013-01-22,16.10,16.33,15.99,16.33,875900,16.33
2013-01-18,16.35,16.35,15.73,16.10,526300,16.10
2013-01-17,16.31,16.49,16.22,16.31,538300,16.31
2013-01-16,16.24,16.47,16.03,16.25,364100,16.25
2013-01-15,16.15,16.34,16.14,16.29,364400,16.29
2013-01-14,16.43,16.58,16.23,16.26,275500,16.26
2013-01-11,16.74,16.76,16.27,16.46,412300,16.46
2013-01-10,16.62,16.76,16.53,16.74,232900,16.74
2013-01-09,16.74,16.82,16.35,16.62,405400,16.62
2013-01-08,16.59,16.80,16.40,16.68,540500,16.68
2013-01-07,16.59,16.94,16.42,16.78,334800,16.78
2013-01-04,16.48,16.90,16.43,16.88,469100,16.88
2013-01-03,16.11,16.79,16.01,16.38,512500,16.38
2013-01-02,15.97,16.14,15.70,16.14,631300,16.14
2012-12-31,15.45,15.81,15.34,15.59,750800,15.59
2012-12-28,15.58,15.70,15.28,15.44,622500,15.44
2012-12-27,15.66,15.81,15.47,15.72,443200,15.72
2012-12-26,15.60,15.87,15.58,15.66,266800,15.66
2012-12-24,15.82,16.00,15.52,15.59,207800,15.59
2012-12-21,15.63,15.96,15.55,15.74,2017700,15.74
2012-12-20,15.73,16.10,15.48,15.97,742300,15.97
2012-12-19,16.00,16.05,15.57,15.78,1040600,15.78
2012-12-18,15.44,15.87,15.38,15.87,757200,15.87
2012-12-17,15.50,15.64,15.29,15.40,552100,15.40
2012-12-14,15.55,15.91,15.43,15.48,698200,15.48
2012-12-13,15.09,15.78,14.79,15.77,1779600,15.77
2012-12-12,15.10,15.43,14.72,15.11,1528200,15.11
2012-12-11,14.47,15.05,14.26,15.03,3415900,15.03
2012-12-10,16.02,16.05,15.81,15.89,420700,15.89
2012-12-07,15.93,16.02,15.67,15.98,706900,15.98
2012-12-06,15.62,16.05,15.47,15.96,482100,15.96
2012-12-05,15.54,15.97,15.44,15.61,792700,15.61
2012-12-04,15.01,15.61,15.00,15.53,767200,15.53
2012-12-03,15.84,16.00,14.26,14.88,2704200,14.88
2012-11-30,16.54,16.65,16.18,16.25,555600,16.25
2012-11-29,16.70,16.75,16.36,16.47,368700,16.47
2012-11-28,16.50,16.93,16.35,16.59,574200,16.59
2012-11-27,16.60,16.92,16.49,16.64,466600,16.64
2012-11-26,16.31,16.68,16.09,16.65,512900,16.65
2012-11-23,16.11,16.36,15.93,16.34,231300,16.34
2012-11-21,15.73,16.17,15.66,16.02,346900,16.02
2012-11-20,16.28,16.37,15.49,15.64,655600,15.64
2012-11-19,15.95,16.41,15.95,16.33,301000,16.33
2012-11-16,15.75,16.07,15.28,15.78,449000,15.78
2012-11-15,15.84,16.25,15.51,15.83,546300,15.83
2012-11-14,16.36,16.50,15.76,15.91,579200,15.91
2012-11-13,16.86,16.90,16.35,16.35,462700,16.35
2012-11-12,16.86,16.96,16.58,16.74,316800,16.74
2012-11-09,16.49,17.10,16.36,16.78,319700,16.78
2012-11-08,16.66,16.91,16.48,16.64,474800,16.64
2012-11-07,16.77,16.94,15.94,16.77,850800,16.77
2012-11-06,16.65,17.24,16.64,17.12,451600,17.12
2012-11-05,16.26,16.97,16.24,16.54,435500,16.54
2012-11-02,16.61,16.86,16.15,16.31,534500,16.31
2012-11-01,16.07,16.64,15.69,16.48,527400,16.48
2012-10-31,16.34,16.66,15.91,16.07,426800,16.07
2012-10-26,16.14,16.62,16.06,16.36,428500,16.36
2012-10-25,16.29,16.36,15.73,16.15,490900,16.15
2012-10-24,16.46,16.54,15.40,16.12,791500,16.12
2012-10-23,16.69,16.72,15.98,16.45,353900,16.45
2012-10-22,16.61,17.05,16.53,16.90,321300,16.90
2012-10-19,16.84,16.84,16.29,16.57,319200,16.57
2012-10-18,16.95,17.16,16.80,16.91,353000,16.91
2012-10-17,16.85,17.14,16.31,16.95,374400,16.95
2012-10-16,16.87,17.00,16.68,16.78,268400,16.78
2012-10-15,16.36,16.86,16.10,16.81,296900,16.81
2012-10-12,16.69,16.69,16.06,16.33,437800,16.33
2012-10-11,16.76,16.99,16.65,16.72,467200,16.72
2012-10-10,16.76,16.97,16.58,16.67,397600,16.67
2012-10-09,16.46,16.96,16.42,16.75,525000,16.75
2012-10-08,16.53,16.72,16.37,16.43,283000,16.43
2012-10-05,16.82,17.00,16.61,16.63,419100,16.63
2012-10-04,16.46,16.72,16.17,16.69,514700,16.69
2012-10-03,16.66,16.78,16.20,16.37,282100,16.37
2012-10-02,16.73,16.91,16.51,16.67,385300,16.67
2012-10-01,16.20,16.68,16.17,16.68,357100,16.68
2012-09-28,16.62,16.74,16.05,16.12,488300,16.12
2012-09-27,16.35,16.78,16.15,16.75,487100,16.75
2012-09-26,16.06,16.34,15.81,16.28,594500,16.28
2012-09-25,16.67,16.94,16.03,16.06,677900,16.06
2012-09-24,16.39,16.99,16.39,16.60,699000,16.60
2012-09-21,17.19,17.47,16.57,16.57,1213300,16.57
2012-09-20,17.32,17.38,16.70,17.00,686700,17.00
2012-09-19,17.18,17.59,17.11,17.48,702100,17.48
2012-09-18,16.99,17.23,16.94,17.15,741100,17.15
2012-09-17,17.08,17.33,16.91,17.09,465000,17.09
2012-09-14,17.29,17.46,17.07,17.20,975800,17.20
2012-09-13,16.91,17.29,16.79,17.17,816200,17.17
