Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,40.88,41.42,40.62,41.38,36500,41.38
2013-01-31,41.32,41.50,40.91,40.91,45700,40.91
2013-01-30,42.37,42.74,41.34,41.71,31800,41.33
2013-01-29,42.00,42.63,41.90,42.59,25900,42.20
2013-01-28,41.50,42.23,41.29,42.22,26400,41.84
2013-01-25,41.37,41.57,40.48,41.57,20000,41.19
2013-01-24,41.20,41.30,40.89,41.25,20400,40.87
2013-01-23,41.36,41.68,41.02,41.28,14200,40.90
2013-01-22,40.73,41.50,40.55,41.50,19700,41.12
2013-01-18,40.75,40.88,40.63,40.85,13700,40.48
2013-01-17,41.35,41.35,40.85,40.90,12200,40.53
2013-01-16,41.12,41.31,40.90,41.29,10000,40.91
2013-01-15,40.81,41.32,40.77,41.32,8800,40.94
2013-01-14,41.00,41.12,40.85,41.07,8900,40.70
2013-01-11,41.30,41.30,40.77,41.05,14700,40.68
2013-01-10,40.82,41.20,40.66,41.20,14400,40.82
2013-01-09,41.25,41.39,40.46,40.82,17600,40.45
2013-01-08,41.11,41.11,40.07,41.07,18300,40.70
2013-01-07,40.83,40.85,40.43,40.75,7900,40.38
2013-01-04,41.44,41.44,40.82,41.08,18500,40.71
2013-01-03,40.79,41.30,40.50,41.18,18600,40.80
2013-01-02,40.19,41.32,39.96,40.82,39900,40.45
2012-12-31,38.93,39.87,38.25,39.64,31000,39.28
2012-12-28,39.35,40.21,39.11,39.11,21700,38.75
2012-12-27,39.54,39.85,38.90,39.43,14900,39.07
2012-12-26,40.53,40.53,39.53,39.64,18800,39.28
2012-12-24,40.84,40.85,40.10,40.40,9000,40.03
2012-12-21,40.58,40.99,39.71,40.99,147400,40.62
2012-12-20,40.27,40.44,39.77,40.20,19800,39.83
2012-12-19,39.93,40.22,39.67,40.20,18100,39.83
2012-12-18,39.54,40.00,39.39,39.88,32500,39.52
2012-12-17,37.89,39.90,37.89,39.54,34600,39.18
2012-12-14,38.21,38.38,38.10,38.27,15400,37.92
2012-12-13,37.81,38.83,37.81,38.11,18200,37.76
2012-12-12,39.15,39.64,38.52,38.64,18900,38.29
2012-12-11,38.87,39.01,38.57,39.01,23600,38.65
2012-12-10,38.55,38.60,38.06,38.60,15400,38.25
2012-12-07,38.78,38.78,38.39,38.55,10700,38.20
2012-12-06,38.76,39.00,38.16,38.55,18400,38.20
2012-12-05,38.53,39.02,38.12,38.64,17200,38.29
2012-12-04,38.74,38.98,37.92,38.30,21400,37.95
2012-12-03,39.05,39.07,37.96,38.71,31500,38.36
2012-11-30,38.60,38.99,37.54,38.99,110200,38.63
2012-11-29,38.42,38.53,38.25,38.50,19600,38.15
2012-11-28,38.18,38.61,37.54,38.10,36400,37.75
2012-11-27,38.43,38.64,37.55,38.40,20100,38.05
2012-11-26,38.50,38.50,37.85,38.50,26400,38.15
2012-11-23,37.97,38.70,37.15,38.51,9900,38.16
2012-11-21,37.90,38.63,37.60,38.03,15100,37.68
2012-11-20,37.98,38.35,37.07,37.90,24200,37.55
2012-11-19,38.12,38.32,37.84,38.15,19900,37.80
2012-11-16,37.74,38.44,36.85,37.57,42100,37.23
2012-11-15,37.87,37.87,36.96,37.05,51300,36.71
2012-11-14,38.60,38.85,37.75,37.75,22100,37.41
2012-11-13,39.36,39.82,38.58,38.61,14700,38.26
2012-11-12,38.78,39.99,38.69,39.38,23300,39.02
