Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,44.34,45.07,44.30,44.93,192100,44.93
2013-01-31,43.95,44.44,43.86,44.03,175300,44.03
2013-01-30,44.39,44.66,43.89,44.04,162900,44.04
2013-01-29,43.89,44.38,43.79,44.38,210700,44.38
2013-01-28,44.58,44.69,42.69,43.93,733900,43.93
2013-01-25,44.79,44.79,44.33,44.71,179900,44.71
2013-01-24,43.98,44.72,43.77,44.64,262000,44.64
2013-01-23,43.99,44.21,43.62,43.93,177200,43.93
2013-01-22,44.23,44.23,43.81,44.21,218200,44.21
2013-01-18,44.25,44.33,43.69,44.12,249900,44.12
2013-01-17,44.07,44.43,43.90,44.29,137300,44.29
2013-01-16,43.52,43.89,43.43,43.77,152900,43.77
2013-01-15,43.64,43.81,43.39,43.71,118600,43.71
2013-01-14,44.07,44.23,43.59,43.68,130900,43.68
2013-01-11,44.30,44.32,43.57,44.09,255100,44.09
2013-01-10,43.98,44.31,43.66,44.31,236000,44.31
2013-01-09,43.71,43.89,43.37,43.71,322800,43.71
2013-01-08,43.64,43.81,43.07,43.81,325100,43.81
2013-01-07,43.77,43.97,43.42,43.63,139300,43.63
2013-01-04,44.22,44.30,43.85,43.97,144200,43.97
2013-01-03,44.40,44.92,43.97,44.17,226300,44.17
2013-01-02,43.49,44.38,43.49,44.38,285900,44.38
2012-12-31,41.80,43.08,41.74,42.98,293300,42.98
2012-12-28,41.58,42.14,41.58,41.93,157500,41.93
2012-12-27,41.76,41.98,41.23,41.85,306500,41.85
2012-12-26,42.52,42.59,41.78,41.80,212600,41.80
2012-12-24,42.52,43.78,41.90,42.57,578300,42.57
2012-12-21,42.17,42.85,41.07,42.37,596200,42.37
2012-12-20,43.28,43.48,42.71,42.89,317300,42.89
2012-12-19,43.15,43.52,42.67,43.31,337400,43.31
2012-12-18,42.66,43.27,42.38,43.17,290300,43.03
2012-12-17,42.55,42.83,42.14,42.59,212000,42.45
2012-12-14,42.40,42.74,42.06,42.42,285400,42.28
2012-12-13,42.78,42.85,42.06,42.58,235700,42.44
2012-12-12,40.74,43.03,40.36,42.88,449800,42.74
2012-12-11,42.11,42.33,41.92,42.06,271000,41.92
2012-12-10,42.07,42.07,41.49,42.03,282000,41.89
2012-12-07,42.27,42.56,41.83,42.02,166500,41.88
2012-12-06,41.64,42.26,41.39,42.12,324700,41.98
2012-12-05,42.98,44.68,41.89,42.45,1052700,42.31
2012-12-04,44.78,45.11,44.40,45.07,334000,44.92
2012-12-03,44.86,45.18,44.09,44.58,203500,44.44
2012-11-30,44.47,44.86,44.20,44.86,467500,44.71
2012-11-29,44.36,44.84,44.11,44.42,265800,44.28
2012-11-28,43.76,44.28,43.30,44.23,319400,44.09
2012-11-27,44.64,44.94,43.81,43.81,344200,43.67
2012-11-26,43.55,44.91,43.45,44.45,455500,44.31
2012-11-23,43.11,43.60,42.83,43.39,69500,43.25
2012-11-21,43.09,43.23,42.59,42.97,175600,42.83
2012-11-20,42.12,43.25,41.96,43.13,207900,42.99
2012-11-19,42.35,42.39,41.68,42.04,283300,41.90
2012-11-16,40.69,42.13,40.68,41.89,326900,41.75
2012-11-15,41.49,41.62,40.54,40.79,189100,40.66
2012-11-14,41.18,41.54,40.90,41.24,285100,41.11
2012-11-13,41.07,41.37,40.81,40.98,201300,40.85
2012-11-12,41.23,41.46,40.91,41.07,141700,40.94
2012-11-09,40.55,41.78,40.25,41.25,204600,41.12
2012-11-08,41.69,41.95,41.13,41.16,114300,41.03
2012-11-07,42.27,42.27,41.69,42.02,140300,41.88
2012-11-06,42.26,42.82,42.26,42.43,154200,42.29
2012-11-05,42.26,42.36,42.01,42.21,106400,42.07
2012-11-02,43.37,43.37,42.19,42.20,163700,42.06
2012-11-01,42.25,43.13,42.25,43.11,254200,42.97
2012-10-31,41.34,42.36,41.22,42.22,378200,42.08
2012-10-26,41.40,41.56,40.94,41.05,242800,40.92
2012-10-25,41.96,42.17,41.23,41.35,221400,41.22
2012-10-24,41.96,42.00,41.44,41.79,379400,41.65
2012-10-23,40.69,41.97,40.22,41.86,404100,41.72
2012-10-22,41.35,41.36,40.80,41.08,149500,40.95
2012-10-19,41.37,41.65,41.13,41.37,224600,41.24
2012-10-18,40.95,41.52,40.95,41.49,190100,41.36
2012-10-17,40.30,41.00,40.26,41.00,278500,40.87
2012-10-16,39.84,40.67,39.82,40.32,217000,40.19
2012-10-15,39.59,40.01,39.38,39.81,223200,39.68
2012-10-12,39.50,39.73,39.20,39.43,148500,39.30
2012-10-11,39.74,39.98,39.28,39.52,205300,39.39
2012-10-10,39.80,39.83,39.28,39.41,293700,39.28
2012-10-09,40.85,40.89,39.77,39.79,211600,39.66
2012-10-08,40.97,41.05,40.75,40.92,121800,40.79
2012-10-05,40.28,41.22,40.25,41.03,289800,40.90
2012-10-04,39.94,40.29,39.59,40.27,436700,40.14
2012-10-03,39.85,40.09,39.67,39.73,187800,39.60
2012-10-02,39.93,40.07,39.48,39.86,426200,39.73
2012-10-01,39.78,40.17,39.28,39.80,460600,39.67
2012-09-28,39.23,39.78,38.69,39.78,461300,39.65
2012-09-27,37.78,39.25,37.67,39.23,456100,39.10
2012-09-26,38.71,38.76,37.56,37.69,526900,37.46
2012-09-25,39.32,39.50,38.64,38.64,281600,38.40
2012-09-24,39.35,39.54,39.14,39.21,386200,38.97
2012-09-21,39.91,40.18,39.40,39.47,443200,39.23
2012-09-20,39.94,39.97,39.49,39.65,270000,39.41
2012-09-19,39.08,40.76,39.04,40.11,610500,39.86
2012-09-18,38.97,39.15,38.57,39.08,222500,38.84
2012-09-17,39.58,39.65,38.81,38.97,235800,38.73
2012-09-14,39.35,39.99,39.35,39.61,313500,39.37
2012-09-13,39.11,39.50,38.58,39.34,198900,39.10
2012-09-12,38.90,39.25,38.76,38.99,216600,38.75
2012-09-11,38.77,39.07,38.53,38.88,232800,38.64
2012-09-10,38.65,38.86,38.48,38.64,154500,38.40
2012-09-07,39.08,39.14,38.69,38.71,181600,38.47
2012-09-06,38.00,39.10,37.87,38.94,382400,38.70
2012-09-05,37.80,38.16,37.76,37.99,425400,37.76
2012-09-04,37.20,38.00,36.82,37.93,385100,37.70
2012-08-31,37.49,37.58,36.97,37.20,266200,36.97
2012-08-30,37.12,37.37,36.88,37.28,210800,37.05
2012-08-29,37.45,37.54,37.25,37.37,265700,37.14
2012-08-28,37.55,37.97,37.29,37.37,361300,37.14
2012-08-27,37.98,38.30,37.26,37.52,395000,37.29
2012-08-24,37.56,38.30,37.26,38.02,456600,37.79
2012-08-23,35.69,38.18,35.64,37.47,1119300,37.24
2012-08-22,36.97,37.81,36.92,37.57,494200,37.34
2012-08-21,37.23,37.75,36.97,37.06,404600,36.83
2012-08-20,38.40,38.72,37.00,37.22,666400,36.99
2012-08-17,38.46,39.20,38.09,39.09,472700,38.85
2012-08-16,36.92,38.70,36.65,38.32,1007600,38.08
2012-08-15,36.66,37.09,36.59,37.05,389000,36.82
2012-08-14,37.02,37.32,36.70,36.79,408900,36.56
2012-08-13,37.25,37.36,36.78,36.94,267600,36.71
2012-08-10,37.18,37.67,37.14,37.41,307100,37.18
2012-08-09,38.26,38.40,37.22,37.48,514600,37.25
2012-08-08,37.73,38.48,37.73,38.43,381300,38.19
2012-08-07,37.82,38.41,37.66,38.01,303500,37.78
2012-08-06,37.96,38.17,37.55,37.74,223500,37.51
2012-08-03,37.44,38.51,37.37,37.91,304800,37.68
2012-08-02,36.80,37.48,36.52,37.03,264800,36.80
2012-08-01,37.86,38.25,37.01,37.04,210900,36.81
2012-07-31,37.76,38.07,37.59,37.60,248900,37.37
2012-07-30,37.89,38.11,37.49,37.70,242600,37.47
