Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,21.23,21.23,20.76,21.18,491100,21.18
2013-01-31,21.19,21.28,21.04,21.15,366200,21.15
2013-01-30,21.20,21.26,21.05,21.16,241400,21.16
2013-01-29,21.25,21.28,21.13,21.24,181900,21.24
2013-01-28,21.44,21.47,21.19,21.25,298600,21.25
2013-01-25,21.64,21.71,21.20,21.48,238200,21.48
2013-01-24,21.73,21.82,21.46,21.54,329300,21.54
2013-01-23,21.70,21.77,21.63,21.75,257700,21.75
2013-01-22,21.63,21.80,21.38,21.70,334200,21.70
2013-01-18,21.58,21.79,21.51,21.71,211800,21.71
2013-01-17,21.45,21.69,21.25,21.63,159000,21.63
2013-01-16,21.37,21.50,21.23,21.42,543400,21.42
2013-01-15,21.32,21.48,21.27,21.36,188400,21.36
2013-01-14,21.34,21.56,21.24,21.44,154500,21.44
2013-01-11,21.74,21.75,21.22,21.47,352900,21.47
2013-01-10,21.57,21.71,21.42,21.70,397900,21.70
2013-01-09,21.75,21.75,21.46,21.54,223200,21.54
2013-01-08,21.47,21.90,21.47,21.70,295300,21.70
2013-01-07,21.70,21.71,21.30,21.43,274400,21.43
2013-01-04,21.73,21.92,21.58,21.72,165200,21.72
2013-01-03,21.22,21.78,21.21,21.59,251700,21.59
2013-01-02,21.35,21.35,20.89,21.20,588000,21.20
2012-12-31,20.79,21.20,20.53,20.94,205100,20.94
2012-12-28,20.64,20.92,20.51,20.84,210300,20.84
2012-12-27,20.57,20.85,20.47,20.76,195900,20.76
2012-12-26,20.44,20.73,20.24,20.59,108600,20.59
2012-12-24,20.81,20.90,20.39,20.45,165300,20.45
2012-12-21,20.67,20.90,20.17,20.73,587500,20.73
2012-12-20,20.86,20.86,20.53,20.84,213200,20.84
2012-12-19,20.73,20.85,20.51,20.81,126200,20.81
2012-12-18,20.51,20.79,20.41,20.79,213800,20.69
2012-12-17,20.41,20.58,20.37,20.48,244200,20.38
2012-12-14,20.54,20.64,20.30,20.40,104000,20.30
2012-12-13,20.61,20.66,20.36,20.60,81900,20.50
2012-12-12,20.78,20.86,20.52,20.58,161200,20.48
2012-12-11,20.71,20.72,20.45,20.67,162300,20.57
2012-12-10,20.68,20.71,20.26,20.60,149900,20.50
2012-12-07,20.48,20.60,20.27,20.58,86700,20.48
2012-12-06,20.36,20.44,20.21,20.39,124200,20.29
2012-12-05,20.46,20.50,20.11,20.34,120300,20.24
2012-12-04,20.39,20.43,20.23,20.40,207400,20.30
2012-12-03,20.46,20.51,20.20,20.36,96100,20.26
2012-11-30,20.15,20.51,20.03,20.45,264900,20.35
2012-11-29,19.80,20.27,19.80,20.13,167000,20.03
2012-11-28,19.86,19.92,19.58,19.76,143900,19.66
2012-11-27,19.96,20.05,19.76,19.94,180500,19.84
2012-11-26,19.87,20.07,19.80,19.93,98200,19.83
2012-11-23,19.89,20.00,19.76,19.95,30100,19.85
2012-11-21,19.77,19.89,19.58,19.80,75000,19.70
2012-11-20,19.62,19.86,19.52,19.82,80900,19.72
2012-11-19,19.48,19.68,19.34,19.68,223700,19.59
2012-11-16,19.21,19.42,19.15,19.30,193300,19.21
2012-11-15,20.08,20.14,19.11,19.31,356700,19.22
2012-11-14,20.69,20.69,20.14,20.14,191600,20.04
2012-11-13,20.80,20.99,20.62,20.64,74900,20.54
2012-11-12,20.65,20.99,20.57,20.84,137400,20.74
2012-11-09,20.75,20.85,20.51,20.63,126500,20.53
2012-11-08,21.05,21.41,20.79,20.79,109300,20.69
2012-11-07,21.56,21.56,21.10,21.13,121600,21.03
2012-11-06,21.74,21.99,21.71,21.76,133000,21.66
2012-11-05,21.73,21.99,21.62,21.80,109900,21.60
2012-11-02,21.65,21.91,21.51,21.71,168100,21.51
2012-11-01,20.82,21.78,20.82,21.65,252100,21.45
2012-10-31,20.11,20.83,20.11,20.83,161900,20.63
2012-10-26,20.00,20.23,19.65,20.17,214200,19.98
2012-10-25,20.18,20.20,19.77,19.93,195300,19.74
2012-10-24,20.15,20.15,19.97,20.04,81600,19.85
2012-10-23,20.10,20.20,19.91,20.06,112500,19.87
2012-10-22,19.95,20.43,19.95,20.21,110900,20.02
2012-10-19,20.32,20.49,19.89,20.01,191000,19.82
2012-10-18,20.05,20.98,20.01,20.39,381100,20.20
2012-10-17,19.75,20.01,19.73,20.00,202500,19.81
