Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,39.81,40.23,39.69,40.17,637100,40.17
2013-01-31,39.28,39.85,39.28,39.70,927900,39.70
2013-01-30,39.57,39.73,39.10,39.49,928200,39.49
2013-01-29,41.21,41.35,38.19,39.14,1728400,39.14
2013-01-28,38.18,38.28,38.00,38.12,952600,38.12
2013-01-25,38.39,38.39,37.89,38.05,1437000,38.05
2013-01-24,38.47,38.87,37.90,38.15,1144500,38.15
2013-01-23,38.67,38.71,38.32,38.36,912200,38.36
2013-01-22,38.61,38.88,38.56,38.72,621800,38.72
2013-01-18,38.60,38.78,38.19,38.61,659300,38.61
2013-01-17,38.27,38.71,38.08,38.60,951800,38.60
2013-01-16,38.00,38.29,37.86,38.14,700200,38.14
2013-01-15,37.36,38.15,37.28,38.10,841700,38.10
2013-01-14,37.21,37.61,37.19,37.60,649800,37.60
2013-01-11,36.49,37.37,36.47,37.35,706200,37.35
2013-01-10,36.59,36.64,36.03,36.51,718000,36.51
2013-01-09,36.27,36.29,35.85,36.22,486800,36.22
2013-01-08,36.46,36.50,35.97,36.25,356700,35.97
2013-01-07,36.59,36.61,36.30,36.49,544400,36.21
2013-01-04,36.03,36.73,35.87,36.71,622500,36.43
2013-01-03,36.10,36.16,35.78,35.91,445300,35.63
2013-01-02,35.80,36.64,35.67,36.14,834800,35.86
2012-12-31,34.53,34.99,34.47,34.82,564300,34.55
2012-12-28,34.66,34.98,34.52,34.53,406800,34.26
2012-12-27,35.15,35.19,34.45,34.94,536000,34.67
2012-12-26,35.51,35.72,34.97,35.06,353600,34.79
2012-12-24,35.15,35.62,34.96,35.49,266500,35.22
2012-12-21,34.74,35.37,34.74,35.30,1398900,35.03
2012-12-20,35.22,35.42,34.95,35.36,570100,35.09
2012-12-19,35.33,35.77,34.93,35.13,867200,34.86
2012-12-18,34.23,35.40,33.97,35.33,1809500,35.06
2012-12-17,33.31,34.10,33.18,34.10,659500,33.84
2012-12-14,32.89,34.01,32.71,33.12,745700,32.86
2012-12-13,33.31,33.62,32.98,33.06,579600,32.80
2012-12-12,33.20,33.39,33.00,33.26,513400,33.00
2012-12-11,32.76,33.45,32.70,33.10,639100,32.84
2012-12-10,32.64,32.75,32.41,32.62,380000,32.37
2012-12-07,32.79,32.94,32.45,32.70,490100,32.45
2012-12-06,32.45,32.69,32.23,32.62,417400,32.37
2012-12-05,32.63,32.76,32.40,32.46,441900,32.21
2012-12-04,32.70,32.88,32.25,32.51,479800,32.26
2012-12-03,32.80,32.88,32.41,32.71,515600,32.46
2012-11-30,32.37,32.68,32.15,32.49,1521500,32.24
2012-11-29,32.48,32.72,32.08,32.31,456100,32.06
2012-11-28,32.39,32.39,31.83,32.17,803900,31.92
2012-11-27,32.45,32.67,32.15,32.46,651300,32.21
2012-11-26,32.72,32.95,32.36,32.56,579600,32.31
2012-11-23,32.74,32.86,32.53,32.83,151900,32.58
2012-11-21,32.62,32.62,31.94,32.42,429400,32.17
2012-11-20,32.90,33.65,32.90,33.43,1053900,32.18
2012-11-19,32.91,33.04,32.72,33.00,1079200,31.77
2012-11-16,32.91,33.18,31.59,32.23,1357400,31.02
2012-11-15,32.21,33.17,32.04,32.88,817000,31.65
2012-11-14,32.62,32.74,31.91,32.18,639800,30.98
2012-11-13,32.57,33.04,32.27,32.58,664600,31.36
2012-11-12,32.83,32.91,32.49,32.70,344100,31.48
2012-11-09,32.68,33.28,32.49,32.71,522500,31.49
2012-11-08,33.03,33.53,32.62,32.81,621500,31.58
2012-11-07,31.18,34.21,31.18,32.97,632000,31.74
2012-11-06,34.15,34.41,34.03,34.25,441500,32.97
2012-11-05,33.67,33.98,33.21,33.91,594700,32.64
2012-11-02,34.39,34.57,33.45,33.47,556500,32.22
2012-11-01,33.14,34.29,32.88,34.14,1053600,32.86
2012-10-31,32.59,33.34,32.13,33.33,887200,32.08
2012-10-26,32.44,32.69,32.20,32.62,327600,31.40
2012-10-25,32.52,32.64,32.16,32.54,410800,31.32
2012-10-24,32.31,32.47,32.02,32.19,320500,30.99
2012-10-23,32.15,32.36,31.71,32.04,509800,30.84
2012-10-22,32.72,32.75,32.40,32.69,344800,31.47
2012-10-19,32.99,33.05,32.56,32.67,451700,31.45
2012-10-18,33.24,33.29,32.90,33.18,430200,31.94
2012-10-17,32.70,33.35,32.51,33.26,795700,32.02
2012-10-16,32.37,32.66,32.18,32.66,430600,31.44
2012-10-15,31.66,32.25,31.13,32.13,861900,30.93
2012-10-12,31.85,32.04,31.34,31.44,1238800,30.26
2012-10-11,31.57,32.22,31.52,31.85,935500,30.66
2012-10-10,31.26,31.36,30.91,31.19,577200,30.02
2012-10-09,31.71,31.91,31.19,31.30,674300,30.13
2012-10-08,31.83,31.97,31.72,31.83,717200,30.40
2012-10-05,32.39,32.66,31.98,32.09,764100,30.65
2012-10-04,31.97,32.43,31.76,32.01,1020200,30.57
2012-10-03,31.64,32.07,31.48,31.74,1168000,30.31
2012-10-02,32.77,32.77,32.02,32.33,578000,30.88
2012-10-01,32.97,33.00,32.14,32.48,785800,31.02
2012-09-28,32.91,33.05,32.60,32.77,592100,31.30
2012-09-27,32.90,33.34,32.47,33.02,570200,31.54
2012-09-26,32.66,32.78,32.24,32.65,640900,31.18
2012-09-25,33.25,33.58,32.49,32.55,640300,31.09
2012-09-24,33.18,33.53,33.05,33.09,494800,31.60
2012-09-21,33.77,33.84,33.24,33.44,1020700,31.94
2012-09-20,33.28,33.42,32.96,33.37,567500,31.87
2012-09-19,33.46,33.61,33.27,33.38,656400,31.88
2012-09-18,33.44,33.73,33.30,33.39,572200,31.89
2012-09-17,33.93,33.97,33.54,33.55,620600,32.04
2012-09-14,32.81,34.04,32.81,34.03,991100,32.50
2012-09-13,32.30,32.98,31.87,32.91,834800,31.43
2012-09-12,31.81,32.59,31.81,32.44,1017100,30.98
2012-09-11,31.56,31.98,31.39,31.92,609100,30.48
2012-09-10,31.57,31.86,31.56,31.66,375000,30.24
2012-09-07,31.57,31.68,31.30,31.64,542300,30.22
2012-09-06,30.81,31.75,30.75,31.41,827300,30.00
2012-09-05,30.50,30.71,30.14,30.52,631800,29.15
2012-09-04,29.71,30.59,29.70,30.50,898600,29.13
2012-08-31,29.50,29.68,29.09,29.60,566700,28.27
2012-08-30,29.28,29.35,29.10,29.25,805300,27.93
2012-08-29,29.72,29.82,29.14,29.56,646400,28.23
2012-08-28,29.00,29.78,28.92,29.55,743200,28.22
2012-08-27,29.35,29.40,28.94,29.01,328700,27.71
2012-08-24,28.90,29.33,28.68,29.24,669200,27.93
2012-08-23,29.56,29.74,28.95,28.99,710500,27.69
2012-08-22,29.71,30.00,29.42,29.60,446500,28.27
2012-08-21,29.75,30.35,29.57,29.84,470500,28.50
2012-08-20,29.81,29.88,29.38,29.53,410300,28.20
2012-08-17,29.98,30.02,29.54,29.81,410800,28.47
2012-08-16,29.56,30.12,29.37,29.86,505100,28.52
2012-08-15,29.06,29.79,29.04,29.65,344500,28.32
2012-08-14,29.91,29.92,29.00,29.07,559900,27.76
2012-08-13,29.44,29.80,29.17,29.72,379800,28.38
2012-08-10,29.36,29.63,29.28,29.45,325200,28.13
2012-08-09,29.23,29.62,29.13,29.43,295000,28.11
