Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,75.84,76.20,75.38,75.90,405800,75.90
2013-01-31,76.36,76.36,75.11,75.35,519700,75.35
2013-01-30,76.26,76.59,75.23,75.61,357800,75.61
2013-01-29,76.24,76.88,76.05,76.29,246700,76.29
2013-01-28,75.97,76.60,75.63,76.25,279100,76.25
2013-01-25,75.84,76.33,74.83,75.62,274700,75.62
2013-01-24,74.92,76.12,74.92,75.59,392500,75.59
2013-01-23,76.13,76.70,75.04,75.15,272800,75.15
2013-01-22,76.18,76.51,75.06,76.32,209500,76.07
2013-01-18,75.47,76.43,74.98,76.15,212800,75.90
2013-01-17,74.59,75.69,74.08,75.52,155500,75.27
2013-01-16,74.69,75.17,74.03,74.13,191700,73.89
2013-01-15,74.00,75.41,74.00,74.88,201000,74.63
2013-01-14,74.55,75.59,74.18,75.25,333200,75.00
2013-01-11,76.21,76.21,73.68,74.55,637100,74.31
2013-01-10,77.84,77.84,76.38,76.99,147700,76.74
2013-01-09,77.30,77.47,76.91,77.31,185100,77.06
2013-01-08,77.46,77.76,76.22,76.89,211600,76.64
2013-01-07,77.41,78.13,77.10,77.53,187300,77.28
2013-01-04,78.02,78.43,77.60,77.99,143800,77.73
2013-01-03,77.40,78.32,77.02,77.67,162900,77.42
2013-01-02,76.83,77.17,76.18,77.12,240700,76.87
2012-12-31,73.40,75.29,73.25,74.90,180400,74.65
2012-12-28,73.76,74.48,73.55,73.57,83300,73.33
2012-12-27,74.39,74.72,73.38,74.09,141400,73.85
2012-12-26,74.98,75.36,74.47,74.54,118500,74.30
2012-12-24,75.53,75.53,74.88,75.08,54700,74.83
2012-12-21,75.68,76.12,74.82,75.86,738300,75.61
2012-12-20,75.06,76.47,75.06,76.20,222900,75.95
2012-12-19,75.13,76.29,74.79,75.15,209100,74.90
2012-12-18,72.90,75.24,72.76,75.13,258600,74.88
2012-12-17,72.56,72.80,72.00,72.67,228600,72.43
2012-12-14,71.60,72.62,71.30,72.39,268000,72.15
2012-12-13,72.46,72.77,71.94,72.01,179700,71.77
2012-12-12,72.32,73.45,71.88,72.47,236800,72.23
2012-12-11,71.20,72.02,70.81,71.92,196700,71.68
2012-12-10,70.75,71.17,70.21,70.65,287300,70.42
2012-12-07,71.89,72.00,70.67,70.80,108900,70.57
2012-12-06,71.14,72.00,71.04,71.89,176600,71.65
2012-12-05,71.89,72.15,70.80,71.49,111400,71.26
2012-12-04,71.05,72.14,70.73,71.88,103300,71.64
2012-12-03,72.12,72.12,70.98,71.07,141900,70.84
2012-11-30,71.92,72.38,71.52,71.69,161100,71.46
2012-11-29,71.91,72.52,70.93,71.87,171100,71.63
2012-11-28,70.86,71.81,69.76,71.47,234000,71.24
2012-11-27,71.87,72.08,71.10,71.11,222100,70.88
2012-11-26,72.65,72.69,71.07,71.77,176300,71.53
2012-11-23,71.95,72.84,71.50,72.82,57600,72.58
2012-11-21,71.95,72.25,71.51,71.85,126100,71.61
2012-11-20,71.78,72.68,71.47,71.84,287800,71.60
2012-11-19,70.98,72.09,70.97,72.01,222600,71.77
2012-11-16,68.45,70.13,68.07,70.04,243600,69.81
2012-11-15,68.81,69.24,68.27,68.66,232600,68.44
2012-11-14,70.14,70.85,69.00,69.05,259500,68.82
2012-11-13,70.49,71.49,69.95,70.04,216800,69.81
2012-11-12,69.65,72.06,69.64,70.67,350900,70.44
2012-11-09,69.59,71.26,69.11,69.63,180600,69.40
2012-11-08,70.83,71.14,69.36,70.00,250600,69.77
2012-11-07,70.07,71.62,69.58,70.80,377300,70.57
2012-11-06,71.26,71.48,70.47,70.91,273500,70.68
2012-11-05,69.75,71.03,69.53,70.88,146700,70.65
2012-11-02,71.37,71.37,69.67,69.73,199100,69.50
2012-11-01,68.35,71.22,67.88,70.95,364000,70.72
2012-10-31,68.51,69.36,68.03,68.35,294300,68.13
2012-10-26,67.68,68.44,67.50,67.94,491900,67.72
2012-10-25,66.50,67.76,64.85,67.52,757600,67.30
2012-10-24,68.85,68.85,68.03,68.41,365200,68.19
2012-10-23,68.57,68.79,67.92,68.42,330700,68.20
2012-10-22,68.95,70.12,68.62,69.02,206000,68.79
2012-10-19,69.78,69.91,68.38,68.76,436400,68.53
2012-10-18,70.35,71.24,69.63,69.94,277300,69.71
2012-10-17,68.88,70.78,68.88,70.45,311100,70.22
2012-10-16,68.50,69.22,68.21,69.04,358800,68.81
2012-10-15,68.29,68.97,68.15,68.71,249800,68.48
2012-10-12,69.29,69.77,68.07,68.46,353500,68.24
2012-10-11,71.70,71.98,68.58,69.07,757500,68.84
2012-10-10,77.58,78.85,77.06,77.24,456600,71.39
2012-10-09,79.28,79.28,76.82,77.62,546100,71.74
2012-10-08,80.02,80.20,78.98,79.34,271900,73.33
2012-10-05,79.98,80.34,79.43,80.12,282600,74.05
2012-10-04,78.65,79.96,78.35,79.70,359300,73.66
2012-10-03,77.32,78.76,76.98,78.62,384100,72.66
2012-10-02,77.21,77.79,76.48,76.92,371500,71.09
2012-10-01,76.90,77.93,76.24,76.80,527500,70.98
2012-09-28,75.30,76.16,75.17,75.79,254500,70.05
2012-09-27,76.42,76.52,75.36,75.65,366600,69.92
2012-09-26,77.35,77.57,75.81,75.99,250400,70.23
2012-09-25,77.62,79.47,77.13,77.28,328200,71.42
2012-09-24,78.29,78.29,77.00,77.34,218400,71.48
2012-09-21,79.14,79.67,78.10,78.69,587500,72.73
2012-09-20,78.45,79.19,77.89,78.23,256900,72.30
2012-09-19,77.98,79.31,77.98,78.87,164400,72.89
2012-09-18,78.23,78.61,77.54,78.01,171800,72.10
2012-09-17,78.38,78.84,77.87,78.36,117100,72.42
2012-09-14,78.33,79.58,78.11,78.59,247300,72.63
2012-09-13,78.09,79.06,76.81,78.02,252800,72.11
2012-09-12,77.22,78.65,77.22,77.85,200700,71.95
2012-09-11,77.12,77.85,76.76,77.19,186700,71.34
2012-09-10,77.86,78.19,76.90,77.00,172300,71.16
2012-09-07,78.52,78.55,77.53,78.00,308300,72.09
2012-09-06,76.38,78.37,76.38,78.22,317400,72.29
2012-09-05,75.46,76.54,75.28,76.09,280300,70.32
2012-09-04,75.46,75.99,74.37,75.58,249200,69.85
2012-08-31,75.79,76.41,74.94,75.46,139900,69.74
2012-08-30,75.08,75.46,74.61,75.04,240800,69.35
2012-08-29,75.15,75.98,74.57,75.34,155400,69.63
2012-08-28,74.66,75.93,74.46,75.06,192200,69.37
2012-08-27,74.93,75.54,74.36,74.66,168900,69.00
2012-08-24,74.12,75.60,74.03,74.72,151900,69.06
2012-08-23,74.65,74.71,73.73,74.15,197900,68.53
2012-08-22,75.59,75.59,74.29,74.54,203100,68.89
2012-08-21,75.57,76.76,75.26,75.55,361000,69.82
2012-08-20,75.46,75.79,74.62,75.50,350900,69.78
2012-08-17,74.12,75.56,73.66,75.46,292500,69.74
2012-08-16,72.63,74.35,72.43,74.10,233300,68.48
2012-08-15,72.79,72.97,72.23,72.81,154800,67.29
2012-08-14,72.11,73.73,72.07,72.89,315600,67.37
2012-08-13,71.63,72.15,70.66,71.94,336700,66.49
2012-08-10,70.88,71.77,70.27,71.54,307200,66.12
2012-08-09,71.04,71.44,70.19,71.21,267700,65.81
2012-08-08,70.87,71.50,70.20,71.20,320300,65.80
2012-08-07,70.13,71.07,70.05,70.85,209100,65.48
2012-08-06,70.64,71.16,69.59,69.66,228300,64.38
2012-08-03,69.93,70.82,69.19,70.46,408800,65.12
2012-08-02,67.33,69.12,66.92,68.89,524300,63.67
2012-08-01,68.02,68.45,67.08,67.35,464800,62.25
2012-07-31,67.31,68.17,66.89,67.94,340100,62.79
2012-07-30,67.79,68.41,67.50,67.70,445900,62.57
2012-07-27,67.50,68.37,67.02,67.85,588000,62.71
2012-07-26,67.31,68.80,66.42,67.50,747600,62.38
2012-07-25,67.98,70.40,64.13,66.40,1850700,61.37
2012-07-24,78.63,78.63,75.43,75.62,491000,69.89
2012-07-23,77.22,79.41,76.75,78.63,262200,72.67
2012-07-20,78.75,79.57,78.06,78.60,254100,72.64
2012-07-19,79.01,80.10,78.39,79.22,239100,73.22
2012-07-18,77.56,79.12,77.56,78.83,452700,72.85
2012-07-17,77.99,78.23,76.84,77.82,280000,71.92
2012-07-16,77.63,78.11,76.38,77.32,214500,71.46
2012-07-13,75.68,78.07,75.20,78.06,290900,72.14
2012-07-12,74.56,75.74,73.47,75.28,208300,69.57
2012-07-11,76.60,76.73,74.51,75.34,239000,69.06
2012-07-10,77.97,78.95,76.03,76.45,292600,70.07
2012-07-09,76.78,77.55,76.60,77.54,261400,71.07
2012-07-06,77.00,77.48,76.71,77.15,165800,70.72
2012-07-05,76.85,78.09,76.37,77.83,536200,71.34
2012-07-03,74.24,76.91,74.04,76.86,209400,70.45
2012-07-02,73.54,74.53,72.99,74.15,269900,67.97
2012-06-29,74.66,74.66,73.46,73.80,377300,67.64
2012-06-28,71.93,73.32,71.32,73.32,226000,67.20
2012-06-27,71.90,72.73,71.89,72.42,228200,66.38
2012-06-26,70.53,71.70,70.00,71.27,156700,65.33
2012-06-25,71.69,71.89,69.97,70.28,165100,64.42
2012-06-22,72.15,72.79,71.94,72.67,309500,66.61
2012-06-21,73.54,73.75,71.71,71.92,181800,65.92
2012-06-20,74.31,74.39,73.26,73.46,154500,67.33
2012-06-19,74.08,74.58,73.87,74.20,344900,68.01
2012-06-18,72.89,73.91,72.46,73.63,194300,67.49
2012-06-15,73.10,73.58,72.61,73.17,418200,67.07
2012-06-14,72.96,73.59,71.82,72.78,267000,66.71
2012-06-13,73.39,73.91,72.25,72.65,225300,66.59
2012-06-12,72.84,73.60,72.39,73.40,283000,67.28
2012-06-11,74.00,74.09,72.44,72.53,254300,66.48
2012-06-08,73.23,73.57,72.91,73.49,389500,67.36
2012-06-07,73.98,74.54,73.14,73.22,331500,67.11
2012-06-06,71.63,73.59,71.42,73.57,326400,67.43
2012-06-05,70.33,71.23,69.49,71.08,486600,65.15
2012-06-04,72.26,72.81,70.20,70.64,413000,64.75
2012-06-01,70.84,72.44,70.84,72.28,465900,66.25
2012-05-31,73.00,74.02,72.13,73.61,461200,67.47
2012-05-30,72.64,73.05,71.52,73.00,451200,66.91
2012-05-29,72.47,73.75,72.32,73.39,312600,67.27
2012-05-25,71.59,72.08,71.12,71.70,212600,65.72
2012-05-24,71.19,71.70,70.62,71.68,228900,65.70
2012-05-23,68.72,71.15,68.57,70.98,275000,65.06
2012-05-22,68.94,69.60,68.72,69.33,230000,63.55
2012-05-21,66.74,68.90,66.01,68.89,303700,63.14
2012-05-18,69.22,69.42,66.33,66.39,1007700,60.85
2012-05-17,72.07,72.07,69.26,69.28,196500,63.50
2012-05-16,72.58,73.15,71.86,71.91,160100,65.91
2012-05-15,73.40,73.40,72.22,72.37,254000,66.33
2012-05-14,73.27,73.84,72.87,73.01,285000,66.92
2012-05-11,73.89,74.90,73.74,73.94,286000,67.77
2012-05-10,74.65,74.87,73.69,74.26,228700,68.07
2012-05-09,73.25,74.70,73.18,74.14,420900,67.96
2012-05-08,72.14,74.00,72.14,73.94,332400,67.77
2012-05-07,72.26,73.81,72.11,72.62,355000,66.56
2012-05-04,72.70,72.85,71.86,72.68,261000,66.62
2012-05-03,74.02,74.02,72.86,73.18,213200,67.08
2012-05-02,72.65,74.18,72.31,74.10,326100,67.92
2012-05-01,72.57,74.08,71.80,72.93,201300,66.85
2012-04-30,74.43,75.18,71.72,71.95,586900,65.95
2012-04-27,74.18,75.16,73.56,74.60,315600,68.38
2012-04-26,73.51,74.17,73.29,73.95,189900,67.78
2012-04-25,73.42,73.78,73.23,73.49,233100,67.36
2012-04-24,71.53,73.21,71.32,72.94,525200,66.86
2012-04-23,71.83,72.12,70.55,71.31,292900,65.36
2012-04-20,70.79,73.48,70.54,73.00,576500,66.91
2012-04-19,71.10,71.24,69.60,70.01,272300,64.17
2012-04-18,70.91,71.40,70.51,71.01,425500,65.09
2012-04-17,71.67,72.18,70.98,71.03,677300,65.11
2012-04-16,71.44,72.20,70.97,71.39,271700,65.44
2012-04-13,72.02,72.33,70.79,70.97,406500,65.05
2012-04-12,72.04,72.44,71.56,72.20,271000,66.18
2012-04-11,72.81,73.32,71.90,72.30,272600,65.70
2012-04-10,73.65,73.91,71.47,72.17,336500,65.58
2012-04-09,73.05,73.91,72.69,73.58,202900,66.86
2012-04-05,74.13,74.49,73.97,74.10,288000,67.34
2012-04-04,74.07,74.48,73.63,74.12,220000,67.36
2012-04-03,73.88,74.61,73.50,74.48,293600,67.68
2012-04-02,74.10,74.21,73.27,74.09,248800,67.33
2012-03-30,74.16,74.57,73.57,74.04,357700,67.28
2012-03-29,72.95,73.97,72.81,73.57,164700,66.86
2012-03-28,73.60,73.62,72.56,73.59,133800,66.87
2012-03-27,73.71,74.11,73.36,73.44,151500,66.74
2012-03-26,73.50,73.78,73.30,73.59,188900,66.87
2012-03-23,72.13,72.94,71.36,72.86,116400,66.21
2012-03-22,72.65,72.65,71.21,72.07,122500,65.49
2012-03-21,73.08,73.45,72.49,73.20,182000,66.52
2012-03-20,73.93,73.93,72.36,72.94,204500,66.28
2012-03-19,75.21,75.47,74.18,74.32,270700,67.54
2012-03-16,74.18,75.47,74.02,74.97,313000,68.13
2012-03-15,74.67,74.79,73.29,74.11,279000,67.35
2012-03-14,73.15,75.64,73.06,74.55,599300,67.75
2012-03-13,72.49,72.85,71.54,72.84,309200,66.19
2012-03-12,71.03,72.13,71.01,71.85,187600,65.29
2012-03-09,70.01,71.27,69.97,71.01,224400,64.53
2012-03-08,71.14,71.14,69.97,70.24,315900,63.83
2012-03-07,69.97,70.72,69.44,70.51,152800,64.08
2012-03-06,71.23,71.41,69.56,69.73,181500,63.37
2012-03-05,71.45,72.17,71.20,72.04,159500,65.47
2012-03-02,71.93,73.04,71.44,71.72,258700,65.17
2012-03-01,71.63,72.66,71.31,71.87,241000,65.31
2012-02-29,71.88,72.98,71.39,71.39,236800,64.87
2012-02-28,72.57,72.68,71.16,71.85,132000,65.29
2012-02-27,72.02,73.33,71.46,72.51,155600,65.89
2012-02-24,73.03,73.20,72.48,72.62,306000,65.99
2012-02-23,71.89,73.07,71.72,72.94,244400,66.28
2012-02-22,72.61,72.83,71.23,71.64,196600,65.10
2012-02-21,72.98,73.59,72.18,72.55,129400,65.93
2012-02-17,72.68,73.53,72.68,72.74,235700,66.10
2012-02-16,72.15,73.58,70.49,72.94,368500,66.28
2012-02-15,72.44,74.13,71.05,73.10,563400,66.43
2012-02-14,71.45,72.28,71.28,72.20,302100,65.61
2012-02-13,70.99,72.20,70.99,71.94,231500,65.37
2012-02-10,70.58,71.25,70.25,70.52,111800,64.08
2012-02-09,70.83,71.64,70.67,71.38,145600,64.87
2012-02-08,71.01,71.23,69.88,70.91,266500,64.44
2012-02-07,71.43,71.59,70.60,70.91,164100,64.44
2012-02-06,71.29,72.24,71.05,71.55,123200,65.02
2012-02-03,70.95,72.59,70.53,71.74,195400,65.19
2012-02-02,70.47,71.16,69.88,69.92,205200,63.54
2012-02-01,69.50,70.41,69.18,70.30,247700,63.88
2012-01-31,69.93,69.97,68.61,68.97,395400,62.68
2012-01-30,69.34,69.77,68.58,69.43,207000,63.09
2012-01-27,69.31,70.09,69.31,69.70,195600,63.34
2012-01-26,70.25,70.71,69.46,69.68,308300,63.32
2012-01-25,68.62,69.85,68.25,69.65,210500,63.29
2012-01-24,67.35,68.89,67.00,68.57,229000,62.31
2012-01-23,67.17,68.32,66.93,67.53,171500,61.37
2012-01-20,68.41,68.41,66.84,67.30,212300,61.16
2012-01-19,67.33,68.85,66.82,68.46,276400,62.21
2012-01-18,67.38,67.47,66.39,67.01,324400,60.89
2012-01-17,68.50,68.89,67.63,68.02,187800,61.81
2012-01-13,67.70,68.00,67.30,67.82,150500,61.63
2012-01-12,68.90,68.90,67.90,68.04,144400,61.83
2012-01-11,67.44,68.75,67.18,68.50,261100,62.25
