Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,27.86,28.17,27.65,28.07,1674000,28.07
2013-01-31,27.71,27.81,27.56,27.72,1717900,27.72
2013-01-30,27.65,27.90,27.52,27.71,2075800,27.71
2013-01-29,27.41,27.74,27.27,27.73,2086900,27.73
2013-01-28,27.81,27.81,27.37,27.41,2030300,27.41
2013-01-25,27.69,27.79,27.44,27.79,2251300,27.79
2013-01-24,27.61,27.76,27.49,27.54,1655700,27.54
2013-01-23,27.41,27.61,27.13,27.61,2352000,27.61
2013-01-22,27.24,27.65,27.24,27.48,2713200,27.48
2013-01-18,27.11,27.25,27.03,27.22,2256100,27.22
2013-01-17,26.88,27.11,26.72,26.99,2233900,26.99
2013-01-16,26.81,26.89,26.67,26.77,1614700,26.77
2013-01-15,26.31,26.86,26.26,26.85,2729800,26.85
2013-01-14,26.57,26.61,26.25,26.44,3080200,26.44
2013-01-11,26.58,26.65,26.43,26.60,1263000,26.60
2013-01-10,26.61,26.75,26.32,26.56,2685600,26.56
2013-01-09,25.92,26.53,25.86,26.44,2969500,26.44
2013-01-08,25.93,25.94,25.77,25.85,2504800,25.85
2013-01-07,25.86,26.12,25.77,25.97,1594800,25.97
2013-01-04,25.47,26.03,25.42,26.01,2302400,26.01
2013-01-03,25.38,25.59,25.30,25.38,3906300,25.38
2013-01-02,25.52,25.78,25.20,25.33,3494800,25.33
2012-12-31,24.68,25.06,24.57,25.06,2169300,25.06
2012-12-28,24.62,24.94,24.62,24.69,1257600,24.69
2012-12-27,24.75,24.89,24.47,24.79,1515200,24.79
2012-12-26,24.85,24.94,24.69,24.77,833900,24.77
2012-12-24,24.48,24.94,24.43,24.83,888600,24.83
2012-12-21,24.64,24.76,24.55,24.56,3974800,24.56
2012-12-20,24.83,24.98,24.69,24.88,2141800,24.88
2012-12-19,25.18,25.32,24.80,24.80,1894300,24.80
2012-12-18,24.84,25.10,24.78,25.08,1783000,25.08
2012-12-17,24.38,24.85,24.38,24.84,1380700,24.84
2012-12-14,24.34,24.47,24.10,24.29,2220500,24.29
2012-12-13,24.86,25.01,24.31,24.36,1916800,24.36
2012-12-12,25.00,25.17,24.88,24.90,1631900,24.90
2012-12-11,25.42,25.43,24.97,24.99,2786000,24.88
2012-12-10,25.04,25.38,24.90,25.33,1869400,25.22
2012-12-07,25.12,25.20,24.81,25.09,1484400,24.98
2012-12-06,24.95,25.10,24.78,25.03,1502400,24.92
2012-12-05,24.40,25.05,24.37,25.04,2338600,24.93
2012-12-04,24.34,24.47,24.18,24.34,1290800,24.23
2012-12-03,24.39,24.46,24.21,24.31,1252500,24.20
2012-11-30,24.18,24.44,24.10,24.33,1944200,24.22
2012-11-29,24.32,24.39,24.15,24.20,991800,24.09
2012-11-28,23.79,24.23,23.61,24.20,1121800,24.09
2012-11-27,24.10,24.18,23.89,23.90,1238900,23.79
2012-11-26,24.18,24.26,24.01,24.15,1179300,24.04
2012-11-23,24.14,24.36,24.09,24.36,404300,24.25
2012-11-21,24.00,24.17,23.88,24.15,1031100,24.04
2012-11-20,24.04,24.04,23.67,23.89,2135300,23.78
2012-11-19,23.96,24.14,23.83,24.12,1428200,24.01
2012-11-16,23.53,23.72,23.15,23.71,1797500,23.61
2012-11-15,23.53,23.74,23.32,23.53,1988500,23.43
2012-11-14,23.80,23.93,23.27,23.32,1735000,23.22
2012-11-13,23.82,24.14,23.69,23.75,1144900,23.65
2012-11-12,24.01,24.19,23.83,24.00,1095300,23.89
2012-11-09,23.93,24.29,23.71,24.00,1368900,23.89
2012-11-08,23.93,24.26,23.83,24.12,2580900,24.01
2012-11-07,24.32,24.35,23.81,23.93,2059300,23.82
2012-11-06,24.25,24.78,24.15,24.54,3441100,24.43
2012-11-05,23.52,24.32,23.49,24.22,2053300,24.11
2012-11-02,24.75,24.78,23.47,24.01,4868900,23.90
2012-11-01,24.73,25.12,24.51,24.67,2383700,24.56
2012-10-31,24.93,25.04,23.94,24.74,2766900,24.63
2012-10-26,25.03,25.08,24.53,24.77,1921900,24.66
2012-10-25,25.39,25.55,24.99,25.08,1552200,24.97
2012-10-24,25.32,25.40,25.13,25.17,1649300,25.06
2012-10-23,25.62,25.67,25.11,25.23,2625100,25.12
2012-10-22,25.39,25.57,25.21,25.56,1438400,25.45
2012-10-19,25.69,25.70,25.29,25.43,1932400,25.32
2012-10-18,25.48,25.78,25.39,25.76,2681600,25.65
2012-10-17,25.35,25.49,25.22,25.46,1586900,25.35
2012-10-16,25.42,25.54,25.21,25.23,2005900,25.12
2012-10-15,25.09,25.30,24.93,25.28,1452200,25.17
2012-10-12,25.27,25.32,24.79,24.98,1597700,24.87
2012-10-11,25.20,25.33,25.06,25.32,1885400,25.21
2012-10-10,24.87,25.11,24.85,25.05,2163000,24.94
2012-10-09,24.93,25.04,24.70,24.85,1834600,24.74
2012-10-08,24.80,25.04,24.69,24.94,1220900,24.83
2012-10-05,24.87,25.05,24.79,24.86,2179800,24.75
2012-10-04,24.72,24.99,24.67,24.71,2296400,24.60
2012-10-03,24.63,24.71,24.37,24.55,2268400,24.44
2012-10-02,24.68,24.79,24.27,24.54,2697600,24.43
2012-10-01,24.25,24.49,24.15,24.30,1809400,24.19
2012-09-28,24.00,24.16,23.80,24.03,1807200,23.92
2012-09-27,24.09,24.17,23.87,24.07,2494300,23.96
2012-09-26,23.97,24.08,23.87,23.94,2515100,23.83
2012-09-25,24.28,24.40,23.92,23.93,2176400,23.82
2012-09-24,24.10,24.38,24.08,24.16,1511200,24.05
2012-09-21,24.39,24.44,24.20,24.20,1696000,24.09
2012-09-20,24.10,24.28,23.98,24.28,1479500,24.17
2012-09-19,24.26,24.45,24.25,24.31,1899300,24.20
2012-09-18,24.39,24.42,24.15,24.27,2057600,24.16
2012-09-17,24.65,24.73,24.41,24.48,2279500,24.37
2012-09-14,24.89,24.89,24.45,24.68,2807500,24.57
2012-09-13,23.89,24.61,23.72,24.45,2992400,24.34
2012-09-12,23.88,24.03,23.74,23.82,2522300,23.72
2012-09-11,23.65,23.99,23.60,23.82,2913200,23.61
2012-09-10,23.79,23.96,23.67,23.75,1942900,23.54
2012-09-07,22.76,23.79,22.76,23.76,2656500,23.55
2012-09-06,23.17,23.48,23.12,23.46,2295800,23.25
2012-09-05,23.25,23.36,23.00,23.02,2187100,22.81
2012-09-04,23.10,23.26,23.05,23.24,1558900,23.03
2012-08-31,23.07,23.25,23.03,23.12,1749100,22.91
2012-08-30,22.91,23.02,22.79,22.94,1097000,22.73
2012-08-29,23.06,23.15,22.94,23.05,1068000,22.84
2012-08-28,23.07,23.22,23.00,23.07,1385800,22.86
2012-08-27,23.25,23.33,23.12,23.20,1495100,22.99
2012-08-24,23.07,23.27,23.02,23.23,1999600,23.02
2012-08-23,23.29,23.31,23.03,23.10,2152000,22.89
2012-08-22,23.37,23.43,23.22,23.26,2191500,23.05
2012-08-21,23.45,23.50,23.30,23.37,2529900,23.16
2012-08-20,23.34,23.42,23.13,23.40,2356100,23.19
2012-08-17,23.47,23.53,23.35,23.45,1757200,23.24
2012-08-16,23.19,23.50,23.10,23.46,2795600,23.25
2012-08-15,23.01,23.18,22.97,23.15,2494900,22.94
2012-08-14,22.89,23.06,22.86,23.06,2992200,22.85
2012-08-13,22.95,23.10,22.68,22.73,3794300,22.53
2012-08-10,23.00,23.07,22.76,22.98,2340400,22.77
2012-08-09,22.83,23.18,22.83,23.10,3242200,22.89
2012-08-08,22.15,23.37,22.15,22.78,7418700,22.57
2012-08-07,21.29,21.59,21.29,21.37,2486600,21.18
2012-08-06,21.30,21.49,21.23,21.29,3179100,21.10
2012-08-03,20.97,21.33,20.91,21.20,3381200,21.01
2012-08-02,20.52,20.82,20.49,20.68,3693600,20.49
2012-08-01,20.81,20.83,20.50,20.70,3086000,20.51
2012-07-31,20.91,20.97,20.65,20.65,2371700,20.46
