Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,5.01,5.14,4.95,5.07,386200,5.07
2013-01-31,5.07,5.13,4.87,4.92,488500,4.92
2013-01-30,5.16,5.19,4.98,5.09,644500,5.09
2013-01-29,5.00,5.20,4.86,5.19,810000,5.19
2013-01-28,4.92,4.98,4.83,4.98,561000,4.98
2013-01-25,4.72,4.87,4.66,4.86,390800,4.86
2013-01-24,4.83,4.83,4.66,4.70,651400,4.70
2013-01-23,4.62,4.82,4.52,4.82,755600,4.82
2013-01-22,4.61,4.64,4.55,4.64,373200,4.64
2013-01-18,4.57,4.64,4.42,4.61,626400,4.61
2013-01-17,4.37,4.59,4.30,4.52,471400,4.52
2013-01-16,4.33,4.48,4.28,4.34,324600,4.34
2013-01-15,4.31,4.39,4.21,4.34,340000,4.34
2013-01-14,4.43,4.54,4.32,4.33,562600,4.33
2013-01-11,4.79,4.86,4.39,4.42,860700,4.42
2013-01-10,4.25,4.74,4.21,4.68,892600,4.68
2013-01-09,4.29,4.30,4.09,4.19,680500,4.19
2013-01-08,4.19,4.35,4.18,4.26,723500,4.26
2013-01-07,4.32,4.43,4.15,4.18,426600,4.18
2013-01-04,4.52,4.58,4.30,4.39,312600,4.39
2013-01-03,4.59,4.84,4.47,4.51,861800,4.51
2013-01-02,4.28,4.63,4.28,4.59,870400,4.59
2012-12-31,4.10,4.14,4.01,4.11,349700,4.11
2012-12-28,3.95,4.15,3.92,4.06,364300,4.06
2012-12-27,3.93,4.00,3.85,3.96,363600,3.96
2012-12-26,4.03,4.14,3.89,3.93,448200,3.93
2012-12-24,4.06,4.19,4.00,4.04,245800,4.04
2012-12-21,4.26,4.31,4.07,4.07,818600,4.07
2012-12-20,4.48,4.51,4.25,4.32,683900,4.32
2012-12-19,4.66,4.70,4.48,4.48,439900,4.48
2012-12-18,4.49,4.75,4.45,4.64,566700,4.64
2012-12-17,4.56,4.58,4.41,4.45,405000,4.45
2012-12-14,4.31,4.60,4.31,4.57,845200,4.57
2012-12-13,4.47,4.52,4.15,4.33,1109200,4.33
2012-12-12,4.65,4.67,4.47,4.52,396300,4.52
2012-12-11,4.53,4.62,4.44,4.62,318600,4.62
2012-12-10,4.65,4.69,4.42,4.47,778600,4.47
2012-12-07,4.68,4.73,4.59,4.62,454500,4.62
2012-12-06,4.76,4.83,4.59,4.60,590300,4.60
2012-12-05,4.87,4.90,4.70,4.86,306800,4.86
2012-12-04,4.76,4.87,4.65,4.85,672200,4.85
2012-12-03,4.97,4.97,4.70,4.79,413600,4.79
2012-11-30,4.78,4.90,4.65,4.88,612400,4.88
2012-11-29,4.96,5.04,4.78,4.79,966900,4.79
2012-11-28,5.03,5.08,4.88,5.00,679900,5.00
2012-11-27,4.75,5.11,4.73,5.02,1413200,5.02
2012-11-26,4.90,4.93,4.54,4.78,2141400,4.78
2012-11-23,5.28,5.28,4.82,5.03,1431100,5.03
2012-11-21,5.94,6.15,5.16,5.21,6144000,5.21
2012-11-20,7.36,7.50,7.16,7.44,1390600,7.44
2012-11-19,7.02,7.33,7.02,7.28,766600,7.28
2012-11-16,6.89,6.99,6.75,6.96,533600,6.96
2012-11-15,7.16,7.23,6.88,6.89,549100,6.89
2012-11-14,7.44,7.49,7.02,7.05,646900,7.05
2012-11-13,7.40,7.66,7.37,7.41,640700,7.41
2012-11-12,6.78,7.51,6.75,7.50,973800,7.50
2012-11-09,6.93,7.14,6.72,6.85,676300,6.85
2012-11-08,6.92,7.06,6.57,6.63,731800,6.63
2012-11-07,7.13,7.17,6.89,6.93,432400,6.93
2012-11-06,7.10,7.22,7.04,7.19,322500,7.19
2012-11-05,6.98,7.10,6.84,7.03,476900,7.03
2012-11-02,7.32,7.43,6.89,6.89,656400,6.89
2012-11-01,7.19,7.34,7.04,7.32,408700,7.32
2012-10-31,6.99,7.20,6.89,7.18,322500,7.18
2012-10-26,7.16,7.22,6.86,7.02,517600,7.02
2012-10-25,7.25,7.46,7.07,7.18,554800,7.18
2012-10-24,7.25,7.26,7.09,7.19,401700,7.19
2012-10-23,7.13,7.30,7.00,7.21,683300,7.21
2012-10-22,7.16,7.27,7.05,7.27,481300,7.27
2012-10-19,7.00,7.24,6.88,7.16,578800,7.16
2012-10-18,7.30,7.30,7.00,7.00,566900,7.00
2012-10-17,7.21,7.31,7.16,7.31,233400,7.31
2012-10-16,7.19,7.30,7.13,7.22,372600,7.22
2012-10-15,6.86,7.21,6.85,7.17,455200,7.17
2012-10-12,6.89,6.95,6.77,6.89,218500,6.89
2012-10-11,6.95,7.05,6.86,6.90,350800,6.90
2012-10-10,6.81,7.09,6.69,6.90,791300,6.90
