Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,6.47,6.54,6.32,6.38,3971700,6.38
2013-01-31,6.41,6.59,6.34,6.54,2264900,6.54
2013-01-30,6.55,6.65,6.18,6.41,5952700,6.41
2013-01-29,6.51,6.68,6.46,6.61,3576100,6.61
2013-01-28,6.50,6.58,6.41,6.56,3692000,6.56
2013-01-25,6.11,6.44,6.06,6.41,4428800,6.41
2013-01-24,6.09,6.19,6.01,6.12,2646700,6.12
2013-01-23,6.01,6.13,5.98,6.12,4549700,6.12
2013-01-22,6.12,6.13,6.00,6.06,2742200,6.06
2013-01-18,5.98,6.15,5.92,6.13,3062300,6.13
2013-01-17,5.98,6.08,5.93,6.01,3024200,6.01
2013-01-16,6.04,6.06,5.92,6.00,3639000,6.00
2013-01-15,5.70,6.18,5.68,6.17,8109700,6.17
2013-01-14,5.52,5.85,5.47,5.78,6096800,5.78
2013-01-11,5.12,5.62,5.12,5.58,4170000,5.58
2013-01-10,5.49,5.55,5.40,5.51,2704200,5.51
2013-01-09,5.46,5.75,5.39,5.46,4024600,5.46
2013-01-08,5.28,5.43,5.09,5.42,3777500,5.42
2013-01-07,5.08,5.43,5.00,5.29,5484700,5.29
2013-01-04,4.89,5.08,4.80,5.07,6490700,5.07
2013-01-03,4.38,4.89,4.36,4.53,2630900,4.53
2013-01-02,4.38,4.50,4.26,4.38,2104000,4.38
2012-12-31,4.09,4.26,4.06,4.25,916600,4.25
2012-12-28,4.00,4.22,3.99,4.11,1050600,4.11
2012-12-27,3.99,4.09,3.93,4.05,516000,4.05
2012-12-26,4.17,4.17,4.00,4.01,488000,4.01
2012-12-24,4.04,4.17,3.99,4.15,372800,4.15
2012-12-21,3.94,4.11,3.94,4.05,2048400,4.05
2012-12-20,4.03,4.08,3.96,4.08,859800,4.08
2012-12-19,4.03,4.08,3.92,4.04,674100,4.04
2012-12-18,3.91,4.06,3.83,4.00,1252800,4.00
2012-12-17,3.55,3.92,3.55,3.91,1940500,3.91
2012-12-14,3.32,3.57,3.32,3.54,3510100,3.54
2012-12-13,4.13,4.14,4.01,4.07,1429600,4.07
2012-12-12,4.15,4.21,3.98,4.01,1304700,4.01
2012-12-11,4.13,4.22,4.06,4.21,1399600,4.21
2012-12-10,4.20,4.22,4.05,4.07,720800,4.07
2012-12-07,4.04,4.25,4.01,4.20,2463000,4.20
2012-12-06,4.03,4.09,3.99,4.01,6029700,4.01
2012-12-05,4.00,4.03,3.91,4.01,1110800,4.01
2012-12-04,3.87,4.00,3.83,3.99,713400,3.99
2012-12-03,4.03,4.07,3.86,3.91,1639600,3.91
2012-11-30,4.02,4.05,3.91,4.00,914700,4.00
2012-11-29,3.97,4.04,3.91,3.99,1329600,3.99
2012-11-28,3.79,3.96,3.79,3.90,853000,3.90
2012-11-27,3.94,3.97,3.81,3.81,1112700,3.81
2012-11-26,3.83,3.96,3.78,3.96,743800,3.96
2012-11-23,3.85,3.88,3.80,3.84,256600,3.84
2012-11-21,3.78,3.89,3.77,3.83,520500,3.83
2012-11-20,3.84,3.91,3.72,3.77,795700,3.77
2012-11-19,3.69,3.89,3.65,3.87,1168800,3.87
2012-11-16,3.49,3.64,3.43,3.62,959500,3.62
2012-11-15,3.52,3.58,3.40,3.50,995300,3.50
2012-11-14,3.67,3.70,3.49,3.54,1257800,3.54
2012-11-13,3.64,3.78,3.62,3.67,536900,3.67
2012-11-12,3.69,3.77,3.68,3.69,656500,3.69
2012-11-09,3.65,3.78,3.62,3.68,1277400,3.68
2012-11-08,3.76,3.77,3.65,3.69,921500,3.69
2012-11-07,3.88,3.92,3.72,3.73,1154700,3.73
2012-11-06,3.77,3.97,3.67,3.94,3241800,3.94
2012-11-05,3.51,3.79,3.44,3.76,2065900,3.76
2012-11-02,3.39,3.41,3.31,3.40,878100,3.40
2012-11-01,3.22,3.42,3.20,3.36,1107400,3.36
2012-10-31,3.05,3.21,3.04,3.20,525900,3.20
2012-10-26,3.09,3.11,3.02,3.06,734300,3.06
2012-10-25,3.08,3.09,3.02,3.09,498800,3.09
2012-10-24,2.95,3.08,2.92,3.05,513400,3.05
2012-10-23,3.14,3.15,2.90,2.96,1900400,2.96
2012-10-22,3.19,3.21,3.12,3.13,733900,3.13
2012-10-19,3.27,3.28,3.11,3.18,1773500,3.18
2012-10-18,3.26,3.32,3.26,3.29,650500,3.29
2012-10-17,3.27,3.29,3.24,3.25,1500500,3.25
2012-10-16,3.32,3.34,3.22,3.25,2237200,3.25
2012-10-15,3.35,3.38,3.27,3.28,1609200,3.28
2012-10-12,3.46,3.46,3.32,3.35,1461100,3.35
2012-10-11,3.48,3.54,3.45,3.47,659100,3.47
2012-10-10,3.34,3.45,3.33,3.45,624400,3.45
2012-10-09,3.39,3.40,3.32,3.34,829300,3.34
2012-10-08,3.44,3.45,3.35,3.40,365000,3.40
2012-10-05,3.47,3.55,3.45,3.47,1253400,3.47
2012-10-04,3.36,3.44,3.33,3.44,789800,3.44
2012-10-03,3.39,3.47,3.32,3.33,486300,3.33
2012-10-02,3.35,3.41,3.31,3.38,496500,3.38
2012-10-01,3.36,3.42,3.28,3.32,699600,3.32
2012-09-28,3.36,3.37,3.30,3.32,828300,3.32
2012-09-27,3.39,3.43,3.36,3.40,929100,3.40
2012-09-26,3.31,3.40,3.26,3.38,988300,3.38
2012-09-25,3.42,3.46,3.29,3.31,1078200,3.31
2012-09-24,3.39,3.46,3.35,3.39,761400,3.39
2012-09-21,3.58,3.58,3.40,3.42,1761500,3.42
2012-09-20,3.45,3.56,3.45,3.53,810400,3.53
2012-09-19,3.46,3.55,3.43,3.52,1519800,3.52
2012-09-18,3.62,3.63,3.39,3.45,1325600,3.45
2012-09-17,3.43,3.45,3.33,3.43,1763900,3.43
2012-09-14,3.62,3.67,3.43,3.47,4772300,3.47
2012-09-13,3.57,3.62,3.50,3.59,2220000,3.59
2012-09-12,3.57,3.62,3.54,3.58,783900,3.58
2012-09-11,3.58,3.60,3.53,3.57,1005300,3.57
2012-09-10,3.55,3.63,3.50,3.58,2327700,3.58
2012-09-07,3.39,3.72,3.30,3.57,4530200,3.57
2012-09-06,3.05,3.16,3.00,3.06,1852900,3.06
2012-09-05,3.10,3.12,3.02,3.03,1024000,3.03
2012-09-04,3.13,3.17,3.00,3.07,1363200,3.07
2012-08-31,3.18,3.19,3.10,3.13,983500,3.13
